Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.08_16.13.02",7.069141,43.615027000000005,83.0,4G,LTE,-95.0,-12.0,1.0,10.0,-70,0.0,0.0,181.0,181.0,I,LOG START,4P7s2
"
2022.09.08_16.13.02",7.069141,43.615027000000005,83.0,4G,LTE,-95.0,-12.0,1.0,10.0,-74,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.03",7.069141,43.615027000000005,83.0,4G,LTE,-92.0,-10.0,3.0,12.0,-74,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.04",7.069141,43.615027000000005,83.0,4G,LTE,-92.0,-10.0,3.0,10.0,-,18.0,2.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.05",7.069141,43.615027000000005,83.0,4G,LTE,-91.0,-9.0,7.0,9.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.06",7.069141,43.615027000000005,83.0,4G,LTE,-91.0,-9.0,7.0,7.0,-76,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.07",7.069141,43.615027000000005,83.0,4G,LTE,-91.0,-10.0,6.0,8.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.08",7.069141,43.615027000000005,83.0,4G,LTE,-91.0,-10.0,6.0,7.0,-74,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.09",7.069141,43.615027000000005,83.0,4G,LTE,-91.0,-11.0,1.0,8.0,-72,18.0,2.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.10",7.069141,43.615027000000005,83.0,4G,LTE,-91.0,-11.0,1.0,6.0,-72,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.12",7.069141,43.615027000000005,83.0,4G,LTE,-89.0,-13.0,1.0,7.0,-74,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.13",7.069141,43.615027000000005,83.0,4G,LTE,-89.0,-13.0,1.0,10.0,-71,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.14",7.069141,43.615027000000005,83.0,4G,LTE,-89.0,-13.0,2.0,8.0,-71,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.14",7.069141,43.615027000000005,83.0,4G,LTE,-89.0,-13.0,2.0,9.0,-73,18.0,2.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.16",7.069141,43.615027000000005,83.0,4G,LTE,-90.0,-13.0,3.0,7.0,-71,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.17",7.069141,43.615027000000005,83.0,4G,LTE,-90.0,-13.0,3.0,8.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.17",7.069141,43.615027000000005,83.0,4G,LTE,-91.0,-13.0,-2.0,8.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.19",7.069141,43.615027000000005,83.0,4G,LTE,-91.0,-13.0,-2.0,6.0,-73,1.0,0.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.20",7.069141,43.615027000000005,83.0,4G,LTE,-89.0,-8.0,4.0,9.0,-71,18.0,2.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.21",7.069141,43.615027000000005,83.0,4G,LTE,-89.0,-8.0,4.0,6.0,-73,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.22",7.069141,43.615027000000005,83.0,4G,LTE,-93.0,-11.0,4.0,8.0,-71,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.23",7.069141,43.615027000000005,83.0,4G,LTE,-93.0,-11.0,4.0,9.0,-73,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.24",7.069141,43.615027000000005,83.0,4G,LTE,-88.0,-10.0,9.0,11.0,-71,0.0,1.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.25",7.069141,43.615027000000005,83.0,4G,LTE,-88.0,-10.0,9.0,7.0,-75,18.0,1.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.26",7.069141,43.615027000000005,83.0,4G,LTE,-90.0,-11.0,0.0,7.0,-73,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.27",7.069141,43.615027000000005,83.0,4G,LTE,-90.0,-11.0,0.0,7.0,-74,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.28",7.069141,43.615027000000005,83.0,4G,LTE,-89.0,-11.0,-2.0,6.0,-75,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.29",7.069141,43.615027000000005,83.0,4G,LTE,-89.0,-11.0,-2.0,11.0,-67,2.0,1.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.30",7.069141,43.615027000000005,83.0,4G,LTE,-85.0,-8.0,7.0,10.0,-67,18.0,2.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.31",7.069141,43.615027000000005,83.0,4G,LTE,-85.0,-8.0,7.0,10.0,-67,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.32",7.069141,43.615027000000005,83.0,4G,LTE,-86.0,-8.0,6.0,10.0,-67,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.33",7.069141,43.615027000000005,83.0,4G,LTE,-86.0,-8.0,6.0,10.0,-67,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.34",7.069141,43.615027000000005,83.0,4G,LTE,-85.0,-8.0,3.0,8.0,-69,18.0,2.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.35",7.069141,43.615027000000005,83.0,4G,LTE,-85.0,-8.0,3.0,8.0,-69,0.0,0.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.36",7.069141,43.615027000000005,83.0,4G,LTE,-83.0,-7.0,8.0,9.0,-67,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.37",7.069141,43.615027000000005,83.0,4G,LTE,-83.0,-7.0,8.0,8.0,-69,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.38",7.069141,43.615027000000005,83.0,4G,LTE,-84.0,-10.0,4.0,11.0,-67,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.39",7.069141,43.615027000000005,83.0,4G,LTE,-84.0,-10.0,4.0,11.0,-67,18.0,2.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.40",7.069141,43.615027000000005,83.0,4G,LTE,-89.0,-9.0,3.0,8.0,-74,0.0,0.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.41",7.069141,43.615027000000005,83.0,4G,LTE,-89.0,-9.0,3.0,9.0,-70,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.42",7.069141,43.615027000000005,83.0,4G,LTE,-85.0,-11.0,8.0,9.0,-68,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s2
"
2022.09.08_16.13.43",7.069141,43.615027000000005,83.0,4G,LTE,-85.0,-11.0,8.0,9.0,-64,3.0,25.0,181.0,181.0,D,PERIODIC,4P7s2
"
2022.09.08_16.13.44",7.069141,43.615027000000005,83.0,4G,LTE,-81.0,-11.0,9.0,11.0,-64,56.0,7.0,181.0,181.0,D,PERIODIC,4P7s2
