Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.10.20_17.58.31",7.060774,43.617117,62.0,4G,LTE,-115.0,-14.0,2.0,9,-51.0,0.0,0.0,182.0,182.0,I,LOG START,4Pi20o
"
2022.10.20_17.58.31",7.060774,43.617117,62.0,4G,LTE,-112.0,-14.0,-12.0,11,-113.0,0.0,0.0,182.0,182.0,I,PERIODIC,4Pi20o
"
2022.10.20_17.58.32",7.060834,43.617095,62.0,4G,LTE,-112.0,-14.0,-12.0,11,-113.0,0.0,0.0,182.0,182.0,I,,4Pi20o
"
2022.10.20_17.58.32",7.060834,43.617095,62.0,4G,LTE,-112.0,-14.0,-12.0,11,-113.0,0.0,0.0,182.0,182.0,D,PERIODIC,4Pi20o
"
2022.10.20_17.58.33",7.060834,43.617095,62.0,4G,LTE,-112.0,-13.0,0.0,8,-113.0,0.0,0.0,182.0,182.0,I,PERIODIC,4Pi20o
"
2022.10.20_17.58.34",7.060834,43.617095,62.0,4G,LTE,-112.0,-13.0,0.0,8,-113.0,0.0,2.0,182.0,182.0,D,PERIODIC,4Pi20o
"
2022.10.20_17.58.35",7.060834,43.617095,62.0,4G,LTE,-114.0,-16.0,5.0,7,-113.0,110.0,68.0,182.0,182.0,D,PERIODIC,4Pi20o
"
2022.10.20_17.58.36",7.060834,43.617095,62.0,4G,LTE,-114.0,-16.0,5.0,7,-113.0,0.0,0.0,182.0,182.0,D,PERIODIC,4Pi20o
"
2022.10.20_17.58.37",7.060834,43.617095,62.0,4G,LTE,-113.0,-14.0,7.0,8,-113.0,44.0,6.0,182.0,182.0,D,PERIODIC,4Pi20o
"
2022.10.20_17.58.38",7.060834,43.617095,62.0,4G,LTE,-113.0,-14.0,7.0,8,-113.0,91.0,36.0,182.0,182.0,D,PERIODIC,4Pi20o
"
2022.10.20_17.58.39",7.060834,43.617095,62.0,4G,LTE,-113.0,-14.0,6.0,11,-113.0,140.0,18.0,182.0,182.0,D,PERIODIC,4Pi20o
"
2022.10.20_17.58.40",7.060834,43.617095,62.0,4G,LTE,-113.0,-14.0,6.0,11,-113.0,51.0,18.0,182.0,182.0,D,PERIODIC,4Pi20o
"
2022.10.20_17.58.41",7.060834,43.617095,62.0,4G,LTE,-113.0,-14.0,6.0,11,-113.0,0.0,0.0,182.0,182.0,I,PERIODIC,4Pi20o
"
2022.10.20_17.58.42",7.060834,43.617095,62.0,4G,LTE,-113.0,-14.0,6.0,11,-113.0,0.0,4.0,182.0,182.0,D,PERIODIC,4Pi20o
"
2022.10.20_17.58.43",7.0609720000000005,43.617096000000004,62.0,4G,LTE,-113.0,-14.0,6.0,11,-113.0,0.0,4.0,181.0,181.0,D,,4Pi20o
"
2022.10.20_17.58.43",7.0609720000000005,43.617096000000004,62.0,4G,LTE,-113.0,-14.0,6.0,6,-113.0,0.0,0.0,181.0,181.0,D,PERIODIC,4Pi20o
"
2022.10.20_17.58.44",7.0609720000000005,43.617096000000004,62.0,4G,LTE,-113.0,-14.0,6.0,6,-113.0,0.0,0.0,181.0,181.0,I,PERIODIC,4Pi20o
"
2022.10.20_17.58.45",7.0609720000000005,43.617096000000004,62.0,4G,LTE,-114.0,-14.0,-13.0,7,-113.0,0.0,0.0,181.0,181.0,I,PERIODIC,4Pi20o
