Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.10_16.15.37",7.109263,43.571683,4G,LTE,-110.0,-17.0,-8.0,5.0,-94,0.0,0.0,214.0,214.0,I,LOG START,4Po
"
2022.09.10_16.15.38",7.109263,43.571683,4G,LTE,-110.0,-18.0,-9.0,7.0,-93,18.0,3.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.15.39",7.109263,43.571683,4G,LTE,-110.0,-18.0,-9.0,8.0,-94,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.15.40",7.109263,43.571683,4G,LTE,-109.0,-13.0,-5.0,11.0,-93,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.15.42",7.109263,43.571683,4G,LTE,-109.0,-13.0,-5.0,11.0,-93,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.15.42",7.109263,43.571683,4G,LTE,-111.0,-13.0,-4.0,11.0,-93,0.0,0.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.15.43",7.109263,43.571683,4G,LTE,-111.0,-13.0,-4.0,11.0,-93,18.0,2.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.15.44",7.109263,43.571683,4G,LTE,-110.0,-15.0,-4.0,11.0,-93,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.15.45",7.109263,43.571683,4G,LTE,-110.0,-15.0,-4.0,11.0,-93,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.15.47",7.109263,43.571683,4G,LTE,-111.0,-12.0,2.0,11.0,-93,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.15.47",7.109263,43.571683,4G,LTE,-111.0,-12.0,2.0,6.0,-89,0.0,0.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.15.48",7.109263,43.571683,4G,LTE,-112.0,-13.0,-2.0,8.0,-92,19.0,2.0,214.0,214.0,D,HANDOVER_DATA_4G4G,4Po
"
2022.09.10_16.15.49",7.109263,43.571683,4G,LTE,-112.0,-13.0,-2.0,8.0,-89,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.15.50",7.109263,43.571683,4G,LTE,-106.0,-13.0,-2.0,8.0,-89,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.15.52",7.109263,43.571683,4G,LTE,-106.0,-13.0,-2.0,8.0,-89,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.15.52",7.109263,43.571683,4G,LTE,-105.0,-14.0,-1.0,8.0,-89,0.0,0.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.15.54",7.109263,43.571683,4G,LTE,-105.0,-14.0,-1.0,8.0,-89,18.0,2.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.15.55",7.109263,43.571683,4G,LTE,-106.0,-15.0,-2.0,8.0,-89,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.15.56",7.109263,43.571683,4G,LTE,-106.0,-15.0,-2.0,10.0,-91,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.15.57",7.109263,43.571683,4G,LTE,-108.0,-14.0,-1.0,10.0,-91,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.15.58",7.109263,43.571683,4G,LTE,-108.0,-14.0,-1.0,9.0,-94,0.0,0.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.15.59",7.109263,43.571683,4G,LTE,-112.0,-16.0,-3.0,9.0,-92,18.0,2.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.00",7.109263,43.571683,4G,LTE,-112.0,-16.0,-3.0,9.0,-92,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.01",7.109263,43.571683,4G,LTE,-110.0,-13.0,-2.0,9.0,-92,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.02",7.109263,43.571683,4G,LTE,-110.0,-13.0,-2.0,9.0,-92,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.03",7.109263,43.571683,4G,LTE,-109.0,-14.0,-3.0,9.0,-92,0.0,1.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.04",7.109263,43.571683,4G,LTE,-109.0,-14.0,-3.0,9.0,-92,18.0,1.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.05",7.109263,43.571683,4G,LTE,-110.0,-16.0,-3.0,9.0,-92,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.06",7.109263,43.571683,4G,LTE,-110.0,-16.0,-3.0,9.0,-94,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.07",7.109263,43.571683,4G,LTE,-111.0,-13.0,-3.0,9.0,-94,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.08",7.109263,43.571683,4G,LTE,-111.0,-13.0,-3.0,8.0,-90,18.0,2.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.09",7.109263,43.571683,4G,LTE,-111.0,-13.0,-3.0,8.0,-90,0.0,0.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.10",7.109263,43.571683,4G,LTE,-107.0,-12.0,-4.0,8.0,-90,41.0,50.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.11",7.109263,43.571683,4G,LTE,-107.0,-12.0,-4.0,7.0,-92,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.12",7.109263,43.571683,4G,LTE,-109.0,-16.0,-4.0,7.0,-92,19.0,40.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.13",7.109263,43.571683,4G,LTE,-109.0,-16.0,-4.0,7.0,-92,99.0,61.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.14",7.109263,43.571683,4G,LTE,-108.0,-16.0,-5.0,7.0,-94,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.15",7.109263,43.571683,4G,LTE,-108.0,-16.0,-5.0,9.0,-89,47.0,56.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.16",7.109263,43.571683,4G,LTE,-106.0,-12.0,-3.0,9.0,-89,21.0,9.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.17",7.109263,43.571683,4G,LTE,-106.0,-12.0,-3.0,9.0,-89,0.0,5.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.18",7.109263,43.571683,4G,LTE,-107.0,-12.0,-2.0,9.0,-89,352.0,123.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.19",7.109263,43.571683,4G,LTE,-107.0,-12.0,-2.0,9.0,-89,18.0,5.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.20",7.109263,43.571683,4G,LTE,-107.0,-11.0,0.0,9.0,-89,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.21",7.109263,43.571683,4G,LTE,-107.0,-11.0,0.0,10.0,-91,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.22",7.109263,43.571683,4G,LTE,-108.0,-11.0,2.0,8.0,-93,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.23",7.109263,43.571683,4G,LTE,-108.0,-11.0,2.0,8.0,-93,18.0,3.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.24",7.109263,43.571683,4G,LTE,-111.0,-12.0,0.0,9.0,-93,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.25",7.109263,43.571683,4G,LTE,-111.0,-12.0,0.0,11.0,-91,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.26",7.109263,43.571683,4G,LTE,-109.0,-12.0,3.0,8.0,-93,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.27",7.109263,43.571683,4G,LTE,-109.0,-12.0,3.0,8.0,-93,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.28",7.109263,43.571683,4G,LTE,-110.0,-12.0,1.0,8.0,-93,18.0,3.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.29",7.109263,43.571683,4G,LTE,-110.0,-12.0,1.0,8.0,-90,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.30",7.109263,43.571683,4G,LTE,-105.0,-12.0,-6.0,11.0,-88,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.31",7.109263,43.571683,4G,LTE,-105.0,-12.0,-6.0,11.0,-88,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.32",7.109263,43.571683,4G,LTE,-105.0,-13.0,-1.0,8.0,-92,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
"
2022.09.10_16.16.33",7.109263,43.571683,4G,LTE,-105.0,-13.0,-1.0,8.0,-92,18.0,3.0,214.0,214.0,D,PERIODIC,4Po
"
2022.09.10_16.16.34",7.109263,43.571683,4G,LTE,-107.0,-13.0,-4.0,11.0,-88,0.0,0.0,214.0,214.0,I,PERIODIC,4Po
