Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.20_18.43.42",7.068664,43.616240999999995,72.0,4G,LTE,-91.0,-12.0,7.0,12.0,-75,19.0,3.0,181.0,181.0,D,LOG START,4Po20s
"
2022.09.20_18.43.43",7.068664,43.616240999999995,72.0,4G,LTE,-91.0,-12.0,7.0,13.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.43.44",7.068664,43.616240999999995,72.0,4G,LTE,-91.0,-11.0,10.0,13.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4Po20s
"
2022.09.20_18.43.45",7.068664,43.616240999999995,72.0,4G,LTE,-91.0,-11.0,10.0,13.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.43.46",7.068664,43.616240999999995,72.0,4G,LTE,-92.0,-12.0,4.0,13.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.43.47",7.068664,43.616240999999995,72.0,4G,LTE,-92.0,-12.0,4.0,13.0,-,19.0,3.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.43.48",7.068664,43.616240999999995,72.0,4G,LTE,-92.0,-12.0,4.0,13.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.43.49",7.068664,43.616240999999995,72.0,4G,LTE,-92.0,-12.0,8.0,13.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4Po20s
"
2022.09.20_18.43.50",7.068664,43.616240999999995,72.0,4G,LTE,-92.0,-12.0,8.0,13.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4Po20s
"
2022.09.20_18.43.51",7.068664,43.616240999999995,72.0,4G,LTE,-92.0,-11.0,4.0,13.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4Po20s
"
2022.09.20_18.43.52",7.068664,43.616240999999995,72.0,4G,LTE,-92.0,-11.0,4.0,13.0,-,19.0,3.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.43.53",7.068664,43.616240999999995,72.0,4G,LTE,-92.0,-11.0,6.0,13.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.43.54",7.068664,43.616240999999995,72.0,4G,LTE,-92.0,-11.0,6.0,13.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4Po20s
"
2022.09.20_18.43.55",7.068664,43.616240999999995,72.0,4G,LTE,-93.0,-12.0,6.0,13.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4Po20s
"
2022.09.20_18.43.56",7.068664,43.616240999999995,72.0,4G,LTE,-93.0,-12.0,6.0,13.0,-,3.0,13.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.43.57",7.068664,43.616240999999995,72.0,4G,LTE,-92.0,-13.0,8.0,12.0,-75,85.0,46.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.43.58",7.068664,43.616240999999995,72.0,4G,LTE,-92.0,-13.0,8.0,11.0,-80,10.0,4.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.43.59",7.068664,43.616240999999995,72.0,4G,LTE,-100.0,-12.0,7.0,11.0,-72,25.0,9.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.44.00",7.068664,43.616240999999995,72.0,4G,LTE,-100.0,-12.0,7.0,6.0,-72,0.0,0.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.44.01",7.068664,43.616240999999995,72.0,4G,LTE,-88.0,-13.0,11.0,6.0,-72,306.0,124.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.44.02",7.068664,43.616240999999995,72.0,4G,LTE,-88.0,-13.0,11.0,10.0,-76,24.0,6.0,181.0,181.0,D,PERIODIC,4Po20s
"
2022.09.20_18.44.03",7.068664,43.616240999999995,72.0,4G,LTE,-101.0,-13.0,7.0,6.0,-72,0.0,0.0,181.0,181.0,D,PERIODIC,4Po20s
