Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.29_13.32.49",7.075185,43.618232,62.0,4G,LTE,-108.0,-14.0,-10.0,9.0,-87,82.0,25.0,161.0,161.0,D,LOG START,4Pr29
"
2022.08.29_13.32.50",7.075185,43.618232,62.0,4G,LTE,-104.0,-11.0,-8.0,9.0,-87,0.0,0.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.32.51",7.075185,43.618232,62.0,4G,LTE,-104.0,-11.0,-8.0,8.0,-89,0.0,0.0,161.0,161.0,I,PERIODIC,4Pr29
"
2022.08.29_13.32.52",7.075185,43.618232,62.0,4G,LTE,-105.0,-16.0,-7.0,8.0,-89,0.0,0.0,161.0,161.0,I,PERIODIC,4Pr29
"
2022.08.29_13.32.53",7.075185,43.618232,62.0,4G,LTE,-105.0,-16.0,-7.0,8.0,-89,0.0,0.0,161.0,161.0,I,PERIODIC,4Pr29
"
2022.08.29_13.32.54",7.075185,43.618232,62.0,4G,LTE,-105.0,-16.0,-7.0,8.0,-89,19.0,3.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.32.55",7.075185,43.618232,62.0,4G,LTE,-106.0,-15.0,-4.0,8.0,-89,0.0,0.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.32.56",7.075185,43.618232,62.0,4G,LTE,-106.0,-15.0,-4.0,8.0,-89,0.0,0.0,161.0,161.0,I,PERIODIC,4Pr29
"
2022.08.29_13.32.57",7.075185,43.618232,62.0,4G,LTE,-105.0,-15.0,-5.0,8.0,-89,129.0,48.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.32.58",7.075185,43.618232,62.0,4G,LTE,-105.0,-15.0,-5.0,8.0,-89,627.0,128.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.32.59",7.075185,43.618232,62.0,4G,LTE,-106.0,-14.0,-4.0,9.0,-87,32.0,3.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.00",7.075185,43.618232,62.0,4G,LTE,-106.0,-14.0,-4.0,9.0,-87,12.0,4.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.01",7.075185,43.618232,62.0,4G,LTE,-104.0,-12.0,-1.0,9.0,-87,0.0,0.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.03",7.075185,43.618232,62.0,4G,LTE,-104.0,-12.0,-1.0,9.0,-87,291.0,74.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.03",7.075185,43.618232,62.0,4G,LTE,-105.0,-12.0,-6.0,9.0,-87,135.0,54.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.04",7.075185,43.618232,62.0,4G,LTE,-105.0,-12.0,-6.0,6.0,-92,41.0,8.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.05",7.075185,43.618232,62.0,4G,LTE,-108.0,-17.0,-9.0,6.0,-92,0.0,0.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.06",7.075185,43.618232,62.0,4G,LTE,-108.0,-17.0,-9.0,6.0,-92,0.0,0.0,161.0,161.0,I,PERIODIC,4Pr29
"
2022.08.29_13.33.07",7.075185,43.618232,62.0,4G,LTE,-109.0,-17.0,-10.0,6.0,-92,0.0,0.0,161.0,161.0,I,PERIODIC,4Pr29
"
2022.08.29_13.33.08",7.075185,43.618232,62.0,4G,LTE,-109.0,-17.0,-10.0,6.0,-92,0.0,0.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.09",7.075185,43.618232,62.0,4G,LTE,-110.0,-18.0,-11.0,6.0,-92,19.0,2.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.10",7.075185,43.618232,62.0,4G,LTE,-110.0,-18.0,-11.0,7.0,-94,0.0,0.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.12",7.075185,43.618232,62.0,4G,LTE,-110.0,-17.0,-10.0,7.0,-90,0.0,0.0,161.0,161.0,I,PERIODIC,4Pr29
"
2022.08.29_13.33.12",7.075185,43.618232,62.0,4G,LTE,-110.0,-17.0,-10.0,7.0,-90,0.0,0.0,161.0,161.0,I,PERIODIC,4Pr29
"
2022.08.29_13.33.14",7.075185,43.618232,62.0,4G,LTE,-110.0,-15.0,-9.0,6.0,-91,1.0,0.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.15",7.075185,43.618232,62.0,4G,LTE,-110.0,-15.0,-9.0,6.0,-91,19.0,2.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.16",7.075185,43.618232,62.0,4G,LTE,-107.0,-15.0,-8.0,8.0,-89,0.0,0.0,161.0,161.0,I,PERIODIC,4Pr29
"
2022.08.29_13.33.17",7.075185,43.618232,62.0,4G,LTE,-107.0,-15.0,-8.0,8.0,-89,0.0,0.0,161.0,161.0,I,PERIODIC,4Pr29
"
2022.08.29_13.33.18",7.075185,43.618232,62.0,4G,LTE,-107.0,-12.0,-8.0,8.0,-89,0.0,0.0,161.0,161.0,I,PERIODIC,4Pr29
"
2022.08.29_13.33.19",7.075185,43.618232,62.0,4G,LTE,-107.0,-12.0,-8.0,8.0,-89,0.0,1.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.20",7.075185,43.618232,62.0,4G,LTE,-106.0,-11.0,-5.0,8.0,-89,18.0,1.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.21",7.075185,43.618232,62.0,4G,LTE,-106.0,-11.0,-5.0,8.0,-89,0.0,0.0,161.0,161.0,I,PERIODIC,4Pr29
"
2022.08.29_13.33.22",7.075185,43.618232,62.0,4G,LTE,-105.0,-12.0,-2.0,8.0,-89,0.0,0.0,161.0,161.0,I,PERIODIC,4Pr29
"
2022.08.29_13.33.23",7.075185,43.618232,62.0,4G,LTE,-105.0,-12.0,-2.0,8.0,-89,22.0,3.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.24",7.075185,43.618232,62.0,4G,LTE,-105.0,-13.0,-8.0,8.0,-91,363.0,49.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.25",7.075185,43.618232,62.0,4G,LTE,-105.0,-13.0,-8.0,8.0,-91,521.0,119.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.26",7.075185,43.618232,62.0,4G,LTE,-108.0,-15.0,-6.0,8.0,-89,215.0,85.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.27",7.075185,43.618232,62.0,4G,LTE,-108.0,-15.0,-6.0,6.0,-94,3964.0,185.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.28",7.075185,43.618232,62.0,4G,LTE,-106.0,-14.0,-7.0,6.0,-94,8867.0,296.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.29",7.075185,43.618232,62.0,4G,LTE,-106.0,-14.0,-7.0,8.0,-93,9727.0,59.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.30",7.075185,43.618232,62.0,4G,LTE,-110.0,-16.0,-7.0,6.0,-90,5484.0,66.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.31",7.075185,43.618232,62.0,4G,LTE,-110.0,-16.0,-7.0,6.0,-88,3288.0,37.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.32",7.075185,43.618232,63.0,4G,LTE,-109.0,-16.0,0.0,6.0,-92,4219.0,62.0,161.0,161.0,D,HANDOVER_DATA_4G4G,4Pr29
"
2022.08.29_13.33.33",7.075185,43.618232,63.0,4G,LTE,-109.0,-16.0,0.0,6.0,-92,7733.0,48.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.34",7.075185,43.618232,63.0,4G,LTE,-109.0,-16.0,-1.0,5.0,-38,9554.0,66.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.35",7.075185,43.618232,63.0,4G,LTE,-109.0,-16.0,-1.0,6.0,-90,3448.0,59.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.36",7.075185,43.618232,63.0,4G,LTE,-106.0,-15.0,-9.0,6.0,-90,5546.0,51.0,161.0,161.0,D,HANDOVER_DATA_4G4G,4Pr29
"
2022.08.29_13.33.37",7.075185,43.618232,63.0,4G,LTE,-106.0,-15.0,-9.0,7.0,-,9062.0,53.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.38",7.075185,43.618232,63.0,4G,LTE,-107.0,-16.0,-5.0,8.0,-94,14777.0,86.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.39",7.075185,43.618232,63.0,4G,LTE,-107.0,-16.0,-5.0,8.0,-94,12848.0,91.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.40",7.075185,43.618232,63.0,4G,LTE,-110.0,-15.0,-1.0,8.0,-94,17886.0,95.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.41",7.075185,43.618232,63.0,4G,LTE,-110.0,-15.0,-1.0,8.0,-,9737.0,61.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.42",7.075185,43.618232,62.0,4G,LTE,-107.0,-15.0,-6.0,6.0,-90,5116.0,61.0,161.0,161.0,D,HANDOVER_DATA_4G4G,4Pr29
"
2022.08.29_13.33.43",7.075185,43.618232,62.0,4G,LTE,-107.0,-15.0,-6.0,10.0,-94,5813.0,41.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.44",7.075185,43.618232,62.0,4G,LTE,-110.0,-14.0,-3.0,9.0,-93,20205.0,119.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.45",7.075185,43.618232,62.0,4G,LTE,-110.0,-14.0,-3.0,9.0,-93,4006.0,27.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.46",7.075185,43.618232,62.0,4G,LTE,-112.0,-13.0,3.0,11.0,-94,3.0,5.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.47",7.075185,43.618232,62.0,4G,LTE,-112.0,-13.0,3.0,10.0,-92,4.0,6.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.48",7.075185,43.618232,62.0,4G,LTE,-106.0,-11.0,9.0,9.0,-90,189.0,15.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.49",7.075185,43.618232,62.0,4G,LTE,-106.0,-11.0,9.0,6.0,-94,5848.0,59.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.50",7.075185,43.618232,63.0,4G,LTE,-104.0,-9.0,1.0,6.0,-87,27357.0,151.0,161.0,161.0,D,HANDOVER_DATA_4G4G,4Pr29
"
2022.08.29_13.33.51",7.075185,43.618232,63.0,4G,LTE,-104.0,-9.0,1.0,6.0,-87,31166.0,199.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.52",7.075185,43.618232,63.0,4G,LTE,-108.0,-11.0,1.0,8.0,-91,8879.0,51.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.53",7.075185,43.618232,63.0,4G,LTE,-108.0,-11.0,1.0,8.0,-89,4.0,5.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.54",7.075185,43.618232,63.0,4G,LTE,-106.0,-8.0,10.0,8.0,-89,25.0,16.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.55",7.075185,43.618232,63.0,4G,LTE,-106.0,-8.0,10.0,9.0,-87,124.0,53.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.56",7.075185,43.618232,63.0,4G,LTE,-106.0,-11.0,3.0,8.0,-86,227.0,74.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.57",7.075185,43.618232,63.0,4G,LTE,-106.0,-11.0,3.0,7.0,-84,22.0,28.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.58",7.075185,43.618232,63.0,4G,LTE,-102.0,-7.0,6.0,8.0,-87,35043.0,190.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.33.59",7.075185,43.618232,63.0,4G,LTE,-102.0,-7.0,6.0,9.0,-85,22.0,8.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.00",7.075185,43.618232,63.0,4G,LTE,-101.0,-7.0,10.0,8.0,-85,7.0,5.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.01",7.075185,43.618232,63.0,4G,LTE,-101.0,-7.0,10.0,8.0,-85,23553.0,140.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.02",7.075185,43.618232,63.0,4G,LTE,-103.0,-7.0,14.0,8.0,-85,1.0,4.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.03",7.075185,43.618232,63.0,4G,LTE,-103.0,-7.0,14.0,7.0,-82,109.0,46.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.04",7.075185,43.618232,63.0,4G,LTE,-102.0,-8.0,5.0,7.0,-85,22283.0,129.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.05",7.075185,43.618232,63.0,4G,LTE,-102.0,-8.0,5.0,7.0,-85,41016.0,242.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.06",7.075185,43.618232,63.0,4G,LTE,-101.0,-9.0,9.0,7.0,-85,24110.0,135.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.07",7.075185,43.618232,63.0,4G,LTE,-101.0,-9.0,9.0,9.0,-82,3.0,5.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.08",7.075185,43.618232,63.0,4G,LTE,-98.0,-8.0,9.0,8.0,-86,3.0,6.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.09",7.075185,43.618232,63.0,4G,LTE,-98.0,-8.0,9.0,9.0,-83,23.0,15.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.10",7.075185,43.618232,63.0,4G,LTE,-100.0,-7.0,4.0,9.0,-82,9.0,9.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.11",7.075185,43.618232,63.0,4G,LTE,-100.0,-7.0,4.0,9.0,-83,3.0,5.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.12",7.075185,43.618232,63.0,4G,LTE,-98.0,-7.0,10.0,10.0,-81,3.0,5.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.14",7.075185,43.618232,63.0,4G,LTE,-98.0,-7.0,10.0,10.0,-81,3.0,5.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.15",7.075185,43.618232,63.0,4G,LTE,-98.0,-8.0,11.0,9.0,-85,45968.0,261.0,161.0,161.0,D,PERIODIC,4Pr29
"
2022.08.29_13.34.15",7.075185,43.618232,63.0,4G,LTE,-98.0,-8.0,11.0,9.0,-85,29131.0,152.0,161.0,161.0,D,PERIODIC,4Pr29
