Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.26_13.49.39",7.120844,43.579846999999994,4G,LTE,-96.0,-14.0,3.0,11.0,-80,0.0,0.0,169.0,169.0,D,LOG START,4Ps26
"
2022.08.26_13.49.40",7.120844,43.579846999999994,4G,LTE,-96.0,-13.0,2.0,11.0,-80,19.0,2.0,169.0,169.0,D,PERIODIC,4Ps26
"
2022.08.26_13.49.41",7.120844,43.579846999999994,4G,LTE,-96.0,-13.0,2.0,11.0,-80,0.0,0.0,169.0,169.0,I,PERIODIC,4Ps26
"
2022.08.26_13.49.42",7.120844,43.579846999999994,4G,LTE,-96.0,-13.0,2.0,11.0,-80,0.0,0.0,169.0,169.0,I,PERIODIC,4Ps26
"
2022.08.26_13.49.43",7.120844,43.579846999999994,4G,LTE,-97.0,-12.0,3.0,11.0,-80,0.0,0.0,169.0,169.0,I,PERIODIC,4Ps26
"
2022.08.26_13.49.44",7.120844,43.579846999999994,4G,LTE,-97.0,-12.0,3.0,11.0,-80,0.0,1.0,169.0,169.0,D,PERIODIC,4Ps26
"
2022.08.26_13.49.46",7.120844,43.579846999999994,4G,LTE,-96.0,-15.0,2.0,11.0,-80,18.0,1.0,169.0,169.0,D,PERIODIC,4Ps26
"
2022.08.26_13.49.46",7.120844,43.579846999999994,4G,LTE,-96.0,-15.0,2.0,10.0,-78,0.0,0.0,169.0,169.0,I,PERIODIC,4Ps26
"
2022.08.26_13.49.47",7.120844,43.579846999999994,4G,LTE,-96.0,-15.0,2.0,12.0,-80,19.0,13.0,169.0,169.0,D,PERIODIC,4Ps26
"
2022.08.26_13.49.48",7.120844,43.579846999999994,4G,LTE,-96.0,-14.0,4.0,15.0,-80,0.0,0.0,169.0,169.0,I,PERIODIC,4Ps26
"
2022.08.26_13.49.49",7.120844,43.579846999999994,4G,LTE,-96.0,-14.0,4.0,12.0,-78,0.0,1.0,169.0,169.0,D,PERIODIC,4Ps26
"
2022.08.26_13.49.50",7.120844,43.579846999999994,4G,LTE,-96.0,-12.0,6.0,13.0,-82,18.0,1.0,169.0,169.0,D,PERIODIC,4Ps26
"
2022.08.26_13.49.51",7.120844,43.579846999999994,4G,LTE,-96.0,-12.0,6.0,11.0,-80,0.0,0.0,169.0,169.0,I,PERIODIC,4Ps26
"
2022.08.26_13.49.52",7.120844,43.579846999999994,4G,LTE,-95.0,-14.0,7.0,13.0,-78,0.0,0.0,169.0,169.0,I,PERIODIC,4Ps26
"
2022.08.26_13.49.53",7.120844,43.579846999999994,4G,LTE,-95.0,-14.0,7.0,13.0,-78,15.0,18.0,169.0,169.0,D,PERIODIC,4Ps26
"
2022.08.26_13.49.54",7.120844,43.579846999999994,4G,LTE,-96.0,-12.0,4.0,11.0,-82,36.0,10.0,169.0,169.0,D,PERIODIC,4Ps26
"
2022.08.26_13.49.55",7.120844,43.579846999999994,4G,LTE,-96.0,-12.0,4.0,11.0,-82,0.0,0.0,169.0,169.0,D,PERIODIC,4Ps26
"
2022.08.26_13.49.57",7.120844,43.579846999999994,4G,LTE,-100.0,-15.0,8.0,11.0,-82,61.0,41.0,169.0,169.0,D,PERIODIC,4Ps26
"
2022.08.26_13.49.58",7.120844,43.579846999999994,4G,LTE,-100.0,-15.0,8.0,15.0,-81,71.0,20.0,169.0,169.0,D,PERIODIC,4Ps26
"
2022.08.26_13.49.59",7.120844,43.579846999999994,4G,LTE,-98.0,-16.0,2.0,9.0,-77,0.0,0.0,169.0,169.0,I,PERIODIC,4Ps26
"
2022.08.26_13.50.00",7.120844,43.579846999999994,4G,LTE,-98.0,-16.0,2.0,9.0,-77,19.0,2.0,169.0,169.0,D,PERIODIC,4Ps26
"
2022.08.26_13.50.00",7.120844,43.579846999999994,4G,LTE,-98.0,-16.0,2.0,14.0,-79,0.0,0.0,169.0,169.0,D,PERIODIC,4Ps26
"
2022.08.26_13.50.02",7.120844,43.579846999999994,4G,LTE,-97.0,-15.0,5.0,12.0,-81,0.0,0.0,169.0,169.0,I,PERIODIC,4Ps26
"
2022.08.26_13.50.02",7.120844,43.579846999999994,4G,LTE,-97.0,-15.0,5.0,12.0,-81,0.0,0.0,169.0,169.0,I,PERIODIC,4Ps26
