Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.29_19.08.06",7.06924,43.6152,71.0,4G,LTE,-92.0,-12.0,-6.0,6.0,-,0.0,0.0,182.0,182.0,I,LOG START,4Pt29
"
2022.08.29_19.08.06",7.06924,43.6152,71.0,4G,LTE,-92.0,-12.0,-6.0,6.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.07",7.06924,43.6152,73.0,4G,LTE,-97.0,-19.0,-7.0,4.0,-80,0.0,0.0,182.0,182.0,I,CELL_RESELECTION_4G4G,4Pt29
"
2022.08.29_19.08.08",7.06924,43.6152,73.0,4G,LTE,-97.0,-19.0,-7.0,4.0,-80,19.0,3.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.09",7.06924,43.6152,73.0,4G,LTE,-93.0,-18.0,-13.0,4.0,-76,0.0,0.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.10",7.06924,43.6152,73.0,4G,LTE,-93.0,-18.0,-13.0,5.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.11",7.06924,43.6152,73.0,4G,LTE,-94.0,-14.0,-12.0,5.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.12",7.06924,43.6152,73.0,4G,LTE,-94.0,-14.0,-12.0,5.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.13",7.06924,43.6152,73.0,4G,LTE,-94.0,-17.0,-10.0,5.0,-,19.0,3.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.14",7.06924,43.6152,73.0,4G,LTE,-94.0,-17.0,-10.0,6.0,-73,0.0,0.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.15",7.06924,43.6152,73.0,4G,LTE,-90.0,-12.0,2.0,11.0,-,0.0,0.0,182.0,182.0,I,CELL_RESELECTION_4G4G,4Pt29
"
2022.08.29_19.08.16",7.06924,43.6152,73.0,4G,LTE,-90.0,-12.0,2.0,11.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.17",7.06924,43.6152,73.0,4G,LTE,-89.0,-11.0,4.0,11.0,-,0.0,0.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.18",7.06924,43.6152,73.0,4G,LTE,-89.0,-11.0,4.0,10.0,-76,19.0,3.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.19",7.06924,43.6152,73.0,4G,LTE,-92.0,-14.0,0.0,11.0,-,0.0,0.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.20",7.06924,43.6152,73.0,4G,LTE,-92.0,-14.0,0.0,11.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.21",7.06924,43.6152,71.0,4G,LTE,-97.0,-16.0,-9.0,5.0,-80,0.0,0.0,182.0,182.0,I,CELL_RESELECTION_4G4G,4Pt29
"
2022.08.29_19.08.22",7.06924,43.6152,71.0,4G,LTE,-97.0,-16.0,-9.0,4.0,-82,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.23",7.06924,43.6152,73.0,4G,LTE,-92.0,-13.0,-10.0,6.0,-75,20.0,3.0,182.0,182.0,D,HANDOVER_DATA_4G4G,4Pt29
"
2022.08.29_19.08.24",7.06924,43.6152,73.0,4G,LTE,-92.0,-13.0,-10.0,6.0,-75,18.0,13.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.25",7.06924,43.6152,73.0,4G,LTE,-91.0,-13.0,-2.0,6.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.26",7.06924,43.6152,73.0,4G,LTE,-91.0,-13.0,-2.0,6.0,-77,8.0,7.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.27",7.06924,43.6152,73.0,4G,LTE,-91.0,-13.0,-2.0,6.0,-77,9.0,4.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.28",7.06924,43.6152,73.0,4G,LTE,-93.0,-13.0,-4.0,5.0,-80,12.0,5.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.29",7.06924,43.6152,73.0,4G,LTE,-93.0,-13.0,-4.0,8.0,-77,58.0,34.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.30",7.06924,43.6152,73.0,4G,LTE,-94.0,-14.0,-5.0,8.0,-77,96.0,19.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.31",7.06924,43.6152,73.0,4G,LTE,-94.0,-14.0,-5.0,8.0,-77,0.0,0.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.32",7.06924,43.6152,73.0,4G,LTE,-93.0,-11.0,-2.0,6.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.33",7.06924,43.6152,73.0,4G,LTE,-93.0,-11.0,-2.0,6.0,-71,19.0,3.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.34",7.06924,43.6152,71.0,4G,LTE,-88.0,-13.0,-5.0,6.0,-,0.0,0.0,182.0,182.0,I,CELL_RESELECTION_4G4G,4Pt29
"
2022.08.29_19.08.35",7.06924,43.6152,71.0,4G,LTE,-88.0,-13.0,-5.0,6.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.36",7.06924,43.6152,71.0,4G,LTE,-89.0,-11.0,-7.0,9.0,-73,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.37",7.06924,43.6152,71.0,4G,LTE,-89.0,-11.0,-7.0,9.0,-73,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.38",7.06924,43.6152,71.0,4G,LTE,-90.0,-12.0,-6.0,9.0,-73,19.0,3.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.39",7.06924,43.6152,71.0,4G,LTE,-90.0,-12.0,-6.0,9.0,-73,0.0,0.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.40",7.06924,43.6152,71.0,4G,LTE,-91.0,-12.0,-7.0,9.0,-73,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.41",7.06924,43.6152,71.0,4G,LTE,-91.0,-12.0,-7.0,9.0,-73,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.42",7.06924,43.6152,71.0,4G,LTE,-89.0,-10.0,-2.0,9.0,-73,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.43",7.06924,43.6152,71.0,4G,LTE,-89.0,-10.0,-2.0,9.0,-73,19.0,2.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.44",7.06924,43.6152,71.0,4G,LTE,-91.0,-13.0,-7.0,9.0,-73,0.0,0.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.45",7.06924,43.6152,71.0,4G,LTE,-91.0,-13.0,-7.0,7.0,-75,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.46",7.06924,43.6152,71.0,4G,LTE,-92.0,-13.0,-7.0,8.0,-72,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.47",7.06924,43.6152,71.0,4G,LTE,-92.0,-13.0,-7.0,9.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.48",7.06924,43.6152,71.0,4G,LTE,-86.0,-11.0,-5.0,9.0,-70,20.0,3.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.49",7.06924,43.6152,71.0,4G,LTE,-86.0,-11.0,-5.0,9.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.50",7.06924,43.6152,71.0,4G,LTE,-87.0,-11.0,-6.0,9.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.51",7.06924,43.6152,71.0,4G,LTE,-87.0,-11.0,-6.0,8.0,-72,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.52",7.06924,43.6152,71.0,4G,LTE,-89.0,-11.0,-8.0,8.0,-72,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.53",7.06924,43.6152,71.0,4G,LTE,-89.0,-11.0,-8.0,9.0,-70,19.0,2.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.54",7.06924,43.6152,71.0,4G,LTE,-87.0,-11.0,-3.0,9.0,-70,0.0,0.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.55",7.06924,43.6152,71.0,4G,LTE,-87.0,-11.0,-3.0,9.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.56",7.06924,43.6152,71.0,4G,LTE,-86.0,-11.0,-4.0,9.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.08.57",7.06924,43.6152,71.0,4G,LTE,-86.0,-11.0,-4.0,9.0,-70,1.0,0.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.08.58",7.06924,43.6152,71.0,4G,LTE,-87.0,-11.0,-4.0,9.0,-70,19.0,2.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.09.00",7.06924,43.6152,71.0,4G,LTE,-87.0,-11.0,-4.0,9.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Pt29
"
2022.08.29_19.09.00",7.06924,43.6152,71.0,4G,LTE,-87.0,-12.0,-3.0,9.0,-70,3.0,1.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.09.01",7.06924,43.6152,71.0,4G,LTE,-87.0,-12.0,-3.0,8.0,-72,0.0,0.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.09.03",7.06924,43.6152,71.0,4G,LTE,-89.0,-11.0,-3.0,8.0,-72,0.0,1.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.09.03",7.06924,43.6152,71.0,4G,LTE,-89.0,-11.0,-3.0,6.0,-77,7.0,1.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.09.04",7.06924,43.6152,73.0,4G,LTE,-92.0,-12.0,0.0,6.0,-75,75.0,34.0,182.0,182.0,D,HANDOVER_DATA_4G4G,4Pt29
"
2022.08.29_19.09.05",7.06924,43.6152,73.0,4G,LTE,-92.0,-12.0,0.0,8.0,-72,260.0,54.0,182.0,182.0,D,PERIODIC,4Pt29
"
2022.08.29_19.09.06",7.06924,43.6152,73.0,4G,LTE,-89.0,-11.0,-2.0,8.0,-72,569.0,143.0,182.0,182.0,D,PERIODIC,4Pt29
