Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.08_16.44.09",7.072474000000001,43.61679,4G,LTE,-83.0,-14.0,3.0,6.0,-68,0.0,0.0,181.0,181.0,I,LOG START,4Pt7s
"
2022.09.08_16.44.09",7.072474000000001,43.61679,4G,LTE,-86.0,-14.0,3.0,6.0,-68,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.10",7.072474000000001,43.61679,4G,LTE,-86.0,-14.0,3.0,6.0,-68,0.0,0.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.11",7.072474000000001,43.61679,4G,LTE,-85.0,-14.0,7.0,6.0,-68,18.0,2.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.12",7.072474000000001,43.61679,4G,LTE,-85.0,-14.0,7.0,6.0,-68,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.13",7.072474000000001,43.61679,4G,LTE,-85.0,-14.0,5.0,6.0,-68,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.14",7.072474000000001,43.61679,4G,LTE,-85.0,-14.0,5.0,6.0,-68,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.15",7.072474000000001,43.61679,4G,LTE,-85.0,-14.0,3.0,10.0,-66,0.0,0.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.16",7.072474000000001,43.61679,4G,LTE,-85.0,-14.0,3.0,10.0,-66,18.0,2.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.17",7.072474000000001,43.61679,4G,LTE,-86.0,-12.0,6.0,9.0,-70,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.18",7.072474000000001,43.61679,4G,LTE,-86.0,-12.0,6.0,9.0,-70,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.19",7.072474000000001,43.61679,4G,LTE,-87.0,-13.0,2.0,9.0,-70,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.20",7.072474000000001,43.61679,4G,LTE,-87.0,-13.0,2.0,9.0,-70,2.0,2.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.21",7.072474000000001,43.61679,4G,LTE,-86.0,-10.0,3.0,11.0,-68,18.0,1.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.22",7.072474000000001,43.61679,4G,LTE,-86.0,-10.0,3.0,11.0,-68,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.23",7.072474000000001,43.61679,4G,LTE,-85.0,-14.0,4.0,6.0,-70,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.24",7.072474000000001,43.61679,4G,LTE,-85.0,-14.0,4.0,6.0,-70,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.25",7.072474000000001,43.61679,4G,LTE,-85.0,-15.0,4.0,11.0,-68,0.0,1.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.26",7.072474000000001,43.61679,4G,LTE,-85.0,-15.0,4.0,11.0,-68,19.0,2.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.27",7.072474000000001,43.61679,4G,LTE,-85.0,-11.0,5.0,11.0,-68,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.28",7.072474000000001,43.61679,4G,LTE,-85.0,-11.0,5.0,5.0,-70,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.29",7.072474000000001,43.61679,4G,LTE,-87.0,-14.0,7.0,5.0,-70,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.30",7.072474000000001,43.61679,4G,LTE,-87.0,-14.0,7.0,5.0,-70,18.0,2.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.31",7.072474000000001,43.61679,4G,LTE,-87.0,-13.0,2.0,6.0,-68,0.0,0.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.33",7.072474000000001,43.61679,4G,LTE,-87.0,-13.0,2.0,6.0,-68,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.34",7.072474000000001,43.61679,4G,LTE,-85.0,-14.0,5.0,6.0,-68,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.34",7.072474000000001,43.61679,4G,LTE,-85.0,-14.0,5.0,6.0,-68,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.36",7.072474000000001,43.61679,4G,LTE,-85.0,-13.0,9.0,6.0,-68,18.0,2.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.37",7.072474000000001,43.61679,4G,LTE,-85.0,-13.0,9.0,9.0,-68,0.0,0.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.38",7.072474000000001,43.61679,4G,LTE,-86.0,-14.0,5.0,10.0,-66,64.0,72.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.39",7.072474000000001,43.61679,4G,LTE,-86.0,-14.0,5.0,10.0,-66,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.40",7.072474000000001,43.61679,4G,LTE,-83.0,-15.0,9.0,10.0,-66,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.41",7.072474000000001,43.61679,4G,LTE,-83.0,-15.0,9.0,10.0,-66,18.0,2.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.42",7.072474000000001,43.61679,4G,LTE,-83.0,-11.0,5.0,10.0,-66,0.0,0.0,181.0,181.0,D,PERIODIC,4Pt7s
"
2022.09.08_16.44.43",7.072474000000001,43.61679,4G,LTE,-83.0,-11.0,5.0,10.0,-66,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.44",7.072474000000001,43.61679,4G,LTE,-84.0,-14.0,7.0,9.0,-64,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.45",7.072474000000001,43.61679,4G,LTE,-84.0,-14.0,7.0,9.0,-66,0.0,0.0,181.0,181.0,I,PERIODIC,4Pt7s
"
2022.09.08_16.44.46",7.072474000000001,43.61679,4G,LTE,-83.0,-15.0,6.0,9.0,-66,18.0,3.0,181.0,181.0,D,PERIODIC,4Pt7s
