Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.09_16.21.17",7.108480999999999,43.571754999999996,63.0,4G,LTE,-92.0,-12.0,3.0,10.0,-75,18.0,3.0,201.0,201.0,D,LOG START,4Py9s
"
2022.09.09_16.21.18",7.108480999999999,43.571754999999996,63.0,4G,LTE,-91.0,-12.0,12.0,10.0,-75,0.0,0.0,201.0,201.0,D,PERIODIC,4Py9s
"
2022.09.09_16.21.18",7.108480999999999,43.571754999999996,63.0,4G,LTE,-91.0,-12.0,12.0,10.0,-75,0.0,0.0,201.0,201.0,D,PERIODIC,4Py9s
"
2022.09.09_16.21.20",7.108480999999999,43.571754999999996,63.0,4G,LTE,-92.0,-12.0,11.0,10.0,-75,0.0,0.0,201.0,201.0,I,PERIODIC,4Py9s
"
2022.09.09_16.21.20",7.108480999999999,43.571754999999996,63.0,4G,LTE,-92.0,-12.0,11.0,10.0,-75,0.0,0.0,201.0,201.0,I,PERIODIC,4Py9s
"
2022.09.09_16.21.21",7.108480999999999,43.571754999999996,63.0,4G,LTE,-92.0,-12.0,11.0,10.0,-75,18.0,3.0,201.0,201.0,D,PERIODIC,4Py9s
"
2022.09.09_16.21.22",7.108480999999999,43.571754999999996,63.0,4G,LTE,-92.0,-12.0,7.0,10.0,-75,1.0,1.0,201.0,201.0,D,PERIODIC,4Py9s
"
2022.09.09_16.21.23",7.108480999999999,43.571754999999996,63.0,4G,LTE,-92.0,-12.0,7.0,10.0,-75,57.0,8.0,201.0,201.0,D,PERIODIC,4Py9s
"
2022.09.09_16.21.25",7.108480999999999,43.571754999999996,63.0,4G,LTE,-93.0,-12.0,8.0,10.0,-75,1.0,1.0,201.0,201.0,D,PERIODIC,4Py9s
"
2022.09.09_16.21.26",7.108480999999999,43.571754999999996,63.0,4G,LTE,-93.0,-12.0,8.0,10.0,-75,52.0,16.0,201.0,201.0,D,PERIODIC,4Py9s
