Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.28_17.51.11",-4.320717,38.653488,4G,LTE,-97.0,-6,14.0,13,-99,0.0,0.0,0.0,0.0,I,LOG START,4spain
"
2022.09.28_17.51.11",-4.320717,38.653488,4G,LTE,-97.0,-6,14.0,13,-99,1.0,10.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.12",-4.320717,38.653488,4G,LTE,-97.0,-6,14.0,13,-101,0.0,0.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.13",-4.320717,38.653488,4G,LTE,-105.0,-7,13.0,12,-105,0.0,0.0,0.0,0.0,I,PERIODIC,4spain
"
2022.09.28_17.51.14",-4.320717,38.653488,4G,LTE,-105.0,-7,13.0,12,-105,12.0,7.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.15",-4.320717,38.653488,4G,LTE,-108.0,-6,14.0,7,-57,56.0,37.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.16",-4.320717,38.653488,4G,LTE,-108.0,-6,14.0,7,-57,113.0,3.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.17",-4.320717,38.653488,4G,LTE,-107.0,-6,11.0,8,-53,1.0,7.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.18",-4.320717,38.653488,4G,LTE,-107.0,-6,11.0,8,-53,14.0,24.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.19",-4.320717,38.653488,4G,LTE,-106.0,-7,14.0,8,-53,2846.0,77.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.20",-4.320717,38.653488,4G,LTE,-106.0,-7,14.0,8,-53,2.0,6.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.21",-4.320717,38.653488,4G,LTE,-106.0,-6,14.0,13,-55,0.0,10.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.22",-4.320717,38.653488,4G,LTE,-106.0,-6,14.0,13,-55,3.0,0.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.23",-4.320717,38.653488,4G,LTE,-112.0,-8,4.0,4,-65,7.0,6.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.24",-4.320717,38.653488,4G,LTE,-111.0,-8,5.0,4,-55,56.0,15.0,0.0,0.0,D,HANDOVER_DATA_4G4G,4spain
"
2022.09.28_17.51.25",-4.320717,38.653488,4G,LTE,-114.0,-10,-2.0,9,-57,0.0,0.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.26",-4.320717,38.653488,4G,LTE,-96.0,-14,-3.0,6,-91,0.0,0.0,0.0,0.0,I,CELL_RESELECTION_4G4G,4spain
"
2022.09.28_17.51.27",-4.320717,38.653488,4G,LTE,-91.0,-11,25.0,11,-97,0.0,0.0,0.0,0.0,I,PERIODIC,4spain
"
2022.09.28_17.51.28",-4.320717,38.653488,4G,LTE,-91.0,-11,25.0,11,-97,0.0,0.0,0.0,0.0,I,PERIODIC,4spain
"
2022.09.28_17.51.29",-4.320717,38.653488,4G,LTE,-100.0,-12,3.0,14,-101,18.0,29.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.30",-4.320717,38.653488,4G,LTE,-100.0,-12,3.0,14,-101,0.0,0.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.31",-4.320717,38.653488,4G,LTE,-106.0,-11,14.0,10,-107,0.0,12.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.32",-4.320717,38.653488,4G,LTE,-106.0,-11,14.0,10,-99,0.0,0.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.34",-4.320717,38.653488,4G,LTE,-99.0,-11,19.0,15,-99,1.0,2.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.35",-4.320717,38.653488,4G,LTE,-99.0,-11,19.0,15,-95,997.0,485.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.35",-4.320717,38.653488,4G,LTE,-87.0,-11,24.0,15,-87,1656.0,638.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.37",-4.320717,38.653488,4G,LTE,-87.0,-11,24.0,15,-87,1002.0,253.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.37",-4.320717,38.653488,4G,LTE,-95.0,-11,23.0,15,-95,97.0,43.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.38",-4.320717,38.653488,4G,LTE,-95.0,-11,23.0,15,-105,127.0,31.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.40",-4.320717,38.653488,4G,LTE,-105.0,-12,8.0,13,-105,29.0,3.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.41",-4.320717,38.653488,4G,LTE,-105.0,-12,8.0,13,-105,23.0,7.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.42",-4.320717,38.653488,4G,LTE,-100.0,-11,8.0,13,-101,5.0,1.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.42",-4.320717,38.653488,4G,LTE,-100.0,-11,8.0,13,-101,0.0,0.0,0.0,0.0,I,PERIODIC,4spain
"
2022.09.28_17.51.44",-4.320717,38.653488,4G,LTE,-100.0,-11,8.0,13,-101,0.0,10.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.45",-4.320717,38.653488,4G,LTE,-100.0,-11,8.0,13,-97,49.0,31.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.46",-4.320717,38.653488,4G,LTE,-82.0,-10,27.0,15,-83,0.0,0.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.47",-4.320717,38.653488,4G,LTE,-82.0,-10,27.0,15,-99,0.0,0.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.48",-4.320717,38.653488,4G,LTE,-95.0,-11,8.0,6,-105,14.0,61.0,0.0,0.0,D,HANDOVER_DATA_4G4G,4spain
"
2022.09.28_17.51.49",-4.320717,38.653488,4G,LTE,-95.0,-11,8.0,6,-95,3.0,3.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.50",-4.320717,38.653488,4G,LTE,-94.0,-12,10.0,15,-95,303.0,195.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.51",-4.320717,38.653488,4G,LTE,-94.0,-12,10.0,15,-97,0.0,0.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.52",-4.320717,38.653488,4G,LTE,-95.0,-12,16.0,15,-97,0.0,0.0,0.0,0.0,I,PERIODIC,4spain
"
2022.09.28_17.51.53",-4.320717,38.653488,4G,LTE,-95.0,-12,16.0,15,-97,124.0,138.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.54",-4.320717,38.653488,4G,LTE,-98.0,-13,5.0,10,-99,0.0,0.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.55",-4.320717,38.653488,4G,LTE,-98.0,-13,5.0,10,-99,5.0,8.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.56",-4.320717,38.653488,4G,LTE,-102.0,-13,2.0,11,-103,92.0,199.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.57",-4.320717,38.653488,4G,LTE,-102.0,-13,2.0,11,-103,1132.0,397.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.58",-4.320717,38.653488,4G,LTE,-104.0,-13,1.0,12,-105,674.0,273.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.51.59",-4.320717,38.653488,4G,LTE,-104.0,-13,-2.0,6,-105,2450.0,398.0,0.0,0.0,D,HANDOVER_DATA_4G4G,4spain
"
2022.09.28_17.52.00",-4.320717,38.653488,4G,LTE,-97.0,-15,3.0,12,-97,10555.0,235.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.52.01",-4.320717,38.653488,4G,LTE,-97.0,-15,3.0,12,-97,1556.0,23.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.52.02",-4.320717,38.653488,4G,LTE,-97.0,-14,4.0,11,-97,3249.0,274.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.52.03",-4.320717,38.653488,4G,LTE,-97.0,-14,4.0,11,-97,2829.0,47.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.52.04",-4.320717,38.653488,4G,LTE,-98.0,-14,2.0,10,-97,4785.0,106.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.52.05",-4.320717,38.653488,4G,LTE,-98.0,-14,2.0,10,-99,5296.0,236.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.52.06",-4.320717,38.653488,4G,LTE,-98.0,-14,2.0,10,-97,5609.0,79.0,0.0,0.0,D,PERIODIC,4spain
"
2022.09.28_17.52.07",-4.320717,38.653488,4G,LTE,-98.0,-13,7.0,5,-97,2410.0,47.0,0.0,0.0,D,PERIODIC,4spain
