Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.12_18.14.59",7.0729679999999995,43.616863,4G,LTE,-97.0,-8.0,17.0,-,-105,0.0,5.0,171.0,171.0,D,LOG START,-97.0,-8.0,17.0,5A12
"
2022.09.12_18.14.59",7.0729679999999995,43.616863,4G,LTE,-97.0,-8.0,17.0,-,-105,0.0,5.0,171.0,171.0,D,PERIODIC,,,,5A12
"
2022.09.12_18.14.59",7.0729679999999995,43.616863,4G,LTE,-97.0,-8.0,17.0,-,-105,0.0,5.0,171.0,171.0,D,,,,,5A12
"
2022.09.12_18.15.00",7.072986,43.616823,4G,LTE,-97.0,-8.0,17.0,-,-105,0.0,5.0,171.0,171.0,D,,,,,5A12
"
2022.09.12_18.15.00",7.072986,43.616823,4G,LTE,-97.0,-8.0,19.0,14,-105,18.0,19.0,171.0,171.0,D,PERIODIC,,,,5A12
"
2022.09.12_18.15.01",7.072986,43.616823,5G,5G,-92.0,-3.0,20.0,14,-,0.0,0.0,171.0,171.0,I,PERIODIC,-97.0,-8.0,19.0,5A12
"
2022.09.12_18.15.01",7.072986,43.616823,5G,5G,-92.0,-3.0,20.0,14,-,0.0,0.0,171.0,171.0,I,,-97.0,-8.0,19.0,5A12
"
2022.09.12_18.15.02",7.072986,43.616823,5G,5G,-92.0,-3.0,20.0,13,-,0.0,0.0,171.0,171.0,I,PERIODIC,-96.0,-7.0,19.0,5A12
"
2022.09.12_18.15.03",7.072986,43.616823,5G,5G,-92.0,-3.0,20.0,13,-,0.0,0.0,171.0,171.0,I,PERIODIC,-96.0,-7.0,19.0,5A12
"
2022.09.12_18.15.04",7.072986,43.616823,5G,5G,-92.0,-3.0,20.0,14,-,0.0,0.0,171.0,171.0,I,PERIODIC,-96.0,-8.0,19.0,5A12
"
2022.09.12_18.15.05",7.072986,43.616823,5G,5G,-92.0,-3.0,20.0,14,-,0.0,0.0,171.0,171.0,I,PERIODIC,-96.0,-8.0,19.0,5A12
"
2022.09.12_18.15.06",7.072986,43.616823,5G,5G,-92.0,-3.0,20.0,14,-,208.0,125.0,171.0,171.0,D,PERIODIC,-96.0,-13.0,20.0,5A12
"
2022.09.12_18.15.07",7.072986,43.616823,5G,5G,-92.0,-3.0,20.0,14,-,83.0,36.0,171.0,171.0,D,PERIODIC,-96.0,-13.0,20.0,5A12
"
2022.09.12_18.15.08",7.072986,43.616823,5G,5G,-92.0,-3.0,20.0,14,-,0.0,0.0,171.0,171.0,D,PERIODIC,-96.0,-10.0,20.0,5A12
"
2022.09.12_18.15.09",7.072986,43.616823,5G,5G,-92.0,-3.0,21.0,14,-,0.0,0.0,171.0,171.0,I,PERIODIC,-96.0,-10.0,20.0,5A12
"
2022.09.12_18.15.10",7.072986,43.616823,5G,5G,-92.0,-3.0,21.0,14,-,0.0,0.0,171.0,171.0,I,PERIODIC,-95.0,-12.0,19.0,5A12
"
2022.09.12_18.15.11",7.072986,43.616823,5G,5G,-92.0,-3.0,21.0,14,-,53.0,7.0,171.0,171.0,D,PERIODIC,-95.0,-12.0,19.0,5A12
"
2022.09.12_18.15.12",7.072986,43.616823,5G,5G,-92.0,-3.0,21.0,14,-,1.0,1.0,171.0,171.0,D,PERIODIC,-95.0,-12.0,19.0,5A12
