Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.08_16.37.57",7.0880529999999995,43.602729,61.0,4G,LTE,-101.0,-7.0,8.0,-,-103,0.0,0.0,127.0,127.0,I,LOG START,,,,5A7s
"
2022.09.08_16.37.57",7.0880529999999995,43.602729,61.0,4G,LTE,-103.0,-11.0,1.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.37.58",7.0880529999999995,43.602729,61.0,4G,LTE,-103.0,-11.0,1.0,-,-103,0.0,0.0,127.0,127.0,I,,,,,5A7s
"
2022.09.08_16.37.58",7.0880529999999995,43.602729,61.0,4G,LTE,-103.0,-11.0,1.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.37.59",7.0880529999999995,43.602729,61.0,4G,LTE,-104.0,-14.0,3.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.38.00",7.0880529999999995,43.602729,61.0,4G,LTE,-104.0,-14.0,3.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.38.01",7.0880529999999995,43.602729,61.0,4G,LTE,-104.0,-13.0,5.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.38.02",7.0880529999999995,43.602729,61.0,4G,LTE,-104.0,-13.0,5.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.38.03",7.0880529999999995,43.602729,61.0,4G,LTE,-104.0,-12.0,0.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.38.04",7.0880529999999995,43.602729,61.0,4G,LTE,-104.0,-12.0,0.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.38.05",7.0880529999999995,43.602729,61.0,4G,LTE,-104.0,-11.0,13.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.38.06",7.0880529999999995,43.602729,61.0,4G,LTE,-104.0,-11.0,13.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.38.07",7.0880529999999995,43.602729,61.0,4G,LTE,-103.0,-10.0,14.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.38.08",7.0880529999999995,43.602729,61.0,4G,LTE,-103.0,-10.0,14.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.38.09",7.0880529999999995,43.602729,61.0,4G,LTE,-103.0,-10.0,4.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.38.10",7.0880529999999995,43.602729,61.0,4G,LTE,-103.0,-10.0,4.0,-,-103,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5A7s
"
2022.09.08_16.38.11",7.0880529999999995,43.602729,61.0,4G,LTE,-103.0,-10.0,4.0,-,-103,60.0,11.0,127.0,127.0,D,PERIODIC,,,,5A7s
"
2022.09.08_16.38.12",7.0880529999999995,43.602729,61.0,4G,LTE,-103.0,-10.0,9.0,12,-103,54.0,18.0,127.0,127.0,D,PERIODIC,,,,5A7s
"
2022.09.08_16.38.13",7.0880529999999995,43.602729,61.0,4G,LTE,-103.0,-10.0,9.0,12,-103,154.0,28.0,127.0,127.0,D,PERIODIC,,,,5A7s
"
2022.09.08_16.38.14",7.0880529999999995,43.602729,61.0,4G,LTE,-103.0,-9.0,14.0,13,-103,128.0,40.0,127.0,127.0,D,PERIODIC,,,,5A7s
"
2022.09.08_16.38.15",7.0880529999999995,43.602729,61.0,5G,5G,-96.0,-3.0,16.0,13,-,46.0,14.0,127.0,127.0,D,PERIODIC,-103.0,-9.0,14.0,5A7s
"
2022.09.08_16.38.15",7.0880529999999995,43.602729,61.0,5G,5G,-96.0,-3.0,16.0,13,-,46.0,14.0,127.0,127.0,D,,-103.0,-9.0,14.0,5A7s
"
2022.09.08_16.38.16",7.0880529999999995,43.602729,61.0,5G,5G,-98.0,-3.0,14.0,11,-,2.0,0.0,127.0,127.0,D,PERIODIC,-103.0,-8.0,8.0,5A7s
"
2022.09.08_16.38.17",7.0880529999999995,43.602729,61.0,5G,5G,-98.0,-3.0,14.0,11,-,0.0,0.0,127.0,127.0,I,PERIODIC,-103.0,-8.0,8.0,5A7s
"
2022.09.08_16.38.18",7.0880529999999995,43.602729,61.0,5G,5G,-98.0,-3.0,14.0,12,-,0.0,0.0,127.0,127.0,I,PERIODIC,-103.0,-13.0,4.0,5A7s
"
2022.09.08_16.38.19",7.0880529999999995,43.602729,61.0,5G,5G,-98.0,-3.0,14.0,12,-,1.0,1.0,127.0,127.0,D,PERIODIC,-103.0,-13.0,4.0,5A7s
"
2022.09.08_16.38.20",7.0880529999999995,43.602729,61.0,5G,5G,-98.0,-3.0,14.0,10,-,57.0,22.0,127.0,127.0,D,PERIODIC,-103.0,-11.0,7.0,5A7s
"
2022.09.08_16.38.21",7.0880529999999995,43.602729,61.0,5G,5G,-98.0,-3.0,14.0,10,-,0.0,2.0,127.0,127.0,D,PERIODIC,-103.0,-11.0,7.0,5A7s
"
2022.09.08_16.38.22",7.0880529999999995,43.602729,61.0,5G,5G,-98.0,-3.0,14.0,7,-,0.0,2.0,127.0,127.0,D,PERIODIC,-103.0,-10.0,3.0,5A7s
"
2022.09.08_16.38.23",7.0880529999999995,43.602729,61.0,5G,5G,-96.0,-3.0,15.0,7,-,0.0,0.0,127.0,127.0,D,PERIODIC,-103.0,-10.0,3.0,5A7s
"
2022.09.08_16.38.24",7.0880529999999995,43.602729,61.0,5G,5G,-96.0,-3.0,15.0,6,-,0.0,0.0,127.0,127.0,I,PERIODIC,-104.0,-13.0,8.0,5A7s
"
2022.09.08_16.38.25",7.0880529999999995,43.602729,61.0,5G,5G,-93.0,-3.0,18.0,6,-,0.0,0.0,127.0,127.0,D,PERIODIC,-104.0,-13.0,8.0,5A7s
"
2022.09.08_16.38.26",7.0880529999999995,43.602729,61.0,5G,5G,-93.0,-3.0,18.0,8,-,0.0,0.0,127.0,127.0,I,PERIODIC,-102.0,-11.0,6.0,5A7s
"
2022.09.08_16.38.27",7.0880529999999995,43.602729,61.0,5G,5G,-93.0,-3.0,18.0,8,-,0.0,0.0,127.0,127.0,I,PERIODIC,-102.0,-11.0,6.0,5A7s
