Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.09_16.00.54",7.118917999999999,43.586134,63.0,5G,5G,-84.0,-3.0,19.0,10.0,-,0.0,0.0,33.0,33.0,D,LOG START,-79.0,-9.0,8.0,5A9s2
"
2022.09.09_16.00.55",7.118917999999999,43.586134,63.0,5G,5G,-84.0,-3.0,19.0,10.0,-,2.0,2.0,33.0,33.0,D,PERIODIC,-79.0,-9.0,8.0,5A9s2
"
2022.09.09_16.00.55",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,19.0,10.0,-,2.0,2.0,66.0,66.0,D,,-79.0,-9.0,8.0,5A9s2
"
2022.09.09_16.00.56",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,19.0,10.0,-,0.0,0.0,66.0,66.0,I,PERIODIC,-78.0,-10.0,8.0,5A9s2
"
2022.09.09_16.00.57",7.118919,43.586118,63.0,5G,5G,-80.0,-3.0,21.0,10.0,-,0.0,0.0,66.0,66.0,I,PERIODIC,-78.0,-10.0,8.0,5A9s2
"
2022.09.09_16.00.58",7.118919,43.586118,63.0,5G,5G,-80.0,-3.0,21.0,14.0,-,0.0,0.0,66.0,66.0,I,PERIODIC,-77.0,-8.0,10.0,5A9s2
"
2022.09.09_16.00.59",7.118919,43.586118,63.0,5G,5G,-80.0,-3.0,21.0,14.0,-,0.0,0.0,66.0,66.0,I,PERIODIC,-77.0,-8.0,10.0,5A9s2
"
2022.09.09_16.01.00",7.118919,43.586118,63.0,5G,5G,-80.0,-3.0,21.0,11.0,-,0.0,0.0,66.0,66.0,I,PERIODIC,-77.0,-9.0,10.0,5A9s2
"
2022.09.09_16.01.01",7.118919,43.586118,63.0,5G,5G,-81.0,-3.0,19.0,11.0,-,153.0,96.0,66.0,66.0,D,PERIODIC,-77.0,-9.0,10.0,5A9s2
"
2022.09.09_16.01.02",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,15.0,-,0.0,0.0,66.0,66.0,D,PERIODIC,-80.0,-12.0,10.0,5A9s2
"
2022.09.09_16.01.03",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,15.0,-,2.0,5.0,66.0,66.0,D,PERIODIC,-80.0,-12.0,10.0,5A9s2
"
2022.09.09_16.01.04",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,14.0,-,42.0,2.0,66.0,66.0,D,PERIODIC,-77.0,-14.0,15.0,5A9s2
"
2022.09.09_16.01.05",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,14.0,-,320.0,64.0,66.0,66.0,D,PERIODIC,-77.0,-14.0,15.0,5A9s2
"
2022.09.09_16.01.06",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,14.0,-,5.0,3.0,66.0,66.0,D,PERIODIC,-78.0,-12.0,12.0,5A9s2
"
2022.09.09_16.01.07",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,14.0,-,0.0,0.0,66.0,66.0,D,PERIODIC,-78.0,-12.0,12.0,5A9s2
"
2022.09.09_16.01.08",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,9.0,-,54.0,22.0,66.0,66.0,D,PERIODIC,-77.0,-10.0,5.0,5A9s2
"
2022.09.09_16.01.09",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,9.0,-,4.0,3.0,66.0,66.0,D,PERIODIC,-77.0,-10.0,5.0,5A9s2
"
2022.09.09_16.01.10",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,12.0,-,0.0,4.0,66.0,66.0,D,PERIODIC,-77.0,-12.0,10.0,5A9s2
"
2022.09.09_16.01.11",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,12.0,-,1.0,1.0,66.0,66.0,D,PERIODIC,-77.0,-12.0,10.0,5A9s2
"
2022.09.09_16.01.12",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,14.0,-,12.0,36.0,66.0,66.0,D,PERIODIC,-78.0,-9.0,4.0,5A9s2
"
2022.09.09_16.01.13",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,14.0,-,9.0,2.0,66.0,66.0,D,PERIODIC,-78.0,-9.0,4.0,5A9s2
"
2022.09.09_16.01.14",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,10.0,-,57.0,49.0,66.0,66.0,D,PERIODIC,-79.0,-9.0,16.0,5A9s2
"
2022.09.09_16.01.15",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,10.0,-,1.0,4.0,66.0,66.0,D,PERIODIC,-79.0,-9.0,16.0,5A9s2
"
2022.09.09_16.01.16",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,12.0,-,197.0,56.0,66.0,66.0,D,PERIODIC,-77.0,-11.0,11.0,5A9s2
"
2022.09.09_16.01.17",7.118919,43.586118,63.0,5G,5G,-84.0,-3.0,17.0,12.0,-,1.0,0.0,66.0,66.0,D,PERIODIC,-77.0,-11.0,11.0,5A9s2
"
2022.09.09_16.01.18",7.118919,43.586118,63.0,5G,5G,-83.0,-3.0,20.0,15.0,-,2.0,2.0,66.0,66.0,D,PERIODIC,-79.0,-11.0,9.0,5A9s2
"
2022.09.09_16.01.19",7.118919,43.586118,63.0,5G,5G,-81.0,-3.0,21.0,15.0,-,0.0,0.0,66.0,66.0,I,PERIODIC,-79.0,-11.0,9.0,5A9s2
