Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.10_16.33.32",7.1036410000000005,43.572169,61.0,5G,5G,-106.0,-3.0,14.0,9,-,0.0,0.0,79.0,79.0,I,LOG START,-104.0,-7.0,1.0,5Ab
"
2022.09.10_16.33.32",7.1036410000000005,43.572169,61.0,5G,5G,-106.0,-3.0,14.0,9,-,0.0,0.0,79.0,79.0,I,PERIODIC,-104.0,-7.0,1.0,5Ab
"
2022.09.10_16.33.33",7.1036410000000005,43.572169,61.0,5G,5G,-102.0,-3.0,16.0,9,-,1.0,6.0,79.0,79.0,D,PERIODIC,-104.0,-7.0,1.0,5Ab
"
2022.09.10_16.33.33",7.103644999999999,43.572151,61.0,5G,5G,-102.0,-3.0,16.0,9,-,1.0,6.0,63.0,63.0,D,,-104.0,-7.0,1.0,5Ab
"
2022.09.10_16.33.34",7.103644999999999,43.572151,61.0,5G,5G,-103.0,-3.0,14.0,10,-,115.0,98.0,63.0,63.0,D,PERIODIC,-107.0,-11.0,2.0,5Ab
"
2022.09.10_16.33.35",7.103644999999999,43.572151,61.0,5G,5G,-103.0,-3.0,14.0,10,-,0.0,0.0,63.0,63.0,D,PERIODIC,-107.0,-11.0,2.0,5Ab
"
2022.09.10_16.33.36",7.103644999999999,43.572151,61.0,5G,5G,-103.0,-3.0,14.0,7,-,0.0,0.0,63.0,63.0,I,PERIODIC,-106.0,-12.0,5.0,5Ab
"
2022.09.10_16.33.37",7.103644999999999,43.572151,61.0,5G,5G,-101.0,-3.0,13.0,7,-,0.0,0.0,63.0,63.0,I,PERIODIC,-106.0,-12.0,5.0,5Ab
"
2022.09.10_16.33.38",7.103644999999999,43.572151,61.0,5G,5G,-101.0,-3.0,13.0,9,-,0.0,0.0,63.0,63.0,I,PERIODIC,-106.0,-10.0,5.0,5Ab
"
2022.09.10_16.33.39",7.103644999999999,43.572151,61.0,5G,5G,-100.0,-3.0,16.0,9,-,0.0,0.0,63.0,63.0,D,PERIODIC,-106.0,-10.0,5.0,5Ab
"
2022.09.10_16.33.40",7.103644999999999,43.572151,61.0,5G,5G,-99.0,-3.0,14.0,6,-,0.0,0.0,63.0,63.0,I,PERIODIC,-105.0,-10.0,1.0,5Ab
"
2022.09.10_16.33.41",7.103644999999999,43.572151,61.0,5G,5G,-96.0,-3.0,17.0,6,-,0.0,0.0,63.0,63.0,I,PERIODIC,-105.0,-10.0,1.0,5Ab
"
2022.09.10_16.33.42",7.103644999999999,43.572151,61.0,5G,5G,-96.0,-3.0,17.0,7,-,0.0,0.0,63.0,63.0,I,PERIODIC,-105.0,-9.0,3.0,5Ab
"
2022.09.10_16.33.43",7.103644999999999,43.572151,61.0,5G,5G,-96.0,-3.0,17.0,7,-,0.0,0.0,63.0,63.0,I,PERIODIC,-105.0,-9.0,3.0,5Ab
"
2022.09.10_16.33.44",7.103644999999999,43.572151,61.0,5G,5G,-101.0,-3.0,15.0,7,-,0.0,0.0,63.0,63.0,I,PERIODIC,-105.0,-9.0,3.0,5Ab
"
2022.09.10_16.33.45",7.103644999999999,43.572151,61.0,5G,5G,-103.0,-3.0,12.0,6,-,0.0,0.0,63.0,63.0,I,PERIODIC,-107.0,-12.0,3.0,5Ab
