Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.30_16.57.19",7.072916,43.616799,63.0,5G,5G,-98.0,-3.0,20.0,9.0,-,0.0,0.0,159.0,159.0,D,LOG START,-89.0,-6.0,19.0,5Ae30
"
2022.08.30_16.57.20",7.073013,43.616775,63.0,5G,5G,-98.0,-3.0,20.0,9.0,-,0.0,0.0,165.0,165.0,I,,-89.0,-6.0,19.0,5Ae30
"
2022.08.30_16.57.20",7.073013,43.616775,63.0,5G,5G,-107.0,-3.0,18.0,9.0,-,0.0,0.0,165.0,165.0,I,PERIODIC,-89.0,-6.0,19.0,5Ae30
"
2022.08.30_16.57.21",7.073013,43.616775,63.0,5G,5G,-107.0,-3.0,18.0,14.0,-,0.0,0.0,165.0,165.0,I,PERIODIC,-92.0,-5.0,19.0,5Ae30
"
2022.08.30_16.57.22",7.073013,43.616775,63.0,5G,5G,-107.0,-3.0,18.0,14.0,-,0.0,0.0,165.0,165.0,I,PERIODIC,-92.0,-5.0,19.0,5Ae30
"
2022.08.30_16.57.23",7.073013,43.616775,63.0,5G,5G,-107.0,-3.0,18.0,14.0,-,0.0,0.0,165.0,165.0,I,PERIODIC,-94.0,-9.0,19.0,5Ae30
"
2022.08.30_16.57.24",7.073013,43.616775,63.0,5G,5G,-107.0,-3.0,18.0,14.0,-,0.0,0.0,165.0,165.0,I,PERIODIC,-94.0,-9.0,19.0,5Ae30
"
2022.08.30_16.57.25",7.073013,43.616775,63.0,5G,5G,-106.0,-3.0,21.0,15.0,-,0.0,0.0,165.0,165.0,I,PERIODIC,-92.0,-6.0,17.0,5Ae30
"
2022.08.30_16.57.26",7.073013,43.616775,63.0,5G,5G,-99.0,-3.0,20.0,15.0,-,0.0,0.0,165.0,165.0,I,PERIODIC,-92.0,-6.0,17.0,5Ae30
"
2022.08.30_16.57.27",7.073013,43.616775,63.0,5G,5G,-99.0,-3.0,20.0,15.0,-,1.0,1.0,165.0,165.0,D,PERIODIC,-91.0,-6.0,17.0,5Ae30
"
2022.08.30_16.57.28",7.073013,43.616775,63.0,5G,5G,-98.0,-3.0,18.0,15.0,-,0.0,0.0,165.0,165.0,D,PERIODIC,-91.0,-6.0,17.0,5Ae30
"
2022.08.30_16.57.29",7.073013,43.616775,63.0,5G,5G,-100.0,-3.0,18.0,12.0,-,0.0,0.0,165.0,165.0,I,PERIODIC,-89.0,-5.0,17.0,5Ae30
"
2022.08.30_16.57.30",7.073013,43.616775,63.0,5G,5G,-107.0,-3.0,19.0,12.0,-,0.0,0.0,165.0,165.0,I,PERIODIC,-89.0,-5.0,17.0,5Ae30
"
2022.08.30_16.57.31",7.073013,43.616775,63.0,5G,5G,-107.0,-3.0,19.0,11.0,-,0.0,0.0,165.0,165.0,I,PERIODIC,-92.0,-5.0,17.0,5Ae30
"
2022.08.30_16.57.32",7.073013,43.616775,63.0,5G,5G,-107.0,-3.0,19.0,11.0,-,0.0,0.0,165.0,165.0,I,PERIODIC,-92.0,-5.0,17.0,5Ae30
"
2022.08.30_16.57.33",7.073013,43.616775,63.0,5G,5G,-91.0,-3.0,20.0,15.0,-,17.0,15.0,165.0,165.0,D,PERIODIC,-92.0,-5.0,17.0,5Ae30
"
2022.08.30_16.57.34",7.073013,43.616775,63.0,5G,5G,-96.0,-3.0,20.0,15.0,-,29.0,12.0,165.0,165.0,D,PERIODIC,-92.0,-5.0,17.0,5Ae30
"
2022.08.30_16.57.35",7.073013,43.616775,63.0,5G,5G,-95.0,-3.0,21.0,12.0,-,31.0,4.0,165.0,165.0,D,PERIODIC,-90.0,-6.0,17.0,5Ae30
"
2022.08.30_16.57.36",7.073013,43.616775,63.0,5G,5G,-95.0,-3.0,21.0,12.0,-,16.0,7.0,165.0,165.0,D,PERIODIC,-90.0,-6.0,17.0,5Ae30
"
2022.08.30_16.57.37",7.073013,43.616775,63.0,5G,5G,-95.0,-3.0,21.0,10.0,-,87.0,21.0,165.0,165.0,D,PERIODIC,-88.0,-7.0,21.0,5Ae30
"
2022.08.30_16.57.38",7.073013,43.616775,63.0,5G,5G,-100.0,-3.0,19.0,10.0,-,9.0,3.0,165.0,165.0,D,PERIODIC,-88.0,-7.0,21.0,5Ae30
