Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.30_19.10.30",7.089038,43.602768,61.0,5G,5G,-96.0,-3.0,20.0,9,-,0.0,0.0,127.0,127.0,I,LOG START,-107.0,-11.0,10.0,5Aer30
"
2022.08.30_19.10.30",7.089038,43.602768,61.0,5G,5G,-96.0,-3.0,20.0,9,-,0.0,0.0,127.0,127.0,I,PERIODIC,-107.0,-12.0,12.0,5Aer30
"
2022.08.30_19.10.31",7.089127,43.602805,61.0,5G,5G,-96.0,-3.0,20.0,9,-,0.0,0.0,126.0,126.0,I,,-107.0,-12.0,12.0,5Aer30
"
2022.08.30_19.10.31",7.089127,43.602805,61.0,5G,5G,-96.0,-3.0,20.0,9,-,0.0,0.0,126.0,126.0,I,PERIODIC,-107.0,-12.0,12.0,5Aer30
"
2022.08.30_19.10.32",7.089127,43.602805,61.0,5G,5G,-96.0,-3.0,20.0,-,-,0.0,0.0,126.0,126.0,I,PERIODIC,-104.0,-11.0,13.0,5Aer30
"
2022.08.30_19.10.33",7.089127,43.602805,61.0,5G,5G,-96.0,-3.0,20.0,-,-,0.0,0.0,126.0,126.0,I,PERIODIC,-104.0,-11.0,13.0,5Aer30
"
2022.08.30_19.10.34",7.089127,43.602805,61.0,5G,5G,-96.0,-3.0,20.0,-,-,0.0,0.0,126.0,126.0,I,PERIODIC,-107.0,-10.0,7.0,5Aer30
"
2022.08.30_19.10.35",7.089127,43.602805,61.0,5G,5G,-96.0,-3.0,20.0,-,-,0.0,0.0,126.0,126.0,I,PERIODIC,-107.0,-10.0,7.0,5Aer30
"
2022.08.30_19.10.36",7.089127,43.602805,61.0,5G,5G,-96.0,-3.0,20.0,-,-,0.0,0.0,126.0,126.0,I,PERIODIC,-105.0,-10.0,4.0,5Aer30
"
2022.08.30_19.10.37",7.089127,43.602805,61.0,5G,5G,-96.0,-3.0,20.0,-,-,0.0,0.0,126.0,126.0,I,PERIODIC,-105.0,-10.0,4.0,5Aer30
"
2022.08.30_19.10.38",7.089127,43.602805,61.0,4G,LTE,-105.0,-10.0,8.0,-,-105,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.10.38",7.089127,43.602805,61.0,4G,LTE,-105.0,-10.0,8.0,-,-105,0.0,0.0,126.0,126.0,I,,,,,5Aer30
"
2022.08.30_19.10.39",7.089127,43.602805,61.0,4G,LTE,-105.0,-10.0,8.0,-,-105,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.10.40",7.089127,43.602805,61.0,4G,LTE,-105.0,-10.0,5.0,-,-105,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.10.41",7.089127,43.602805,61.0,4G,LTE,-105.0,-10.0,5.0,-,-107,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.10.42",7.089127,43.602805,61.0,4G,LTE,-106.0,-10.0,8.0,-,-107,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.10.43",7.089127,43.602805,61.0,4G,LTE,-106.0,-10.0,8.0,-,-107,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.10.44",7.089127,43.602805,61.0,4G,LTE,-106.0,-12.0,4.0,-,-107,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.10.45",7.089127,43.602805,61.0,4G,LTE,-106.0,-12.0,4.0,-,-107,68.0,42.0,126.0,126.0,D,PERIODIC,,,,5Aer30
"
2022.08.30_19.10.46",7.089127,43.602805,61.0,4G,LTE,-105.0,-9.0,6.0,10,-107,88.0,24.0,126.0,126.0,D,PERIODIC,,,,5Aer30
"
2022.08.30_19.10.47",7.089127,43.602805,61.0,5G,5G,-94.0,-3.0,20.0,10,-,0.0,1.0,126.0,126.0,D,PERIODIC,-105.0,-9.0,6.0,5Aer30
"
2022.08.30_19.10.47",7.089127,43.602805,61.0,5G,5G,-94.0,-3.0,20.0,10,-,0.0,1.0,126.0,126.0,D,,-105.0,-9.0,6.0,5Aer30
"
2022.08.30_19.10.48",7.089127,43.602805,61.0,5G,5G,-102.0,-3.0,17.0,9,-,91.0,37.0,126.0,126.0,D,PERIODIC,-105.0,-13.0,0.0,5Aer30
"
2022.08.30_19.10.49",7.089127,43.602805,61.0,5G,5G,-100.0,-3.0,17.0,9,-,88.0,21.0,126.0,126.0,D,PERIODIC,-105.0,-13.0,5.0,5Aer30
"
2022.08.30_19.10.50",7.089127,43.602805,61.0,5G,5G,-100.0,-3.0,17.0,9,-,41.0,53.0,126.0,126.0,D,PERIODIC,-103.0,-12.0,5.0,5Aer30
"
2022.08.30_19.10.51",7.089127,43.602805,61.0,5G,5G,-100.0,-3.0,17.0,9,-,0.0,2.0,126.0,126.0,D,PERIODIC,-103.0,-12.0,5.0,5Aer30
"
2022.08.30_19.10.52",7.089127,43.602805,61.0,5G,5G,-100.0,-3.0,17.0,9,-,0.0,0.0,126.0,126.0,D,PERIODIC,-103.0,-12.0,5.0,5Aer30
"
2022.08.30_19.10.53",7.089127,43.602805,61.0,5G,5G,-100.0,-3.0,17.0,9,-,0.0,0.0,126.0,126.0,I,PERIODIC,-103.0,-12.0,5.0,5Aer30
"
2022.08.30_19.10.54",7.089127,43.602805,61.0,5G,5G,-100.0,-3.0,17.0,9,-,0.0,0.0,126.0,126.0,I,PERIODIC,-103.0,-12.0,5.0,5Aer30
"
2022.08.30_19.10.55",7.089127,43.602805,61.0,5G,5G,-104.0,-3.0,13.0,9,-,0.0,0.0,126.0,126.0,I,PERIODIC,-103.0,-12.0,5.0,5Aer30
"
2022.08.30_19.10.56",7.089127,43.602805,61.0,5G,5G,-104.0,-3.0,13.0,13,-,0.0,0.0,126.0,126.0,D,PERIODIC,-109.0,-12.0,10.0,5Aer30
"
2022.08.30_19.10.57",7.089127,43.602805,61.0,5G,5G,-104.0,-3.0,13.0,13,-,0.0,0.0,126.0,126.0,I,PERIODIC,-109.0,-12.0,10.0,5Aer30
"
2022.08.30_19.10.58",7.089127,43.602805,61.0,5G,5G,-104.0,-3.0,13.0,13,-,0.0,0.0,126.0,126.0,I,PERIODIC,-109.0,-12.0,10.0,5Aer30
"
2022.08.30_19.10.59",7.089127,43.602805,61.0,5G,5G,-103.0,-3.0,15.0,13,-,0.0,0.0,126.0,126.0,I,PERIODIC,-109.0,-12.0,10.0,5Aer30
"
2022.08.30_19.11.00",7.089127,43.602805,61.0,5G,5G,-103.0,-3.0,15.0,11,-,0.0,0.0,126.0,126.0,I,PERIODIC,-106.0,-13.0,13.0,5Aer30
"
2022.08.30_19.11.01",7.089127,43.602805,61.0,5G,5G,-103.0,-3.0,15.0,11,-,0.0,0.0,126.0,126.0,I,PERIODIC,-106.0,-13.0,13.0,5Aer30
"
2022.08.30_19.11.03",7.089127,43.602805,61.0,5G,5G,-103.0,-3.0,15.0,11,-,0.0,0.0,126.0,126.0,I,PERIODIC,-106.0,-13.0,13.0,5Aer30
"
2022.08.30_19.11.04",7.089127,43.602805,61.0,5G,5G,-103.0,-3.0,15.0,11,-,0.0,0.0,126.0,126.0,I,PERIODIC,-106.0,-13.0,13.0,5Aer30
"
2022.08.30_19.11.05",7.089127,43.602805,61.0,5G,5G,-103.0,-3.0,15.0,11,-,0.0,0.0,126.0,126.0,I,PERIODIC,-106.0,-13.0,13.0,5Aer30
"
2022.08.30_19.11.06",7.089127,43.602805,61.0,5G,5G,-107.0,-3.0,14.0,11,-,0.0,0.0,126.0,126.0,I,PERIODIC,-106.0,-13.0,13.0,5Aer30
"
2022.08.30_19.11.07",7.089127,43.602805,61.0,4G,LTE,-99.0,-13.0,4.0,-,-99,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.11.07",7.089127,43.602805,61.0,4G,LTE,-99.0,-13.0,4.0,-,-99,0.0,0.0,126.0,126.0,I,,,,,5Aer30
"
2022.08.30_19.11.08",7.089127,43.602805,61.0,4G,LTE,-99.0,-13.0,4.0,-,-99,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.11.09",7.089127,43.602805,61.0,4G,LTE,-100.0,-14.0,2.0,-,-99,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.11.10",7.089127,43.602805,61.0,4G,LTE,-100.0,-14.0,2.0,-,-99,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.11.11",7.089127,43.602805,61.0,4G,LTE,-100.0,-14.0,8.0,-,-99,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.11.12",7.089127,43.602805,61.0,4G,LTE,-100.0,-14.0,8.0,-,-101,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.11.13",7.089127,43.602805,61.0,4G,LTE,-101.0,-13.0,4.0,-,-101,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.11.14",7.089127,43.602805,61.0,4G,LTE,-101.0,-13.0,4.0,-,-101,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.11.15",7.089127,43.602805,61.0,4G,LTE,-101.0,-13.0,1.0,-,-101,0.0,0.0,126.0,126.0,I,PERIODIC,,,,5Aer30
"
2022.08.30_19.11.16",7.089127,43.602805,61.0,4G,LTE,-101.0,-13.0,1.0,-,-103,85.0,60.0,126.0,126.0,D,PERIODIC,,,,5Aer30
"
2022.08.30_19.11.17",7.089127,43.602805,61.0,4G,LTE,-103.0,-11.0,6.0,10,-103,793.0,143.0,126.0,126.0,D,PERIODIC,,,,5Aer30
"
2022.08.30_19.11.18",7.089127,43.602805,61.0,5G,5G,-104.0,-3.0,15.0,10,-,54602.0,595.0,126.0,126.0,D,PERIODIC,-103.0,-11.0,6.0,5Aer30
"
2022.08.30_19.11.18",7.089127,43.602805,61.0,5G,5G,-104.0,-3.0,15.0,10,-,54602.0,595.0,126.0,126.0,D,,-103.0,-11.0,6.0,5Aer30
"
2022.08.30_19.11.19",7.089127,43.602805,61.0,5G,5G,-101.0,-3.0,16.0,9,-,130593.0,720.0,126.0,126.0,D,PERIODIC,-105.0,-10.0,11.0,5Aer30
"
2022.08.30_19.11.20",7.089127,43.602805,61.0,5G,5G,-100.0,-3.0,15.0,9,-,41094.0,250.0,126.0,126.0,D,PERIODIC,-105.0,-10.0,11.0,5Aer30
"
2022.08.30_19.11.21",7.089127,43.602805,61.0,5G,5G,-96.0,-3.0,16.0,9,-,36586.0,206.0,126.0,126.0,D,PERIODIC,-102.0,-12.0,5.0,5Aer30
"
2022.08.30_19.11.22",7.089127,43.602805,61.0,5G,5G,-98.0,-3.0,18.0,9,-,47088.0,206.0,126.0,126.0,D,PERIODIC,-102.0,-12.0,5.0,5Aer30
"
2022.08.30_19.11.23",7.089127,43.602805,61.0,5G,5G,-98.0,-3.0,17.0,8,-,37173.0,236.0,126.0,126.0,D,PERIODIC,-97.0,-12.0,11.0,5Aer30
"
2022.08.30_19.11.24",7.089127,43.602805,61.0,5G,5G,-98.0,-3.0,17.0,8,-,14.0,6.0,126.0,126.0,D,PERIODIC,-97.0,-12.0,11.0,5Aer30
"
2022.08.30_19.11.25",7.089127,43.602805,61.0,5G,5G,-98.0,-3.0,17.0,12,-,7612.0,38.0,126.0,126.0,D,PERIODIC,-104.0,-13.0,5.0,5Aer30
"
2022.08.30_19.11.26",7.089127,43.602805,61.0,5G,5G,-99.0,-3.0,14.0,12,-,28979.0,158.0,126.0,126.0,D,PERIODIC,-104.0,-13.0,5.0,5Aer30
"
2022.08.30_19.11.27",7.089127,43.602805,61.0,5G,5G,-97.0,-3.0,15.0,9,-,53.0,59.0,126.0,126.0,D,PERIODIC,-101.0,-13.0,9.0,5Aer30
"
2022.08.30_19.11.28",7.089127,43.602805,61.0,5G,5G,-96.0,-3.0,13.0,9,-,31379.0,172.0,126.0,126.0,D,PERIODIC,-101.0,-13.0,9.0,5Aer30
"
2022.08.30_19.11.29",7.089127,43.602805,61.0,5G,5G,-96.0,-3.0,13.0,15,-,46640.0,219.0,126.0,126.0,D,PERIODIC,-100.0,-12.0,8.0,5Aer30
"
2022.08.30_19.11.30",7.089127,43.602805,61.0,5G,5G,-96.0,-3.0,13.0,15,-,3.0,5.0,126.0,126.0,D,PERIODIC,-100.0,-12.0,8.0,5Aer30
"
2022.08.30_19.11.31",7.089127,43.602805,61.0,5G,5G,-96.0,-3.0,12.0,12,-,36615.0,204.0,126.0,126.0,D,PERIODIC,-99.0,-12.0,4.0,5Aer30
"
2022.08.30_19.11.32",7.089127,43.602805,61.0,5G,5G,-104.0,-3.0,12.0,12,-,3.0,6.0,126.0,126.0,D,PERIODIC,-99.0,-12.0,4.0,5Aer30
"
2022.08.30_19.11.33",7.089127,43.602805,61.0,5G,5G,-98.0,-3.0,14.0,11,-,43690.0,240.0,126.0,126.0,D,PERIODIC,-109.0,-14.0,4.0,5Aer30
