Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.26_14.58.34",7.118948,43.586269,63.0,5G,5G,-80.0,-3.0,22.0,15,-,0.0,0.0,67.0,67.0,D,LOG START,-76.0,-8.0,16.0,5Ai26
"
2022.08.26_14.58.34",7.118948,43.586269,63.0,5G,5G,-71.0,-3.0,22.0,15,-,0.0,0.0,67.0,67.0,I,PERIODIC,-76.0,-8.0,16.0,5Ai26
"
2022.08.26_14.58.35",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,15,-,0.0,0.0,67.0,67.0,I,,-76.0,-8.0,16.0,5Ai26
"
2022.08.26_14.58.35",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,14,-,0.0,0.0,67.0,67.0,I,PERIODIC,-72.0,-8.0,13.0,5Ai26
"
2022.08.26_14.58.36",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,14,-,0.0,0.0,67.0,67.0,I,PERIODIC,-72.0,-8.0,13.0,5Ai26
"
2022.08.26_14.58.37",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,15,-,0.0,0.0,67.0,67.0,I,PERIODIC,-77.0,-15.0,15.0,5Ai26
"
2022.08.26_14.58.38",7.118906,43.586287,63.0,5G,5G,-70.0,-3.0,22.0,15,-,0.0,0.0,67.0,67.0,D,PERIODIC,-77.0,-15.0,15.0,5Ai26
"
2022.08.26_14.58.39",7.118906,43.586287,63.0,5G,5G,-70.0,-3.0,22.0,12,-,89.0,34.0,67.0,67.0,D,PERIODIC,-75.0,-14.0,13.0,5Ai26
"
2022.08.26_14.58.40",7.118906,43.586287,63.0,5G,5G,-70.0,-3.0,22.0,12,-,60.0,7.0,67.0,67.0,D,PERIODIC,-75.0,-14.0,13.0,5Ai26
"
2022.08.26_14.58.41",7.118906,43.586287,63.0,5G,5G,-74.0,-3.0,22.0,15,-,0.0,5.0,67.0,67.0,D,PERIODIC,-72.0,-7.0,18.0,5Ai26
"
2022.08.26_14.58.42",7.118906,43.586287,63.0,5G,5G,-69.0,-3.0,21.0,15,-,287.0,85.0,67.0,67.0,D,PERIODIC,-72.0,-7.0,18.0,5Ai26
"
2022.08.26_14.58.43",7.118906,43.586287,63.0,5G,5G,-69.0,-3.0,21.0,15,-,88.0,22.0,67.0,67.0,D,PERIODIC,-74.0,-9.0,17.0,5Ai26
"
2022.08.26_14.58.45",7.118906,43.586287,63.0,5G,5G,-69.0,-3.0,21.0,15,-,9.0,3.0,67.0,67.0,D,PERIODIC,-74.0,-9.0,17.0,5Ai26
"
2022.08.26_14.58.45",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,12,-,0.0,0.0,67.0,67.0,D,PERIODIC,-77.0,-10.0,20.0,5Ai26
"
2022.08.26_14.58.46",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,12,-,0.0,0.0,67.0,67.0,I,PERIODIC,-77.0,-10.0,20.0,5Ai26
"
2022.08.26_14.58.47",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,13,-,0.0,0.0,67.0,67.0,I,PERIODIC,-75.0,-7.0,22.0,5Ai26
"
2022.08.26_14.58.48",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,13,-,0.0,0.0,67.0,67.0,I,PERIODIC,-75.0,-7.0,22.0,5Ai26
"
2022.08.26_14.58.50",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,15,-,0.0,0.0,67.0,67.0,I,PERIODIC,-76.0,-7.0,19.0,5Ai26
"
2022.08.26_14.58.50",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,15,-,0.0,0.0,67.0,67.0,I,PERIODIC,-76.0,-7.0,19.0,5Ai26
"
2022.08.26_14.58.51",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,12,-,0.0,0.0,67.0,67.0,I,PERIODIC,-78.0,-9.0,17.0,5Ai26
"
2022.08.26_14.58.53",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,12,-,0.0,0.0,67.0,67.0,I,PERIODIC,-78.0,-9.0,17.0,5Ai26
"
2022.08.26_14.58.54",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,10,-,0.0,0.0,67.0,67.0,I,PERIODIC,-76.0,-10.0,20.0,5Ai26
"
2022.08.26_14.58.55",7.118906,43.586287,63.0,5G,5G,-71.0,-3.0,22.0,10,-,0.0,1.0,67.0,67.0,D,PERIODIC,-76.0,-10.0,20.0,5Ai26
