Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.31_18.00.51",--,--,--,4G,LTE,-200.0,-,15.0,-,-93,0.0,0.0,--,-10000.0,I,LOG START,5Ar31
"
2022.08.31_18.00.51",--,--,--,4G,LTE,-200.0,-,15.0,-,-93,0.0,0.0,--,-10000.0,I,PERIODIC,5Ar31
"
2022.08.31_18.00.52",--,--,--,4G,LTE,-200.0,-,15.0,-,-93,0.0,0.0,--,-10000.0,I,PERIODIC,5Ar31
"
2022.08.31_18.00.53",--,--,--,4G,LTE,-200.0,-,15.0,-,-93,0.0,0.0,--,-10000.0,I,PERIODIC,5Ar31
"
2022.08.31_18.00.54",--,--,--,4G,LTE,-200.0,-,15.0,-,-93,0.0,0.0,--,-10000.0,I,PERIODIC,5Ar31
"
2022.08.31_18.00.55",--,--,--,5G,5G,-98.0,-3,20.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5Ar31
"
2022.08.31_18.00.55",--,--,--,5G,5G,-98.0,-3,20.0,-,-,0.0,0.0,--,-10000.0,I,,5Ar31
"
2022.08.31_18.00.56",--,--,--,5G,5G,-98.0,-3,20.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5Ar31
"
2022.08.31_18.00.57",--,--,--,5G,5G,-98.0,-3,20.0,-,-,27.0,43.0,--,-10000.0,D,PERIODIC,5Ar31
"
2022.08.31_18.00.58",--,--,--,5G,5G,-98.0,-3,20.0,-,-,4.0,3.0,--,-10000.0,D,PERIODIC,5Ar31
"
2022.08.31_18.00.59",--,--,--,5G,5G,-98.0,-3,20.0,-,-,0.0,0.0,--,-10000.0,D,PERIODIC,5Ar31
"
2022.08.31_18.01.00",--,--,--,5G,5G,-98.0,-3,20.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5Ar31
"
2022.08.31_18.01.01",--,--,--,5G,5G,-98.0,-3,20.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5Ar31
"
2022.08.31_18.01.02",--,--,--,5G,5G,-97.0,-3,17.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5Ar31
"
2022.08.31_18.01.03",--,--,--,5G,5G,-97.0,-3,17.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5Ar31
"
2022.08.31_18.01.04",--,--,--,5G,5G,-97.0,-3,17.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5Ar31
"
2022.08.31_18.01.05",--,--,--,5G,5G,-97.0,-3,17.0,-,-,91.0,59.0,--,-10000.0,D,PERIODIC,5Ar31
"
2022.08.31_18.01.06",--,--,--,5G,5G,-101.0,-3,16.0,-,-,32.0,6.0,--,-10000.0,D,PERIODIC,5Ar31
"
2022.08.31_18.01.07",--,--,--,5G,5G,-98.0,-3,19.0,-,-,50.0,31.0,--,-10000.0,D,PERIODIC,5Ar31
"
2022.08.31_18.01.08",--,--,--,5G,5G,-98.0,-3,19.0,-,-,30.0,8.0,--,-10000.0,D,PERIODIC,5Ar31
"
2022.08.31_18.01.09",--,--,--,5G,5G,-98.0,-3,19.0,-,-,54.0,22.0,--,-10000.0,D,PERIODIC,5Ar31
"
2022.08.31_18.01.10",--,--,--,5G,5G,-98.0,-3,19.0,-,-,0.0,0.0,--,-10000.0,D,PERIODIC,5Ar31
"
2022.08.31_18.01.11",--,--,--,5G,5G,-98.0,-3,19.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5Ar31
"
2022.08.31_18.01.12",--,--,--,5G,5G,-97.0,-3,19.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5Ar31
"
2022.08.31_18.01.13",--,--,--,5G,5G,-97.0,-3,19.0,-,-,0.0,0.0,--,-10000.0,D,PERIODIC,5Ar31
