Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.10_18.26.09",7.089131,43.602877,61.0,5G,5G,-92.0,-3.0,22.0,11.0,-,4.0,16.0,139.0,139.0,D,LOG START,-103.0,-10.0,13.0,5At
"
2022.09.10_18.26.09",7.089131,43.602877,61.0,5G,5G,-93.0,-3.0,20.0,11.0,-,4.0,0.0,139.0,139.0,D,PERIODIC,-103.0,-10.0,13.0,5At
"
2022.09.10_18.26.10",7.089146,43.60281,61.0,5G,5G,-93.0,-3.0,20.0,11.0,-,4.0,0.0,146.0,146.0,D,,-103.0,-10.0,13.0,5At
"
2022.09.10_18.26.10",7.089146,43.60281,61.0,5G,5G,-97.0,-3.0,20.0,13.0,-,82.0,36.0,146.0,146.0,D,PERIODIC,-101.0,-8.0,17.0,5At
"
2022.09.10_18.26.11",7.089146,43.60281,61.0,5G,5G,-97.0,-3.0,20.0,13.0,-,0.0,0.0,146.0,146.0,D,PERIODIC,-101.0,-8.0,17.0,5At
"
2022.09.10_18.26.12",7.089146,43.60281,61.0,5G,5G,-97.0,-3.0,20.0,12.0,-,60.0,11.0,146.0,146.0,D,PERIODIC,-102.0,-9.0,11.0,5At
"
2022.09.10_18.26.13",7.089146,43.60281,61.0,5G,5G,-97.0,-3.0,20.0,12.0,-,0.0,0.0,146.0,146.0,D,PERIODIC,-102.0,-9.0,11.0,5At
"
2022.09.10_18.26.14",7.089146,43.60281,61.0,5G,5G,-89.0,-3.0,21.0,12.0,-,0.0,0.0,146.0,146.0,I,PERIODIC,-103.0,-8.0,12.0,5At
"
2022.09.10_18.26.15",7.089146,43.60281,61.0,5G,5G,-87.0,-3.0,22.0,12.0,-,1.0,0.0,146.0,146.0,D,PERIODIC,-103.0,-8.0,12.0,5At
"
2022.09.10_18.26.16",7.089146,43.60281,61.0,5G,5G,-87.0,-3.0,22.0,14.0,-,0.0,4.0,146.0,146.0,D,PERIODIC,-101.0,-11.0,11.0,5At
"
2022.09.10_18.26.17",7.089146,43.60281,61.0,5G,5G,-90.0,-3.0,22.0,14.0,-,51.0,2.0,146.0,146.0,D,PERIODIC,-101.0,-11.0,11.0,5At
"
2022.09.10_18.26.18",7.089146,43.60281,61.0,5G,5G,-97.0,-3.0,20.0,12.0,-,2.0,17.0,146.0,146.0,D,PERIODIC,-102.0,-7.0,11.0,5At
"
2022.09.10_18.26.19",7.089146,43.60281,61.0,5G,5G,-101.0,-3.0,18.0,12.0,-,0.0,0.0,146.0,146.0,D,PERIODIC,-102.0,-7.0,11.0,5At
"
2022.09.10_18.26.20",7.089146,43.60281,61.0,5G,5G,-101.0,-3.0,18.0,12.0,-,4.0,3.0,146.0,146.0,D,PERIODIC,-104.0,-9.0,7.0,5At
"
2022.09.10_18.26.21",7.089146,43.60281,61.0,5G,5G,-101.0,-3.0,18.0,12.0,-,52.0,24.0,146.0,146.0,D,PERIODIC,-104.0,-9.0,7.0,5At
"
2022.09.10_18.26.22",7.089146,43.60281,61.0,5G,5G,-101.0,-3.0,18.0,12.0,-,4.0,0.0,146.0,146.0,D,PERIODIC,-104.0,-9.0,7.0,5At
"
2022.09.10_18.26.24",7.089146,43.60281,61.0,5G,5G,-96.0,-3.0,17.0,12.0,-,0.0,0.0,146.0,146.0,I,PERIODIC,-103.0,-11.0,11.0,5At
"
2022.09.10_18.26.24",7.089146,43.60281,61.0,5G,5G,-100.0,-3.0,18.0,12.0,-,2.0,3.0,146.0,146.0,D,PERIODIC,-103.0,-11.0,11.0,5At
"
2022.09.10_18.26.25",7.089146,43.60281,61.0,5G,5G,-100.0,-3.0,17.0,9.0,-,137.0,61.0,146.0,146.0,D,PERIODIC,-108.0,-14.0,7.0,5At
"
2022.09.10_18.26.26",7.089146,43.60281,61.0,5G,5G,-100.0,-3.0,17.0,9.0,-,88.0,12.0,146.0,146.0,D,PERIODIC,-108.0,-14.0,7.0,5At
"
2022.09.10_18.26.27",7.089146,43.60281,61.0,5G,5G,-100.0,-3.0,17.0,12.0,-,29.0,30.0,146.0,146.0,D,PERIODIC,-104.0,-9.0,8.0,5At
"
2022.09.10_18.26.28",7.089146,43.60281,61.0,5G,5G,-96.0,-3.0,17.0,12.0,-,169.0,24.0,146.0,146.0,D,PERIODIC,-104.0,-9.0,8.0,5At
"
2022.09.10_18.26.29",7.089146,43.60281,61.0,5G,5G,-96.0,-3.0,17.0,9.0,-,409.0,99.0,146.0,146.0,D,PERIODIC,-100.0,-8.0,9.0,5At
