Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.30_17.09.38",7.088144000000001,43.602765000000005,71.0,4G,LTE,-79.0,-13.0,7.0,-,-83,0.0,0.0,129.0,129.0,I,LOG START,,,,5At30
"
2022.08.30_17.09.38",7.088144000000001,43.602765000000005,71.0,4G,LTE,-79.0,-13.0,7.0,-,-83,0.0,0.0,129.0,129.0,I,PERIODIC,,,,5At30
"
2022.08.30_17.09.39",7.088067999999999,43.602713,71.0,4G,LTE,-79.0,-13.0,7.0,-,-83,0.0,0.0,129.0,129.0,I,,,,,5At30
"
2022.08.30_17.09.39",7.088067999999999,43.602713,61.0,4G,LTE,-101.0,-10.0,2.0,8,-83,4.0,3.0,129.0,129.0,D,IRAT_HANDOVER_DATA_5G4G,,,,5At30
"
2022.08.30_17.09.40",7.088067999999999,43.602713,61.0,4G,LTE,-101.0,-10.0,2.0,8,-83,0.0,0.0,129.0,129.0,I,PERIODIC,,,,5At30
"
2022.08.30_17.09.41",7.088067999999999,43.602713,61.0,5G,5G,-106.0,-3.0,12.0,13,-,0.0,0.0,129.0,129.0,I,PERIODIC,-99.0,-12.0,1.0,5At30
"
2022.08.30_17.09.41",7.088067999999999,43.602713,61.0,5G,5G,-106.0,-3.0,12.0,13,-,0.0,0.0,129.0,129.0,I,,-99.0,-12.0,1.0,5At30
"
2022.08.30_17.09.42",7.088067999999999,43.602713,61.0,5G,5G,-106.0,-3.0,12.0,13,-,0.0,0.0,129.0,129.0,I,PERIODIC,-99.0,-12.0,1.0,5At30
"
2022.08.30_17.09.43",7.088067999999999,43.602713,61.0,5G,5G,-106.0,-3.0,12.0,13,-,0.0,0.0,129.0,129.0,I,PERIODIC,-99.0,-12.0,1.0,5At30
"
2022.08.30_17.09.44",7.088067999999999,43.602713,61.0,5G,5G,-106.0,-3.0,12.0,13,-,0.0,0.0,129.0,129.0,I,PERIODIC,-99.0,-12.0,1.0,5At30
"
2022.08.30_17.09.45",7.088067999999999,43.602713,61.0,5G,5G,-104.0,-3.0,16.0,7,-,0.0,0.0,129.0,129.0,I,PERIODIC,-104.0,-12.0,-10.0,5At30
"
2022.08.30_17.09.46",7.088067999999999,43.602713,61.0,5G,5G,-104.0,-3.0,16.0,7,-,0.0,0.0,129.0,129.0,I,PERIODIC,-104.0,-12.0,-10.0,5At30
"
2022.08.30_17.09.47",7.088067999999999,43.602713,61.0,5G,5G,-104.0,-3.0,16.0,7,-,53.0,22.0,129.0,129.0,D,PERIODIC,-104.0,-12.0,-10.0,5At30
"
2022.08.30_17.09.48",7.088067999999999,43.602713,61.0,5G,5G,-104.0,-3.0,16.0,7,-,0.0,0.0,129.0,129.0,I,PERIODIC,-104.0,-12.0,-10.0,5At30
"
2022.08.30_17.09.49",7.088067999999999,43.602713,61.0,5G,5G,-104.0,-3.0,16.0,8,-,223.0,120.0,129.0,129.0,D,PERIODIC,-104.0,-12.0,9.0,5At30
"
2022.08.30_17.09.50",7.088067999999999,43.602713,61.0,5G,5G,-104.0,-3.0,16.0,8,-,233.0,65.0,129.0,129.0,D,PERIODIC,-104.0,-12.0,9.0,5At30
"
2022.08.30_17.09.51",7.088067999999999,43.602713,61.0,5G,5G,-104.0,-3.0,16.0,7,-,0.0,5.0,129.0,129.0,D,PERIODIC,-103.0,-11.0,10.0,5At30
"
2022.08.30_17.09.52",7.088067999999999,43.602713,61.0,5G,5G,-99.0,-3.0,18.0,7,-,30.0,5.0,129.0,129.0,D,PERIODIC,-103.0,-11.0,10.0,5At30
"
2022.08.30_17.09.53",7.088067999999999,43.602713,61.0,5G,5G,-99.0,-3.0,18.0,9,-,143.0,32.0,129.0,129.0,D,PERIODIC,-103.0,-15.0,-3.0,5At30
"
2022.08.30_17.09.54",7.088067999999999,43.602713,61.0,5G,5G,-99.0,-3.0,18.0,9,-,195.0,61.0,129.0,129.0,D,PERIODIC,-103.0,-15.0,-3.0,5At30
"
2022.08.30_17.09.55",7.088067999999999,43.602713,61.0,5G,5G,-99.0,-3.0,18.0,9,-,104.0,57.0,129.0,129.0,D,PERIODIC,-104.0,-15.0,3.0,5At30
"
2022.08.30_17.09.56",7.088067999999999,43.602713,61.0,5G,5G,-92.0,-3.0,19.0,9,-,0.0,0.0,129.0,129.0,I,PERIODIC,-104.0,-15.0,3.0,5At30
"
2022.08.30_17.09.57",7.088067999999999,43.602713,61.0,5G,5G,-92.0,-3.0,19.0,11,-,0.0,0.0,129.0,129.0,I,PERIODIC,-105.0,-14.0,1.0,5At30
"
2022.08.30_17.09.58",7.088067999999999,43.602713,61.0,5G,5G,-92.0,-3.0,19.0,11,-,0.0,0.0,129.0,129.0,I,PERIODIC,-105.0,-14.0,1.0,5At30
"
2022.08.30_17.09.59",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,19.0,12,-,26.0,9.0,129.0,129.0,D,PERIODIC,-105.0,-14.0,-14.0,5At30
"
2022.08.30_17.10.00",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,18.0,12,-,0.0,0.0,129.0,129.0,I,PERIODIC,-105.0,-14.0,-14.0,5At30
"
2022.08.30_17.10.01",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,18.0,11,-,0.0,0.0,129.0,129.0,I,PERIODIC,-103.0,-11.0,-2.0,5At30
"
2022.08.30_17.10.02",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,18.0,11,-,0.0,0.0,129.0,129.0,I,PERIODIC,-103.0,-11.0,-2.0,5At30
"
2022.08.30_17.10.03",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,18.0,8,-,0.0,0.0,129.0,129.0,I,PERIODIC,-103.0,-18.0,-3.0,5At30
"
2022.08.30_17.10.04",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,18.0,8,-,76.0,38.0,129.0,129.0,D,PERIODIC,-103.0,-18.0,-3.0,5At30
"
2022.08.30_17.10.05",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,18.0,9,-,0.0,0.0,129.0,129.0,I,PERIODIC,-103.0,-12.0,-3.0,5At30
"
2022.08.30_17.10.06",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,18.0,9,-,0.0,0.0,129.0,129.0,I,PERIODIC,-103.0,-12.0,-3.0,5At30
"
2022.08.30_17.10.07",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,18.0,8,-,64.0,132.0,129.0,129.0,D,PERIODIC,-103.0,-11.0,3.0,5At30
"
2022.08.30_17.10.08",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,18.0,8,-,0.0,0.0,129.0,129.0,I,PERIODIC,-103.0,-11.0,3.0,5At30
"
2022.08.30_17.10.09",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,18.0,14,-,0.0,0.0,129.0,129.0,I,PERIODIC,-102.0,-12.0,4.0,5At30
"
2022.08.30_17.10.10",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,18.0,14,-,7.0,105.0,129.0,129.0,D,PERIODIC,-102.0,-12.0,4.0,5At30
"
2022.08.30_17.10.11",7.088067999999999,43.602713,61.0,5G,5G,-103.0,-3.0,15.0,12,-,0.0,0.0,129.0,129.0,I,PERIODIC,-103.0,-14.0,-6.0,5At30
"
2022.08.30_17.10.12",7.088067999999999,43.602713,61.0,5G,5G,-103.0,-3.0,15.0,12,-,0.0,0.0,129.0,129.0,I,PERIODIC,-103.0,-14.0,-6.0,5At30
"
2022.08.30_17.10.13",7.088067999999999,43.602713,61.0,5G,5G,-103.0,-3.0,15.0,8,-,3.0,98.0,129.0,129.0,D,PERIODIC,-100.0,-10.0,-1.0,5At30
"
2022.08.30_17.10.14",7.088067999999999,43.602713,61.0,5G,5G,-103.0,-3.0,15.0,8,-,0.0,0.0,129.0,129.0,I,PERIODIC,-100.0,-10.0,-1.0,5At30
"
2022.08.30_17.10.15",7.088067999999999,43.602713,61.0,5G,5G,-103.0,-3.0,15.0,11,-,0.0,0.0,129.0,129.0,I,PERIODIC,-102.0,-14.0,5.0,5At30
"
2022.08.30_17.10.16",7.088067999999999,43.602713,61.0,5G,5G,-103.0,-3.0,15.0,11,-,3.0,105.0,129.0,129.0,D,PERIODIC,-102.0,-14.0,5.0,5At30
"
2022.08.30_17.10.17",7.088067999999999,43.602713,61.0,5G,5G,-103.0,-3.0,15.0,6,-,0.0,0.0,129.0,129.0,I,PERIODIC,-101.0,-13.0,-2.0,5At30
"
2022.08.30_17.10.18",7.088067999999999,43.602713,61.0,5G,5G,-103.0,-3.0,15.0,6,-,0.0,0.0,129.0,129.0,I,PERIODIC,-101.0,-13.0,-2.0,5At30
"
2022.08.30_17.10.19",7.088067999999999,43.602713,61.0,5G,5G,-103.0,-3.0,15.0,6,-,0.0,0.0,129.0,129.0,I,PERIODIC,-101.0,-13.0,-2.0,5At30
"
2022.08.30_17.10.20",7.088067999999999,43.602713,61.0,5G,5G,-103.0,-3.0,15.0,6,-,2.0,4.0,129.0,129.0,D,PERIODIC,-101.0,-13.0,-2.0,5At30
"
2022.08.30_17.10.21",7.088067999999999,43.602713,61.0,5G,5G,-103.0,-3.0,15.0,6,-,395.0,64.0,129.0,129.0,D,PERIODIC,-101.0,-13.0,-2.0,5At30
"
2022.08.30_17.10.22",7.088067999999999,43.602713,61.0,5G,5G,-103.0,-3.0,15.0,6,-,790.0,165.0,129.0,129.0,D,PERIODIC,-101.0,-13.0,-2.0,5At30
"
2022.08.30_17.10.23",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,15.0,10,-,40577.0,519.0,129.0,129.0,D,PERIODIC,-102.0,-13.0,7.0,5At30
"
2022.08.30_17.10.24",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,15.0,10,-,118775.0,695.0,129.0,129.0,D,PERIODIC,-102.0,-13.0,7.0,5At30
"
2022.08.30_17.10.25",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,15.0,10,-,67053.0,367.0,129.0,129.0,D,PERIODIC,-102.0,-13.0,7.0,5At30
"
2022.08.30_17.10.26",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,15.0,9,-,37017.0,204.0,129.0,129.0,D,PERIODIC,-103.0,-12.0,14.0,5At30
"
2022.08.30_17.10.27",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,15.0,9,-,14344.0,86.0,129.0,129.0,D,PERIODIC,-103.0,-12.0,14.0,5At30
"
2022.08.30_17.10.28",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,15.0,6,-,43683.0,201.0,129.0,129.0,D,PERIODIC,-102.0,-9.0,16.0,5At30
"
2022.08.30_17.10.29",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,15.0,6,-,22829.0,139.0,129.0,129.0,D,PERIODIC,-102.0,-9.0,16.0,5At30
"
2022.08.30_17.10.30",7.088067999999999,43.602713,61.0,5G,5G,-98.0,-3.0,15.0,12,-,211.0,85.0,129.0,129.0,D,PERIODIC,-102.0,-14.0,9.0,5At30
"
2022.08.30_17.10.31",7.088067999999999,43.602713,61.0,5G,5G,-95.0,-3.0,18.0,12,-,40025.0,207.0,129.0,129.0,D,PERIODIC,-102.0,-14.0,9.0,5At30
"
2022.08.30_17.10.32",7.088067999999999,43.602713,61.0,5G,5G,-96.0,-3.0,18.0,11,-,34.0,44.0,129.0,129.0,D,PERIODIC,-97.0,-12.0,4.0,5At30
"
2022.08.30_17.10.33",7.088067999999999,43.602713,61.0,5G,5G,-94.0,-3.0,16.0,11,-,32099.0,173.0,129.0,129.0,D,PERIODIC,-97.0,-12.0,4.0,5At30
"
2022.08.30_17.10.34",7.088067999999999,43.602713,61.0,5G,5G,-94.0,-3.0,15.0,11,-,48827.0,208.0,129.0,129.0,D,PERIODIC,-97.0,-12.0,3.0,5At30
