Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.27_15.39.39",7.118937,43.586180999999996,62.0,5G,5G,-85.0,-3.0,22.0,-,-,0.0,0.0,41.0,41.0,I,LOG START,-78.0,-12.0,-6.0,5Au27
"
2022.08.27_15.39.39",7.118874000000001,43.586159,62.0,5G,5G,-85.0,-3.0,22.0,-,-,0.0,0.0,57.0,57.0,I,,-78.0,-12.0,-6.0,5Au27
"
2022.08.27_15.39.40",7.118874000000001,43.586159,62.0,5G,5G,-85.0,-3.0,22.0,-,-,0.0,0.0,57.0,57.0,I,PERIODIC,-79.0,-14.0,6.0,5Au27
"
2022.08.27_15.39.41",7.118874000000001,43.586159,62.0,5G,5G,-85.0,-3.0,22.0,-,-,0.0,0.0,57.0,57.0,I,PERIODIC,-79.0,-14.0,6.0,5Au27
"
2022.08.27_15.39.42",7.118874000000001,43.586159,62.0,5G,5G,-85.0,-3.0,22.0,-,-,0.0,0.0,57.0,57.0,I,PERIODIC,-80.0,-13.0,4.0,5Au27
"
2022.08.27_15.39.43",7.118874000000001,43.586159,62.0,5G,5G,-85.0,-3.0,22.0,-,-,0.0,0.0,57.0,57.0,I,PERIODIC,-80.0,-13.0,4.0,5Au27
"
2022.08.27_15.39.44",7.118874000000001,43.586159,62.0,4G,LTE,-83.0,-13.0,6.0,12,-83,0.0,0.0,57.0,57.0,D,PERIODIC,,,,5Au27
"
2022.08.27_15.39.44",7.118874000000001,43.586159,62.0,4G,LTE,-83.0,-13.0,6.0,12,-83,0.0,0.0,57.0,57.0,D,,,,,5Au27
"
2022.08.27_15.39.45",7.118874000000001,43.586159,62.0,4G,LTE,-83.0,-13.0,6.0,12,-83,0.0,0.0,57.0,57.0,I,PERIODIC,,,,5Au27
"
2022.08.27_15.39.46",7.118874000000001,43.586159,62.0,4G,LTE,-83.0,-13.0,15.0,11,-83,89.0,59.0,57.0,57.0,D,PERIODIC,,,,5Au27
