Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.29_19.31.44",7.087999000000001,43.602728000000006,61.0,5G,5G,-89.0,-3.0,16.0,5.0,-,0.0,0.0,135.0,135.0,I,LOG START,-98.0,-8.0,6.0,5Ay29
"
2022.08.29_19.31.44",7.087999000000001,43.602728000000006,61.0,5G,5G,-89.0,-3.0,16.0,5.0,-,0.0,0.0,136.0,136.0,I,,-98.0,-8.0,6.0,5Ay29
"
2022.08.29_19.31.44",7.087999000000001,43.602728000000006,61.0,5G,5G,-89.0,-3.0,16.0,5.0,-,0.0,0.0,136.0,136.0,I,PERIODIC,-98.0,-8.0,6.0,5Ay29
"
2022.08.29_19.31.45",7.087999000000001,43.602728000000006,61.0,5G,5G,-89.0,-3.0,16.0,7.0,-,0.0,0.0,136.0,136.0,I,PERIODIC,-101.0,-9.0,9.0,5Ay29
"
2022.08.29_19.31.46",7.087999000000001,43.602728000000006,61.0,5G,5G,-91.0,-3.0,16.0,7.0,-,0.0,0.0,136.0,136.0,I,PERIODIC,-101.0,-9.0,9.0,5Ay29
"
2022.08.29_19.31.47",7.087999000000001,43.602728000000006,61.0,5G,5G,-96.0,-3.0,12.0,11.0,-,1.0,1.0,136.0,136.0,D,PERIODIC,-103.0,-11.0,10.0,5Ay29
"
2022.08.29_19.31.48",7.087999000000001,43.602728000000006,61.0,5G,5G,-96.0,-3.0,12.0,11.0,-,0.0,0.0,136.0,136.0,D,PERIODIC,-103.0,-11.0,10.0,5Ay29
"
2022.08.29_19.31.49",7.087999000000001,43.602728000000006,61.0,5G,5G,-96.0,-3.0,12.0,9.0,-,1.0,2.0,136.0,136.0,D,PERIODIC,-103.0,-9.0,-1.0,5Ay29
"
2022.08.29_19.31.50",7.087999000000001,43.602728000000006,61.0,5G,5G,-96.0,-3.0,12.0,9.0,-,56.0,11.0,136.0,136.0,D,PERIODIC,-103.0,-9.0,-1.0,5Ay29
"
2022.08.29_19.31.52",7.087999000000001,43.602728000000006,61.0,5G,5G,-96.0,-3.0,17.0,11.0,-,1.0,14.0,136.0,136.0,D,PERIODIC,-98.0,-10.0,-1.0,5Ay29
