Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.12_13.25.29",7.068967,43.615334000000004,62.0,5G,5G,-123.0,-10.0,-3.0,10,-,0.0,0.0,206.0,206.0,I,LOG START,,,,5I12
"
2022.09.12_13.25.29",7.068924000000001,43.615308,62.0,5G,5G,-123.0,-10.0,-3.0,10,-,0.0,0.0,187.0,187.0,I,,,,,5I12
"
2022.09.12_13.25.29",7.068924000000001,43.615308,62.0,5G,5G,-123.0,-10.0,-3.0,10,-,0.0,0.0,187.0,187.0,I,PERIODIC,-110.0,-12.0,2.0,5I12
"
2022.09.12_13.25.29",7.068924000000001,43.615308,62.0,5G,5G,-123.0,-10.0,-3.0,10,-,0.0,0.0,187.0,187.0,I,,-110.0,-12.0,2.0,5I12
"
2022.09.12_13.25.30",7.068924000000001,43.615308,62.0,5G,5G,-120.0,-8.0,-1.0,13,-,0.0,0.0,187.0,187.0,I,PERIODIC,-109.0,-11.0,5.0,5I12
"
2022.09.12_13.25.31",7.068924000000001,43.615308,62.0,5G,5G,-120.0,-8.0,-1.0,13,-,0.0,0.0,187.0,187.0,I,PERIODIC,-109.0,-11.0,5.0,5I12
"
2022.09.12_13.25.32",7.068924000000001,43.615308,62.0,5G,5G,-120.0,-8.0,-1.0,13,-,0.0,0.0,187.0,187.0,I,PERIODIC,-109.0,-11.0,5.0,5I12
"
2022.09.12_13.25.33",7.068924000000001,43.615308,62.0,5G,5G,-120.0,-8.0,-1.0,12,-,0.0,0.0,187.0,187.0,I,PERIODIC,-112.0,-12.0,3.0,5I12
"
2022.09.12_13.25.34",7.068924000000001,43.615308,62.0,5G,5G,-120.0,-8.0,-1.0,12,-,13.0,7.0,187.0,187.0,D,PERIODIC,-112.0,-12.0,3.0,5I12
"
2022.09.12_13.25.35",7.068924000000001,43.615308,62.0,5G,5G,-124.0,-11.0,-3.0,9,-,57.0,27.0,187.0,187.0,D,PERIODIC,-109.0,-10.0,4.0,5I12
"
2022.09.12_13.25.37",7.068924000000001,43.615308,62.0,5G,5G,-123.0,-10.0,-3.0,9,-,404.0,127.0,187.0,187.0,D,PERIODIC,-109.0,-10.0,4.0,5I12
"
2022.09.12_13.25.37",7.068924000000001,43.615308,62.0,5G,5G,-125.0,-13.0,-4.0,8,-,433.0,78.0,187.0,187.0,D,PERIODIC,-113.0,-12.0,3.0,5I12
"
2022.09.12_13.25.38",7.068924000000001,43.615308,62.0,5G,5G,-121.0,-9.0,-3.0,8,-,8.0,1.0,187.0,187.0,D,PERIODIC,-113.0,-12.0,3.0,5I12
"
2022.09.12_13.25.39",7.068924000000001,43.615308,62.0,5G,5G,-121.0,-9.0,-3.0,12,-,1.0,5.0,187.0,187.0,D,PERIODIC,-109.0,-12.0,6.0,5I12
"
2022.09.12_13.25.40",7.068924000000001,43.615308,62.0,5G,5G,-122.0,-8.0,0.0,12,-,113.0,34.0,187.0,187.0,D,PERIODIC,-109.0,-12.0,6.0,5I12
"
2022.09.12_13.25.41",7.068924000000001,43.615308,62.0,5G,5G,-122.0,-8.0,0.0,14,-,38.0,26.0,187.0,187.0,D,PERIODIC,-110.0,-13.0,7.0,5I12
"
2022.09.12_13.25.42",7.068924000000001,43.615308,62.0,5G,5G,-122.0,-8.0,0.0,14,-,50.0,45.0,187.0,187.0,D,PERIODIC,-110.0,-13.0,7.0,5I12
"
2022.09.12_13.25.43",7.068924000000001,43.615308,62.0,5G,5G,-122.0,-8.0,0.0,8,-,12.0,26.0,187.0,187.0,D,PERIODIC,-111.0,-12.0,2.0,5I12
"
2022.09.12_13.25.44",7.068924000000001,43.615308,62.0,5G,5G,-122.0,-8.0,0.0,8,-,68.0,43.0,187.0,187.0,D,PERIODIC,-111.0,-12.0,2.0,5I12
"
2022.09.12_13.25.46",7.068924000000001,43.615308,62.0,5G,5G,-122.0,-8.0,0.0,12,-,4.0,0.0,187.0,187.0,D,PERIODIC,-110.0,-12.0,1.0,5I12
"
2022.09.12_13.25.47",7.068924000000001,43.615308,62.0,5G,5G,-122.0,-8.0,0.0,12,-,0.0,0.0,187.0,187.0,I,PERIODIC,-110.0,-12.0,1.0,5I12
"
2022.09.12_13.25.48",7.068924000000001,43.615308,62.0,5G,5G,-122.0,-8.0,0.0,12,-,1.0,3.0,187.0,187.0,D,PERIODIC,-111.0,-13.0,-14.0,5I12
"
2022.09.12_13.25.49",7.068924000000001,43.615308,62.0,5G,5G,-122.0,-8.0,0.0,12,-,0.0,1.0,187.0,187.0,D,PERIODIC,-111.0,-13.0,-14.0,5I12
"
2022.09.12_13.25.49",7.068924000000001,43.615308,62.0,5G,5G,-119.0,-9.0,-2.0,10,-,0.0,0.0,187.0,187.0,D,PERIODIC,-109.0,-12.0,3.0,5I12
"
2022.09.12_13.25.51",7.068924000000001,43.615308,62.0,5G,5G,-119.0,-9.0,-2.0,10,-,0.0,0.0,187.0,187.0,D,PERIODIC,-109.0,-12.0,3.0,5I12
"
2022.09.12_13.25.52",7.068924000000001,43.615308,62.0,5G,5G,-119.0,-9.0,-2.0,9,-,0.0,0.0,187.0,187.0,D,PERIODIC,-110.0,-12.0,1.0,5I12
"
2022.09.12_13.25.53",7.068924000000001,43.615308,62.0,5G,5G,-121.0,-10.0,-2.0,9,-,365.0,163.0,187.0,187.0,D,PERIODIC,-110.0,-12.0,1.0,5I12
"
2022.09.12_13.25.54",7.068924000000001,43.615308,62.0,5G,5G,-121.0,-10.0,-2.0,12,-,2773.0,593.0,187.0,187.0,D,PERIODIC,-113.0,-12.0,2.0,5I12
"
2022.09.12_13.25.55",7.068924000000001,43.615308,62.0,5G,5G,-121.0,-10.0,-2.0,12,-,704.0,138.0,187.0,187.0,D,PERIODIC,-113.0,-12.0,2.0,5I12
"
2022.09.12_13.25.56",7.068924000000001,43.615308,62.0,5G,5G,-121.0,-10.0,-2.0,9,-,265.0,118.0,187.0,187.0,D,PERIODIC,-114.0,-11.0,5.0,5I12
"
2022.09.12_13.25.57",7.068924000000001,43.615308,62.0,5G,5G,-128.0,-14.0,-5.0,9,-,80.0,37.0,187.0,187.0,D,PERIODIC,-114.0,-11.0,5.0,5I12
"
2022.09.12_13.25.58",7.068924000000001,43.615308,62.0,5G,5G,-128.0,-14.0,-5.0,10,-,0.0,0.0,187.0,187.0,D,PERIODIC,-115.0,-12.0,7.0,5I12
"
2022.09.12_13.25.59",7.068924000000001,43.615308,62.0,5G,5G,-128.0,-14.0,-5.0,10,-,0.0,0.0,187.0,187.0,I,PERIODIC,-115.0,-12.0,7.0,5I12
"
2022.09.12_13.26.00",7.068924000000001,43.615308,62.0,5G,5G,-130.0,-16.0,-6.0,9,-,0.0,0.0,187.0,187.0,I,PERIODIC,-114.0,-9.0,7.0,5I12
