Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.08_15.23.32",7.069089999999999,43.615207,62.0,5G,5G,-113.0,-3.0,5.0,13.0,-,0.0,0.0,171.0,171.0,I,LOG START,-107.0,-12.0,-13.0,5I7s
"
2022.09.08_15.23.33",7.069089999999999,43.615207,62.0,5G,5G,-113.0,-3.0,5.0,13.0,-,370.0,82.0,171.0,171.0,D,PERIODIC,-107.0,-12.0,-13.0,5I7s
"
2022.09.08_15.23.33",7.069109,43.615228,62.0,5G,5G,-113.0,-3.0,5.0,13.0,-,370.0,82.0,177.0,177.0,D,,-107.0,-12.0,-13.0,5I7s
"
2022.09.08_15.23.34",7.069109,43.615228,62.0,5G,5G,-113.0,-3.0,5.0,12.0,-,525.0,252.0,177.0,177.0,D,PERIODIC,-108.0,-12.0,12.0,5I7s
"
2022.09.08_15.23.35",7.069109,43.615228,62.0,5G,5G,-113.0,-3.0,5.0,12.0,-,231.0,267.0,177.0,177.0,D,PERIODIC,-108.0,-12.0,12.0,5I7s
"
2022.09.08_15.23.36",7.069109,43.615228,62.0,5G,5G,-111.0,-3.0,5.0,14.0,-,0.0,0.0,177.0,177.0,D,PERIODIC,-106.0,-12.0,13.0,5I7s
"
2022.09.08_15.23.37",7.069109,43.615228,62.0,5G,5G,-116.0,-5.0,1.0,14.0,-,0.0,0.0,177.0,177.0,I,PERIODIC,-106.0,-12.0,13.0,5I7s
"
2022.09.08_15.23.38",7.069109,43.615228,62.0,5G,5G,-116.0,-5.0,1.0,14.0,-,14.0,17.0,177.0,177.0,D,PERIODIC,-108.0,-12.0,4.0,5I7s
"
2022.09.08_15.23.39",7.069109,43.615228,62.0,5G,5G,-113.0,-3.0,5.0,14.0,-,52.0,21.0,177.0,177.0,D,PERIODIC,-108.0,-12.0,4.0,5I7s
"
2022.09.08_15.23.40",7.069109,43.615228,62.0,5G,5G,-113.0,-3.0,5.0,12.0,-,120.0,11.0,177.0,177.0,D,PERIODIC,-107.0,-12.0,7.0,5I7s
"
2022.09.08_15.23.41",7.069109,43.615228,62.0,5G,5G,-115.0,-6.0,0.0,12.0,-,6.0,1.0,177.0,177.0,D,PERIODIC,-107.0,-12.0,7.0,5I7s
"
2022.09.08_15.23.42",7.069109,43.615228,62.0,5G,5G,-113.0,-4.0,0.0,12.0,-,72.0,23.0,177.0,177.0,D,PERIODIC,-107.0,-12.0,7.0,5I7s
"
2022.09.08_15.23.43",7.069109,43.615228,62.0,5G,5G,-110.0,-5.0,1.0,12.0,-,162.0,30.0,177.0,177.0,D,PERIODIC,-110.0,-12.0,7.0,5I7s
"
2022.09.08_15.23.44",7.069109,43.615228,62.0,5G,5G,-110.0,-5.0,1.0,8.0,-,7.0,5.0,177.0,177.0,D,PERIODIC,-106.0,-12.0,3.0,5I7s
"
2022.09.08_15.23.45",7.069109,43.615228,62.0,5G,5G,-106.0,-3.0,7.0,8.0,-,0.0,2.0,177.0,177.0,D,PERIODIC,-106.0,-12.0,3.0,5I7s
"
2022.09.08_15.23.46",7.069109,43.615228,62.0,5G,5G,-106.0,-3.0,7.0,10.0,-,0.0,4.0,177.0,177.0,D,PERIODIC,-108.0,-13.0,3.0,5I7s
"
2022.09.08_15.23.47",7.069109,43.615228,62.0,5G,5G,-105.0,-3.0,9.0,10.0,-,0.0,0.0,177.0,177.0,I,PERIODIC,-108.0,-13.0,3.0,5I7s
"
2022.09.08_15.23.48",7.069109,43.615228,62.0,5G,5G,-104.0,-3.0,8.0,11.0,-,1.0,5.0,177.0,177.0,D,PERIODIC,-109.0,-14.0,2.0,5I7s
"
2022.09.08_15.23.49",7.069109,43.615228,62.0,5G,5G,-104.0,-3.0,8.0,11.0,-,57.0,65.0,177.0,177.0,D,PERIODIC,-109.0,-14.0,2.0,5I7s
"
2022.09.08_15.23.50",7.069109,43.615228,62.0,5G,5G,-110.0,-3.0,3.0,10.0,-,0.0,4.0,177.0,177.0,D,PERIODIC,-107.0,-14.0,8.0,5I7s
"
2022.09.08_15.23.51",7.069109,43.615228,62.0,5G,5G,-110.0,-3.0,3.0,10.0,-,0.0,0.0,177.0,177.0,D,PERIODIC,-107.0,-14.0,8.0,5I7s
"
2022.09.08_15.23.52",7.069109,43.615228,62.0,5G,5G,-110.0,-3.0,2.0,10.0,-,0.0,0.0,177.0,177.0,I,PERIODIC,-109.0,-13.0,4.0,5I7s
"
2022.09.08_15.23.53",7.069109,43.615228,62.0,5G,5G,-110.0,-3.0,2.0,10.0,-,0.0,0.0,177.0,177.0,D,PERIODIC,-109.0,-13.0,4.0,5I7s
