Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.27_13.35.23",7.072967,43.616816,63.0,4G,LTE,-94.0,-5.0,20.0,-,-101,0.0,0.0,171.0,171.0,I,LOG START,,,,5M27
"
2022.08.27_13.35.23",7.072967,43.616816,63.0,4G,LTE,-103.0,-5.0,20.0,-,-101,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5M27
"
2022.08.27_13.35.23",7.072926,43.616845,63.0,4G,LTE,-103.0,-5.0,20.0,-,-101,0.0,0.0,170.0,170.0,I,,,,,5M27
"
2022.08.27_13.35.24",7.072926,43.616845,63.0,4G,LTE,-103.0,-5.0,20.0,-,-93,0.0,0.0,170.0,170.0,D,PERIODIC,,,,5M27
"
2022.08.27_13.35.25",7.072926,43.616845,63.0,5G,5G,-99.0,-3.0,19.0,12,-,0.0,0.0,170.0,170.0,I,PERIODIC,-92.0,-5.0,19.0,5M27
"
2022.08.27_13.35.25",7.072926,43.616845,63.0,5G,5G,-99.0,-3.0,19.0,12,-,0.0,0.0,170.0,170.0,I,,-92.0,-5.0,19.0,5M27
"
2022.08.27_13.35.26",7.072926,43.616845,63.0,5G,5G,-99.0,-3.0,19.0,12,-,0.0,0.0,170.0,170.0,I,PERIODIC,-92.0,-5.0,19.0,5M27
"
2022.08.27_13.35.27",7.072926,43.616845,63.0,5G,5G,-99.0,-3.0,19.0,12,-,0.0,0.0,170.0,170.0,I,PERIODIC,-98.0,-10.0,15.0,5M27
"
2022.08.27_13.35.28",7.072926,43.616845,63.0,5G,5G,-99.0,-3.0,19.0,12,-,0.0,0.0,170.0,170.0,I,PERIODIC,-98.0,-10.0,15.0,5M27
"
2022.08.27_13.35.29",7.072926,43.616845,63.0,5G,5G,-99.0,-3.0,19.0,12,-,0.0,0.0,170.0,170.0,I,PERIODIC,-98.0,-10.0,15.0,5M27
"
2022.08.27_13.35.30",7.072926,43.616845,63.0,5G,5G,-99.0,-3.0,19.0,12,-,0.0,0.0,170.0,170.0,I,PERIODIC,-98.0,-10.0,15.0,5M27
"
2022.08.27_13.35.31",7.072926,43.616845,63.0,5G,5G,-99.0,-3.0,19.0,12,-,0.0,0.0,170.0,170.0,I,PERIODIC,-98.0,-10.0,15.0,5M27
"
2022.08.27_13.35.32",7.072926,43.616845,63.0,5G,5G,-99.0,-3.0,19.0,12,-,0.0,0.0,170.0,170.0,I,PERIODIC,-98.0,-10.0,15.0,5M27
"
2022.08.27_13.35.33",7.072926,43.616845,63.0,5G,5G,-99.0,-3.0,19.0,12,-,51.0,17.0,170.0,170.0,D,PERIODIC,-98.0,-10.0,15.0,5M27
"
2022.08.27_13.35.35",7.072926,43.616845,63.0,5G,5G,-99.0,-3.0,19.0,7,-,344.0,154.0,170.0,170.0,D,PERIODIC,-99.0,-6.0,18.0,5M27
"
2022.08.27_13.35.35",7.072926,43.616845,63.0,5G,5G,-102.0,-3.0,19.0,7,-,2437.0,548.0,170.0,170.0,D,PERIODIC,-99.0,-6.0,18.0,5M27
"
2022.08.27_13.35.36",7.072926,43.616845,63.0,5G,5G,-102.0,-3.0,19.0,7,-,9607.0,363.0,170.0,170.0,D,PERIODIC,-99.0,-6.0,18.0,5M27
"
2022.08.27_13.35.38",7.072926,43.616845,63.0,5G,5G,-102.0,-3.0,19.0,13,-,235.0,120.0,170.0,170.0,D,PERIODIC,-93.0,-5.0,21.0,5M27
