Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.07_04.22.19",5.998043,43.421489,82.0,5G,5G,-91.0,-3.0,16.0,12,-,0.0,0.0,339.0,339.0,I,LOG START,-96.0,-5.0,17.0,5M37s
"
2022.09.07_04.22.20",5.998379,43.421501,82.0,5G,5G,-91.0,-3.0,16.0,12,-,0.0,0.0,338.0,338.0,I,,-96.0,-5.0,17.0,5M37s
"
2022.09.07_04.22.20",5.998379,43.421501,82.0,5G,5G,-91.0,-3.0,16.0,14,-,0.0,0.0,338.0,338.0,I,PERIODIC,-95.0,-6.0,16.0,5M37s
"
2022.09.07_04.22.20",5.99871,43.421515,82.0,5G,5G,-91.0,-3.0,16.0,14,-,0.0,0.0,338.0,338.0,I,,-95.0,-6.0,16.0,5M37s
"
2022.09.07_04.22.21",5.99871,43.421515,82.0,5G,5G,-95.0,-5.0,9.0,14,-,0.0,0.0,338.0,338.0,I,PERIODIC,-95.0,-6.0,16.0,5M37s
"
2022.09.07_04.22.22",5.999041,43.421525,82.0,5G,5G,-95.0,-5.0,9.0,14,-,0.0,0.0,338.0,338.0,I,,-95.0,-6.0,16.0,5M37s
"
2022.09.07_04.22.22",5.999041,43.421525,82.0,5G,5G,-95.0,-5.0,13.0,12,-,0.0,0.0,338.0,338.0,I,PERIODIC,-99.0,-5.0,16.0,5M37s
"
2022.09.07_04.22.22",5.999361,43.421541999999995,82.0,5G,5G,-95.0,-5.0,13.0,12,-,0.0,0.0,338.0,338.0,I,,-99.0,-5.0,16.0,5M37s
"
2022.09.07_04.22.23",5.999361,43.421541999999995,82.0,5G,5G,-102.0,-4.0,12.0,12,-,1.0,4.0,338.0,338.0,D,PERIODIC,-99.0,-5.0,16.0,5M37s
"
2022.09.07_04.22.24",5.99969,43.421555,82.0,5G,5G,-102.0,-4.0,12.0,12,-,1.0,4.0,338.0,338.0,D,,-99.0,-5.0,16.0,5M37s
"
2022.09.07_04.22.24",5.99969,43.421555,82.0,5G,5G,-101.0,-4.0,17.0,15,-,6.0,6.0,338.0,338.0,D,PERIODIC,-93.0,-5.0,16.0,5M37s
"
2022.09.07_04.22.24",6.000014,43.421564000000004,82.0,5G,5G,-101.0,-4.0,17.0,15,-,6.0,6.0,338.0,338.0,D,,-93.0,-5.0,16.0,5M37s
"
2022.09.07_04.22.25",6.000014,43.421564000000004,82.0,5G,5G,-100.0,-4.0,15.0,15,-,0.0,0.0,338.0,338.0,I,PERIODIC,-93.0,-5.0,16.0,5M37s
"
2022.09.07_04.22.26",6.000338,43.421572,82.0,5G,5G,-100.0,-4.0,15.0,15,-,0.0,0.0,338.0,338.0,I,,-93.0,-5.0,16.0,5M37s
"
2022.09.07_04.22.26",6.000338,43.421572,82.0,5G,5G,-98.0,-5.0,15.0,13,-,1.0,1.0,338.0,338.0,D,PERIODIC,-99.0,-5.0,16.0,5M37s
"
2022.09.07_04.22.27",6.000666000000001,43.421577,82.0,5G,5G,-98.0,-5.0,15.0,13,-,1.0,1.0,338.0,338.0,D,,-99.0,-5.0,16.0,5M37s
"
2022.09.07_04.22.27",6.000666000000001,43.421577,82.0,5G,5G,-97.0,-4.0,18.0,13,-,0.0,0.0,338.0,338.0,I,PERIODIC,-99.0,-5.0,16.0,5M37s
"
2022.09.07_04.22.27",6.0009879999999995,43.421583,82.0,5G,5G,-97.0,-4.0,18.0,13,-,0.0,0.0,338.0,338.0,I,,-99.0,-5.0,16.0,5M37s
"
2022.09.07_04.22.28",6.0009879999999995,43.421583,82.0,5G,5G,-97.0,-4.0,18.0,13,-,0.0,0.0,338.0,338.0,I,PERIODIC,-97.0,-5.0,21.0,5M37s
"
2022.09.07_04.22.28",6.001316,43.421587,82.0,5G,5G,-97.0,-4.0,18.0,13,-,0.0,0.0,338.0,338.0,I,,-97.0,-5.0,21.0,5M37s
"
2022.09.07_04.22.29",6.001316,43.421587,82.0,5G,5G,-95.0,-5.0,19.0,13,-,200.0,65.0,338.0,338.0,D,PERIODIC,-97.0,-5.0,21.0,5M37s
"
2022.09.07_04.22.29",6.001633,43.421591,82.0,5G,5G,-95.0,-5.0,19.0,13,-,200.0,65.0,338.0,338.0,D,,-97.0,-5.0,21.0,5M37s
"
2022.09.07_04.22.30",6.001633,43.421591,82.0,5G,5G,-95.0,-4.0,13.0,14,-,0.0,0.0,338.0,338.0,I,PERIODIC,-100.0,-6.0,20.0,5M37s
"
2022.09.07_04.22.30",6.0019540000000005,43.421594,82.0,5G,5G,-95.0,-4.0,13.0,14,-,0.0,0.0,338.0,338.0,I,,-100.0,-6.0,20.0,5M37s
"
2022.09.07_04.22.31",6.0019540000000005,43.421594,82.0,5G,5G,-94.0,-3.0,18.0,14,-,0.0,0.0,338.0,338.0,I,PERIODIC,-100.0,-6.0,20.0,5M37s
"
2022.09.07_04.22.32",6.002279,43.421597,82.0,5G,5G,-94.0,-3.0,18.0,14,-,0.0,0.0,338.0,338.0,I,,-100.0,-6.0,20.0,5M37s
"
2022.09.07_04.22.32",6.002279,43.421597,82.0,5G,5G,-98.0,-3.0,14.0,8,-,0.0,0.0,338.0,338.0,I,PERIODIC,-99.0,-6.0,20.0,5M37s
"
2022.09.07_04.22.33",6.0025949999999995,43.421592,82.0,5G,5G,-98.0,-3.0,14.0,8,-,0.0,0.0,338.0,338.0,I,,-99.0,-6.0,20.0,5M37s
"
2022.09.07_04.22.33",6.0025949999999995,43.421592,82.0,5G,5G,-100.0,-4.0,13.0,8,-,0.0,0.0,338.0,338.0,I,PERIODIC,-99.0,-6.0,20.0,5M37s
"
2022.09.07_04.22.34",6.002915,43.421588,82.0,5G,5G,-100.0,-4.0,13.0,8,-,0.0,0.0,337.0,337.0,I,,-99.0,-6.0,20.0,5M37s
"
2022.09.07_04.22.34",6.002915,43.421588,82.0,5G,5G,-101.0,-3.0,17.0,11,-,0.0,0.0,337.0,337.0,I,PERIODIC,-104.0,-5.0,26.0,5M37s
"
2022.09.07_04.22.34",6.00324,43.421579,82.0,5G,5G,-101.0,-3.0,17.0,11,-,0.0,0.0,337.0,337.0,I,,-104.0,-5.0,26.0,5M37s
"
2022.09.07_04.22.35",6.00324,43.421579,82.0,5G,5G,-101.0,-3.0,17.0,11,-,0.0,0.0,337.0,337.0,I,PERIODIC,-104.0,-5.0,26.0,5M37s
"
2022.09.07_04.22.36",6.003553,43.421572999999995,82.0,5G,5G,-101.0,-3.0,17.0,11,-,0.0,0.0,337.0,337.0,I,,-104.0,-5.0,26.0,5M37s
"
2022.09.07_04.22.36",6.003553,43.421572999999995,82.0,5G,5G,-101.0,-3.0,17.0,12,-,0.0,0.0,337.0,337.0,I,PERIODIC,-104.0,-6.0,26.0,5M37s
"
2022.09.07_04.22.37",6.003863,43.421562,82.0,5G,5G,-101.0,-3.0,17.0,12,-,0.0,0.0,336.0,336.0,I,,-104.0,-6.0,26.0,5M37s
"
2022.09.07_04.22.37",6.003863,43.421562,82.0,5G,5G,-103.0,-6.0,6.0,12,-,0.0,0.0,336.0,336.0,I,PERIODIC,-104.0,-6.0,26.0,5M37s
"
2022.09.07_04.22.37",6.004182,43.421547,82.0,5G,5G,-103.0,-6.0,6.0,12,-,0.0,0.0,336.0,336.0,I,,-104.0,-6.0,26.0,5M37s
"
2022.09.07_04.22.38",6.004182,43.421547,82.0,5G,5G,-103.0,-6.0,6.0,12,-,0.0,0.0,336.0,336.0,I,PERIODIC,-106.0,-8.0,15.0,5M37s
"
2022.09.07_04.22.38",6.004499,43.421528,82.0,5G,5G,-103.0,-6.0,6.0,12,-,0.0,0.0,337.0,337.0,I,,-106.0,-8.0,15.0,5M37s
"
2022.09.07_04.22.39",6.004499,43.421528,82.0,5G,5G,-107.0,-6.0,5.0,12,-,0.0,0.0,337.0,337.0,I,PERIODIC,-106.0,-8.0,15.0,5M37s
"
2022.09.07_04.22.40",6.004814,43.421506,82.0,5G,5G,-107.0,-6.0,5.0,12,-,0.0,0.0,336.0,336.0,I,,-106.0,-8.0,15.0,5M37s
"
2022.09.07_04.22.40",6.004814,43.421506,82.0,5G,5G,-107.0,-6.0,5.0,-,-,0.0,0.0,336.0,336.0,I,PERIODIC,-109.0,-8.0,10.0,5M37s
"
2022.09.07_04.22.41",6.005123,43.421484,82.0,5G,5G,-107.0,-6.0,5.0,-,-,0.0,0.0,337.0,337.0,I,,-109.0,-8.0,10.0,5M37s
"
2022.09.07_04.22.41",6.005123,43.421484,82.0,4G,LTE,-109.0,-8.0,10.0,-,-57,0.0,0.0,337.0,337.0,I,PERIODIC,,,,5M37s
"
2022.09.07_04.22.41",6.005123,43.421484,82.0,4G,LTE,-109.0,-8.0,10.0,-,-57,0.0,0.0,337.0,337.0,I,,,,,5M37s
"
2022.09.07_04.22.42",6.005423,43.421458,82.0,4G,LTE,-109.0,-8.0,10.0,-,-57,0.0,0.0,337.0,337.0,I,,,,,5M37s
"
2022.09.07_04.22.42",6.005423,43.421458,82.0,4G,LTE,-113.0,-7.0,16.0,-,-63,0.0,0.0,337.0,337.0,I,PERIODIC,,,,5M37s
"
2022.09.07_04.22.43",6.005755000000001,43.421432,82.0,4G,LTE,-113.0,-7.0,16.0,-,-63,0.0,0.0,337.0,337.0,I,,,,,5M37s
"
2022.09.07_04.22.43",6.005755000000001,43.421432,82.0,4G,LTE,-113.0,-7.0,16.0,-,-63,0.0,0.0,337.0,337.0,I,PERIODIC,,,,5M37s
"
2022.09.07_04.22.44",6.006094,43.421406,82.0,4G,LTE,-113.0,-7.0,16.0,-,-63,0.0,0.0,336.0,336.0,I,,,,,5M37s
"
2022.09.07_04.22.44",6.006094,43.421406,82.0,4G,LTE,-111.0,-7.0,15.0,-,-59,0.0,0.0,336.0,336.0,I,PERIODIC,,,,5M37s
"
2022.09.07_04.22.45",6.006439,43.421378000000004,82.0,4G,LTE,-111.0,-7.0,15.0,-,-59,0.0,0.0,336.0,336.0,I,,,,,5M37s
"
2022.09.07_04.22.45",6.006439,43.421378000000004,82.0,4G,LTE,-111.0,-7.0,15.0,-,-59,0.0,0.0,336.0,336.0,I,PERIODIC,,,,5M37s
"
2022.09.07_04.22.46",6.0067900000000005,43.421341999999996,82.0,4G,LTE,-111.0,-7.0,15.0,-,-59,0.0,0.0,336.0,336.0,I,,,,,5M37s
"
2022.09.07_04.22.46",6.007136,43.421306,82.0,4G,LTE,-112.0,-7.0,7.0,-,-61,0.0,0.0,336.0,336.0,I,,,,,5M37s
"
2022.09.07_04.22.47",6.007136,43.421306,82.0,4G,LTE,-112.0,-7.0,7.0,-,-61,0.0,0.0,336.0,336.0,I,PERIODIC,,,,5M37s
"
2022.09.07_04.22.47",6.00748,43.421269,82.0,4G,LTE,-112.0,-7.0,7.0,-,-61,0.0,0.0,336.0,336.0,I,,,,,5M37s
"
2022.09.07_04.22.48",6.00748,43.421269,82.0,4G,LTE,-112.0,-7.0,7.0,-,-61,0.0,0.0,336.0,336.0,I,PERIODIC,,,,5M37s
"
2022.09.07_04.22.48",6.007825,43.421232,82.0,4G,LTE,-112.0,-7.0,7.0,-,-61,1.0,1.0,336.0,336.0,D,,,,,5M37s
"
2022.09.07_04.22.49",6.007825,43.421232,82.0,4G,LTE,-110.0,-8.0,5.0,-,-57,1.0,1.0,336.0,336.0,D,PERIODIC,,,,5M37s
"
2022.09.07_04.22.49",6.007825,43.421232,83.0,4G,LTE,-113.0,-10.0,-1.0,6,-59,50.0,18.0,336.0,336.0,D,IRAT_HANDOVER_DATA_5G4G,,,,5M37s
"
2022.09.07_04.22.50",6.0081690000000005,43.42119,83.0,4G,LTE,-113.0,-10.0,-1.0,6,-59,50.0,18.0,335.0,335.0,D,,,,,5M37s
"
2022.09.07_04.22.50",6.008508,43.421141,83.0,5G,5G,-103.0,-8.0,0.0,6,-,0.0,0.0,335.0,335.0,D,,,,,5M37s
"
2022.09.07_04.22.51",6.008508,43.421141,83.0,5G,5G,-103.0,-8.0,0.0,6,-,0.0,0.0,335.0,335.0,D,PERIODIC,-111.0,-10.0,5.0,5M37s
"
2022.09.07_04.22.51",6.008508,43.421141,83.0,5G,5G,-103.0,-8.0,0.0,6,-,0.0,0.0,335.0,335.0,D,,-111.0,-10.0,5.0,5M37s
"
2022.09.07_04.22.51",6.008845,43.42109,83.0,5G,5G,-103.0,-9.0,0.0,6,-,0.0,0.0,335.0,335.0,I,,-111.0,-10.0,5.0,5M37s
"
2022.09.07_04.22.52",6.008845,43.42109,83.0,5G,5G,-103.0,-9.0,0.0,6,-,0.0,0.0,335.0,335.0,I,PERIODIC,-111.0,-10.0,5.0,5M37s
"
2022.09.07_04.22.52",6.008845,43.42109,83.0,5G,5G,-103.0,-9.0,0.0,8,-,0.0,0.0,335.0,335.0,I,PERIODIC,-116.0,-9.0,7.0,5M37s
"
2022.09.07_04.22.52",6.009182,43.421038,83.0,5G,5G,-103.0,-9.0,0.0,8,-,0.0,0.0,335.0,335.0,I,,-116.0,-9.0,7.0,5M37s
"
2022.09.07_04.22.53",6.009517,43.420974,83.0,5G,5G,-103.0,-9.0,0.0,8,-,0.0,0.0,335.0,335.0,I,,-116.0,-9.0,7.0,5M37s
"
2022.09.07_04.22.53",6.009517,43.420974,82.0,5G,5G,-103.0,-9.0,0.0,6,-,0.0,0.0,335.0,335.0,I,IRAT_CELL_RESELECTION_4G5G,-113.0,-9.0,7.0,5M37s
