Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.08_16.20.46",7.072978999999999,43.616839,5G,5G,-101.0,-3.0,16.0,13,-,0.0,0.0,165.0,165.0,I,LOG START,-101.0,-7.0,18.0,5M7s
"
2022.09.08_16.20.46",7.072978999999999,43.616839,5G,5G,-101.0,-3.0,16.0,13,-,3.0,2.0,165.0,165.0,D,PERIODIC,-101.0,-7.0,18.0,5M7s
"
2022.09.08_16.20.46",7.07292,43.616852,5G,5G,-101.0,-3.0,16.0,13,-,3.0,2.0,157.0,157.0,D,,-101.0,-7.0,18.0,5M7s
"
2022.09.08_16.20.47",7.07292,43.616852,5G,5G,-101.0,-3.0,16.0,13,-,0.0,0.0,157.0,157.0,D,PERIODIC,-101.0,-7.0,18.0,5M7s
"
2022.09.08_16.20.48",7.07292,43.616852,5G,5G,-101.0,-3.0,16.0,11,-,0.0,0.0,157.0,157.0,I,PERIODIC,-100.0,-7.0,20.0,5M7s
"
2022.09.08_16.20.49",7.07292,43.616852,5G,5G,-101.0,-3.0,21.0,11,-,1.0,1.0,157.0,157.0,D,PERIODIC,-100.0,-7.0,20.0,5M7s
"
2022.09.08_16.20.50",7.07292,43.616852,5G,5G,-101.0,-3.0,21.0,13,-,0.0,0.0,157.0,157.0,I,PERIODIC,-99.0,-7.0,-6.0,5M7s
"
2022.09.08_16.20.51",7.07292,43.616852,5G,5G,-101.0,-3.0,21.0,13,-,0.0,0.0,157.0,157.0,I,PERIODIC,-99.0,-7.0,-6.0,5M7s
"
2022.09.08_16.20.52",7.07292,43.616852,5G,5G,-101.0,-3.0,21.0,12,-,0.0,0.0,157.0,157.0,I,PERIODIC,-99.0,-7.0,17.0,5M7s
"
2022.09.08_16.20.53",7.07292,43.616852,5G,5G,-101.0,-3.0,21.0,12,-,0.0,0.0,157.0,157.0,I,PERIODIC,-99.0,-7.0,17.0,5M7s
"
2022.09.08_16.20.54",7.07292,43.616852,5G,5G,-97.0,-3.0,20.0,11,-,0.0,0.0,157.0,157.0,I,PERIODIC,-101.0,-8.0,15.0,5M7s
"
2022.09.08_16.20.55",7.07292,43.616852,5G,5G,-97.0,-3.0,20.0,11,-,0.0,0.0,157.0,157.0,I,PERIODIC,-101.0,-8.0,15.0,5M7s
"
2022.09.08_16.20.56",7.07292,43.616852,5G,5G,-97.0,-3.0,20.0,11,-,0.0,0.0,157.0,157.0,I,PERIODIC,-101.0,-8.0,15.0,5M7s
"
2022.09.08_16.20.57",7.07292,43.616852,5G,5G,-97.0,-3.0,20.0,11,-,0.0,0.0,157.0,157.0,I,PERIODIC,-101.0,-8.0,15.0,5M7s
"
2022.09.08_16.20.58",7.07292,43.616852,5G,5G,-97.0,-3.0,20.0,11,-,0.0,0.0,157.0,157.0,I,PERIODIC,-101.0,-8.0,15.0,5M7s
"
2022.09.08_16.20.59",7.07292,43.616852,5G,5G,-97.0,-3.0,20.0,11,-,0.0,0.0,157.0,157.0,I,PERIODIC,-101.0,-8.0,15.0,5M7s
"
2022.09.08_16.21.00",7.07292,43.616852,5G,5G,-97.0,-3.0,20.0,-,-,0.0,0.0,157.0,157.0,I,PERIODIC,-100.0,-6.0,19.0,5M7s
"
2022.09.08_16.21.01",7.07292,43.616852,4G,LTE,-100.0,-6.0,19.0,-,-103,0.0,0.0,157.0,157.0,I,PERIODIC,,,,5M7s
"
2022.09.08_16.21.01",7.07292,43.616852,4G,LTE,-100.0,-6.0,19.0,-,-103,0.0,0.0,157.0,157.0,I,,,,,5M7s
"
2022.09.08_16.21.02",7.07292,43.616852,4G,LTE,-103.0,-8.0,18.0,-,-103,0.0,0.0,157.0,157.0,I,PERIODIC,,,,5M7s
"
2022.09.08_16.21.03",7.07292,43.616852,4G,LTE,-103.0,-8.0,18.0,-,-103,0.0,0.0,157.0,157.0,I,PERIODIC,,,,5M7s
"
2022.09.08_16.21.04",7.07292,43.616852,4G,LTE,-104.0,-9.0,15.0,-,-103,0.0,0.0,157.0,157.0,I,PERIODIC,,,,5M7s
"
2022.09.08_16.21.05",7.07292,43.616852,4G,LTE,-104.0,-9.0,15.0,-,-105,0.0,0.0,157.0,157.0,I,PERIODIC,,,,5M7s
