Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.29_19.17.01",7.072819,43.616893,63.0,5G,5G,-95.0,-3.0,21.0,12,-,0.0,0.0,176.0,176.0,I,LOG START,-97.0,-5.0,22.0,5Me29
"
2022.08.29_19.17.02",7.072819,43.616893,63.0,5G,5G,-95.0,-3.0,21.0,12,-,0.0,0.0,176.0,176.0,I,PERIODIC,-97.0,-5.0,22.0,5Me29
"
2022.08.29_19.17.02",7.072832000000001,43.616895,63.0,5G,5G,-95.0,-3.0,21.0,12,-,0.0,0.0,171.0,171.0,I,,-97.0,-5.0,22.0,5Me29
"
2022.08.29_19.17.03",7.072832000000001,43.616895,63.0,5G,5G,-95.0,-3.0,21.0,12,-,0.0,0.0,171.0,171.0,I,PERIODIC,-101.0,-5.0,20.0,5Me29
"
2022.08.29_19.17.04",7.072832000000001,43.616895,63.0,5G,5G,-103.0,-3.0,13.0,12,-,0.0,0.0,171.0,171.0,I,PERIODIC,-101.0,-5.0,20.0,5Me29
"
2022.08.29_19.17.05",7.072832000000001,43.616895,63.0,5G,5G,-103.0,-3.0,14.0,13,-,0.0,0.0,171.0,171.0,I,PERIODIC,-97.0,-7.0,20.0,5Me29
"
2022.08.29_19.17.06",7.072832000000001,43.616895,63.0,5G,5G,-103.0,-3.0,16.0,13,-,0.0,0.0,171.0,171.0,I,PERIODIC,-97.0,-7.0,20.0,5Me29
"
2022.08.29_19.17.07",7.072832000000001,43.616895,63.0,5G,5G,-103.0,-3.0,16.0,12,-,0.0,0.0,171.0,171.0,I,PERIODIC,-98.0,-8.0,17.0,5Me29
"
2022.08.29_19.17.08",7.072832000000001,43.616895,63.0,5G,5G,-103.0,-3.0,16.0,12,-,0.0,0.0,171.0,171.0,I,PERIODIC,-98.0,-8.0,17.0,5Me29
"
2022.08.29_19.17.09",7.072832000000001,43.616895,63.0,4G,LTE,-96.0,-5.0,18.0,-,-97,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5Me29
"
2022.08.29_19.17.09",7.072832000000001,43.616895,63.0,4G,LTE,-96.0,-5.0,18.0,-,-97,0.0,0.0,171.0,171.0,I,,,,,5Me29
"
2022.08.29_19.17.10",7.072832000000001,43.616895,63.0,4G,LTE,-96.0,-5.0,18.0,-,-109,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5Me29
"
2022.08.29_19.17.11",7.072832000000001,43.616895,63.0,4G,LTE,-109.0,-7.0,15.0,-,-55,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5Me29
"
2022.08.29_19.17.12",7.072832000000001,43.616895,63.0,4G,LTE,-109.0,-7.0,15.0,-,-55,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5Me29
"
2022.08.29_19.17.13",7.072832000000001,43.616895,63.0,4G,LTE,-108.0,-8.0,16.0,-,-51,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5Me29
"
2022.08.29_19.17.14",7.072832000000001,43.616895,63.0,4G,LTE,-108.0,-8.0,16.0,-,-51,45.0,15.0,171.0,171.0,D,PERIODIC,,,,5Me29
"
2022.08.29_19.17.15",7.072832000000001,43.616895,63.0,4G,LTE,-100.0,-10.0,15.0,12,-101,0.0,0.0,171.0,171.0,D,PERIODIC,,,,5Me29
"
2022.08.29_19.17.16",7.072832000000001,43.616895,63.0,5G,5G,-95.0,-3.0,19.0,12,-,0.0,0.0,171.0,171.0,I,PERIODIC,-100.0,-10.0,15.0,5Me29
"
2022.08.29_19.17.16",7.072832000000001,43.616895,63.0,5G,5G,-95.0,-3.0,19.0,12,-,0.0,0.0,171.0,171.0,I,,-100.0,-10.0,15.0,5Me29
"
2022.08.29_19.17.17",7.072832000000001,43.616895,63.0,5G,5G,-98.0,-3.0,19.0,13,-,133.0,75.0,171.0,171.0,D,PERIODIC,-97.0,-6.0,15.0,5Me29
"
2022.08.29_19.17.18",7.072832000000001,43.616895,63.0,5G,5G,-98.0,-3.0,19.0,13,-,79.0,11.0,171.0,171.0,D,PERIODIC,-97.0,-6.0,15.0,5Me29
"
2022.08.29_19.17.19",7.072832000000001,43.616895,63.0,5G,5G,-103.0,-3.0,14.0,12,-,16.0,16.0,171.0,171.0,D,PERIODIC,-95.0,-7.0,15.0,5Me29
"
2022.08.29_19.17.20",7.072832000000001,43.616895,63.0,5G,5G,-106.0,-3.0,16.0,12,-,163.0,56.0,171.0,171.0,D,PERIODIC,-95.0,-7.0,15.0,5Me29
"
2022.08.29_19.17.21",7.072832000000001,43.616895,63.0,5G,5G,-106.0,-3.0,16.0,12,-,2.0,12.0,171.0,171.0,D,PERIODIC,-98.0,-6.0,17.0,5Me29
"
2022.08.29_19.17.22",7.072832000000001,43.616895,63.0,5G,5G,-106.0,-3.0,16.0,12,-,108.0,19.0,171.0,171.0,D,PERIODIC,-98.0,-6.0,17.0,5Me29
"
2022.08.29_19.17.23",7.072832000000001,43.616895,63.0,5G,5G,-106.0,-3.0,16.0,12,-,2.0,1.0,171.0,171.0,D,PERIODIC,-97.0,-7.0,19.0,5Me29
"
2022.08.29_19.17.24",7.072832000000001,43.616895,63.0,5G,5G,-106.0,-3.0,16.0,12,-,0.0,0.0,171.0,171.0,D,PERIODIC,-97.0,-7.0,19.0,5Me29
"
2022.08.29_19.17.25",7.072832000000001,43.616895,63.0,5G,5G,-96.0,-3.0,21.0,12,-,0.0,0.0,171.0,171.0,I,PERIODIC,-97.0,-6.0,18.0,5Me29
"
2022.08.29_19.17.26",7.072832000000001,43.616895,63.0,5G,5G,-96.0,-3.0,21.0,12,-,0.0,0.0,171.0,171.0,I,PERIODIC,-97.0,-6.0,18.0,5Me29
"
2022.08.29_19.17.27",7.072832000000001,43.616895,63.0,5G,5G,-96.0,-3.0,21.0,14,-,0.0,0.0,171.0,171.0,I,PERIODIC,-100.0,-6.0,17.0,5Me29
"
2022.08.29_19.17.28",7.072832000000001,43.616895,63.0,5G,5G,-97.0,-3.0,18.0,14,-,0.0,0.0,171.0,171.0,D,PERIODIC,-100.0,-6.0,17.0,5Me29
"
2022.08.29_19.17.29",7.072832000000001,43.616895,63.0,5G,5G,-97.0,-3.0,16.0,10,-,0.0,0.0,171.0,171.0,I,PERIODIC,-98.0,-9.0,18.0,5Me29
"
2022.08.29_19.17.30",7.0729999999999995,43.61684,63.0,5G,5G,-97.0,-3.0,20.0,10,-,0.0,0.0,167.0,167.0,I,,-98.0,-9.0,18.0,5Me29
"
2022.08.29_19.17.30",7.0729999999999995,43.61684,63.0,5G,5G,-97.0,-3.0,20.0,10,-,0.0,0.0,167.0,167.0,I,PERIODIC,-98.0,-9.0,18.0,5Me29
"
2022.08.29_19.17.31",7.0729999999999995,43.61684,63.0,5G,5G,-97.0,-3.0,20.0,10,-,0.0,0.0,167.0,167.0,I,PERIODIC,-99.0,-6.0,16.0,5Me29
"
2022.08.29_19.17.32",7.07313,43.616793,63.0,5G,5G,-97.0,-3.0,20.0,10,-,0.0,0.0,166.0,166.0,I,,-99.0,-6.0,16.0,5Me29
"
2022.08.29_19.17.32",7.07313,43.616793,63.0,5G,5G,-97.0,-3.0,20.0,10,-,0.0,0.0,166.0,166.0,I,PERIODIC,-99.0,-6.0,16.0,5Me29
"
2022.08.29_19.17.33",7.07313,43.616793,63.0,5G,5G,-97.0,-3.0,20.0,13,-,30.0,42.0,166.0,166.0,D,PERIODIC,-99.0,-6.0,16.0,5Me29
"
2022.08.29_19.17.34",7.0732539999999995,43.61673,63.0,5G,5G,-97.0,-3.0,20.0,13,-,30.0,42.0,165.0,165.0,D,,-99.0,-6.0,16.0,5Me29
"
2022.08.29_19.17.34",7.0732539999999995,43.61673,63.0,5G,5G,-97.0,-3.0,20.0,13,-,0.0,0.0,165.0,165.0,D,PERIODIC,-99.0,-6.0,16.0,5Me29
"
2022.08.29_19.17.35",7.0732539999999995,43.61673,63.0,5G,5G,-97.0,-3.0,20.0,6,-,0.0,0.0,165.0,165.0,I,PERIODIC,-99.0,-7.0,8.0,5Me29
"
2022.08.29_19.17.36",7.0733880000000005,43.616659999999996,63.0,5G,5G,-102.0,-3.0,13.0,6,-,0.0,0.0,163.0,163.0,I,,-99.0,-7.0,8.0,5Me29
"
2022.08.29_19.17.36",7.0733880000000005,43.616659999999996,63.0,5G,5G,-102.0,-3.0,13.0,6,-,0.0,0.0,163.0,163.0,I,PERIODIC,-99.0,-7.0,8.0,5Me29
"
2022.08.29_19.17.37",7.0733880000000005,43.616659999999996,63.0,5G,5G,-102.0,-3.0,13.0,10,-,0.0,0.0,163.0,163.0,I,PERIODIC,-101.0,-6.0,8.0,5Me29
"
2022.08.29_19.17.38",7.0735399999999995,43.616586,63.0,5G,5G,-102.0,-3.0,13.0,10,-,0.0,0.0,162.0,162.0,I,,-101.0,-6.0,8.0,5Me29
"
2022.08.29_19.17.38",7.0735399999999995,43.616586,63.0,5G,5G,-101.0,-3.0,14.0,10,-,0.0,0.0,162.0,162.0,I,PERIODIC,-101.0,-6.0,8.0,5Me29
"
2022.08.29_19.17.39",7.0735399999999995,43.616586,63.0,5G,5G,-103.0,-3.0,15.0,9,-,0.0,0.0,162.0,162.0,I,PERIODIC,-97.0,-7.0,14.0,5Me29
"
2022.08.29_19.17.40",7.073701,43.616509,63.0,5G,5G,-103.0,-3.0,15.0,9,-,0.0,0.0,161.0,161.0,I,,-97.0,-7.0,14.0,5Me29
"
2022.08.29_19.17.40",7.073701,43.616509,63.0,5G,5G,-105.0,-3.0,14.0,9,-,0.0,0.0,161.0,161.0,I,PERIODIC,-97.0,-7.0,14.0,5Me29
"
2022.08.29_19.17.41",7.073701,43.616509,63.0,5G,5G,-105.0,-3.0,14.0,6,-,0.0,0.0,161.0,161.0,I,PERIODIC,-102.0,-7.0,9.0,5Me29
"
2022.08.29_19.17.42",7.073867,43.616424,63.0,5G,5G,-106.0,-3.0,12.0,6,-,0.0,0.0,161.0,161.0,I,,-102.0,-7.0,9.0,5Me29
"
2022.08.29_19.17.42",7.073867,43.616424,63.0,5G,5G,-106.0,-3.0,12.0,6,-,0.0,0.0,161.0,161.0,I,PERIODIC,-102.0,-7.0,9.0,5Me29
"
2022.08.29_19.17.43",7.073867,43.616424,63.0,5G,5G,-106.0,-3.0,12.0,8,-,0.0,0.0,161.0,161.0,I,PERIODIC,-104.0,-7.0,9.0,5Me29
"
2022.08.29_19.17.44",7.074032000000001,43.616322,63.0,5G,5G,-106.0,-3.0,12.0,8,-,0.0,0.0,159.0,159.0,D,,-104.0,-7.0,9.0,5Me29
"
2022.08.29_19.17.44",7.074032000000001,43.616322,63.0,5G,5G,-106.0,-3.0,12.0,8,-,0.0,0.0,159.0,159.0,D,PERIODIC,-104.0,-7.0,9.0,5Me29
"
2022.08.29_19.17.45",7.074032000000001,43.616322,63.0,5G,5G,-108.0,-3.0,9.0,12,-,0.0,0.0,159.0,159.0,I,PERIODIC,-104.0,-8.0,5.0,5Me29
"
2022.08.29_19.17.46",7.074172999999999,43.616223,63.0,5G,5G,-109.0,-3.0,8.0,12,-,0.0,0.0,159.0,159.0,D,,-104.0,-8.0,5.0,5Me29
"
2022.08.29_19.17.46",7.074172999999999,43.616223,63.0,5G,5G,-109.0,-3.0,8.0,12,-,538.0,75.0,159.0,159.0,D,PERIODIC,-104.0,-8.0,5.0,5Me29
"
2022.08.29_19.17.47",7.074172999999999,43.616223,63.0,5G,5G,-109.0,-3.0,8.0,9,-,87.0,13.0,159.0,159.0,D,PERIODIC,-107.0,-7.0,5.0,5Me29
"
2022.08.29_19.17.48",7.074272000000001,43.616115,63.0,5G,5G,-109.0,-3.0,8.0,9,-,87.0,13.0,157.0,157.0,D,,-107.0,-7.0,5.0,5Me29
"
2022.08.29_19.17.48",7.074272000000001,43.616115,63.0,5G,5G,-109.0,-3.0,8.0,9,-,0.0,0.0,157.0,157.0,I,PERIODIC,-107.0,-7.0,5.0,5Me29
"
2022.08.29_19.17.49",7.074272000000001,43.616115,63.0,5G,5G,-107.0,-3.0,10.0,8,-,0.0,0.0,157.0,157.0,I,PERIODIC,-107.0,-7.0,7.0,5Me29
"
2022.08.29_19.17.50",7.07435,43.615981,63.0,5G,5G,-107.0,-3.0,10.0,8,-,0.0,0.0,157.0,157.0,I,,-107.0,-7.0,7.0,5Me29
"
2022.08.29_19.17.50",7.07435,43.615981,63.0,5G,5G,-107.0,-3.0,10.0,8,-,0.0,0.0,157.0,157.0,I,PERIODIC,-107.0,-7.0,7.0,5Me29
"
2022.08.29_19.17.51",7.07435,43.615981,63.0,5G,5G,-107.0,-3.0,10.0,6,-,0.0,0.0,157.0,157.0,I,HANDOVER_DATA_5G5G,-102.0,-8.0,-5.0,5Me29
