Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.10_15.51.46",7.091375,43.602266,71,5G,5G,-119,-6,5.0,9,-,1,1,136,136,D,LOG START,-101,-16,-1.0,5Mi
"
2022.09.10_15.51.47",7.091375,43.602266,71,5G,5G,-119,-6,5.0,9,-,65,12,136,136,D,PERIODIC,-101,-16,-1.0,5Mi
"
2022.09.10_15.51.48",7.091375,43.602266,71,5G,5G,-115,-4,8.0,8,-,0,0,136,136,D,PERIODIC,-104,-15,-2.0,5Mi
"
2022.09.10_15.51.48",7.091457,43.602239,71,5G,5G,-115,-4,8.0,8,-,0,0,136,136,D,,-104,-15,-2.0,5Mi
"
2022.09.10_15.51.49",7.091457,43.602239,71,5G,5G,-116,-4,7.0,8,-,0,0,136,136,I,PERIODIC,-104,-15,-2.0,5Mi
"
2022.09.10_15.51.50",7.091457,43.602239,71,5G,5G,-116,-4,7.0,5,-,0,0,136,136,I,PERIODIC,-105,-16,-4.0,5Mi
"
2022.09.10_15.51.51",7.091457,43.602239,71,5G,5G,-119,-6,5.0,5,-,0,0,136,136,I,PERIODIC,-105,-16,-4.0,5Mi
"
2022.09.10_15.51.52",7.091457,43.602239,71,5G,5G,-119,-6,5.0,9,-,0,0,136,136,I,PERIODIC,-104,-16,5.0,5Mi
"
2022.09.10_15.51.53",7.091457,43.602239,71,5G,5G,-119,-6,5.0,9,-,0,0,136,136,I,PERIODIC,-104,-16,5.0,5Mi
"
2022.09.10_15.51.54",7.091457,43.602239,71,5G,5G,-119,-6,5.0,7,-,0,0,136,136,I,PERIODIC,-105,-17,-1.0,5Mi
"
2022.09.10_15.51.54",7.091617,43.602171,71,5G,5G,-119,-6,5.0,7,-,0,0,136,136,I,,-105,-17,-1.0,5Mi
"
2022.09.10_15.51.55",7.091617,43.602171,71,5G,5G,-116,-3,9.0,7,-,0,0,136,136,I,PERIODIC,-105,-17,-1.0,5Mi
"
2022.09.10_15.51.55",7.092368,43.601959,71,5G,5G,-116,-3,9.0,7,-,0,0,136,136,I,,-105,-17,-1.0,5Mi
"
2022.09.10_15.51.56",7.092368,43.601959,71,5G,5G,-119,-6,5.0,7,-,0,0,136,136,I,PERIODIC,-104,-17,-3.0,5Mi
"
2022.09.10_15.51.56",7.092503,43.60185,71,5G,5G,-119,-6,5.0,7,-,0,0,136,136,I,,-104,-17,-3.0,5Mi
"
2022.09.10_15.51.57",7.092503,43.60185,71,5G,5G,-119,-6,5.0,7,-,0,0,136,136,I,PERIODIC,-104,-17,-3.0,5Mi
"
2022.09.10_15.51.57",7.092571,43.601759,71,4G,LTE,-104,-17,-3.0,7,-107,0,0,136,136,I,,-104,-17,-3.0,5Mi
"
2022.09.10_15.51.58",7.092571,43.601759,71,4G,LTE,-106,-17,-3.0,7,-107,0,0,136,136,I,PERIODIC,,,,5Mi
"
2022.09.10_15.51.58",7.092571,43.601759,71,4G,LTE,-106,-17,-3.0,7,-107,0,0,136,136,I,,,,,5Mi
"
2022.09.10_15.51.59",7.092571,43.601759,71,4G,LTE,-106,-17,-3.0,7,-107,32,68,136,136,D,PERIODIC,,,,5Mi
"
2022.09.10_15.52.00",7.092571,43.601759,71,5G,5G,-118,-5,6.0,8,-,131,88,136,136,D,PERIODIC,-104,-15,0.0,5Mi
"
2022.09.10_15.52.00",7.092571,43.601759,71,5G,5G,-118,-5,6.0,8,-,131,88,136,136,D,,-104,-15,0.0,5Mi
"
2022.09.10_15.52.01",7.092571,43.601759,71,5G,5G,-119,-5,5.0,8,-,90,12,136,136,D,PERIODIC,-104,-15,-2.0,5Mi
"
2022.09.10_15.52.01",7.092696,43.601775,71,5G,5G,-119,-5,5.0,8,-,90,12,140,140,D,,-104,-15,-2.0,5Mi
