Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.15_13.15.03",7.224405,43.671369,71.0,5G,5G,-106.0,-3.0,7.0,7.0,-,0.0,0.0,56.0,56.0,I,LOG START,-93.0,-13.0,6.0,5Mnsq15
"
2022.09.15_13.15.03",7.224405,43.671369,71.0,5G,5G,-106.0,-3.0,7.0,7.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-93.0,-13.0,6.0,5Mnsq15
"
2022.09.15_13.15.03",7.224246000000001,43.67132,71.0,5G,5G,-106.0,-3.0,7.0,7.0,-,0.0,0.0,56.0,56.0,I,,-93.0,-13.0,6.0,5Mnsq15
"
2022.09.15_13.15.04",7.224246000000001,43.67132,71.0,5G,5G,-106.0,-3.0,7.0,9.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-93.0,-13.0,9.0,5Mnsq15
"
2022.09.15_13.15.04",7.224116,43.671243,71.0,5G,5G,-106.0,-3.0,7.0,9.0,-,0.0,0.0,78.0,78.0,I,,-93.0,-13.0,9.0,5Mnsq15
"
2022.09.15_13.15.05",7.224116,43.671243,71.0,5G,5G,-101.0,-3.0,11.0,9.0,-,0.0,0.0,78.0,78.0,I,PERIODIC,-93.0,-13.0,9.0,5Mnsq15
"
2022.09.15_13.15.06",7.224028,43.671178000000005,71.0,5G,5G,-101.0,-3.0,11.0,9.0,-,0.0,0.0,80.0,80.0,I,,-93.0,-13.0,9.0,5Mnsq15
"
2022.09.15_13.15.06",7.224028,43.671178000000005,71.0,5G,5G,-101.0,-3.0,11.0,9.0,-,0.0,0.0,80.0,80.0,I,PERIODIC,-93.0,-13.0,9.0,5Mnsq15
"
2022.09.15_13.15.07",7.224028,43.671178000000005,71.0,5G,5G,-101.0,-3.0,14.0,11.0,-,2.0,2.0,80.0,80.0,D,PERIODIC,-90.0,-14.0,9.0,5Mnsq15
"
2022.09.15_13.15.07",7.223926,43.671079999999996,71.0,5G,5G,-101.0,-3.0,14.0,11.0,-,2.0,2.0,58.0,58.0,D,,-90.0,-14.0,9.0,5Mnsq15
"
2022.09.15_13.15.08",7.223926,43.671079999999996,71.0,5G,5G,-101.0,-3.0,13.0,11.0,-,0.0,0.0,58.0,58.0,D,PERIODIC,-90.0,-14.0,9.0,5Mnsq15
"
2022.09.15_13.15.09",7.223836,43.671009000000005,71.0,5G,5G,-101.0,-3.0,13.0,11.0,-,0.0,0.0,56.0,56.0,I,,-90.0,-14.0,9.0,5Mnsq15
"
2022.09.15_13.15.09",7.223836,43.671009000000005,71.0,5G,5G,-101.0,-3.0,13.0,11.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-90.0,-14.0,9.0,5Mnsq15
"
2022.09.15_13.15.10",7.2236970000000005,43.670907,71.0,5G,5G,-101.0,-3.0,13.0,10.0,-,0.0,0.0,56.0,56.0,I,,-90.0,-14.0,9.0,5Mnsq15
"
2022.09.15_13.15.10",7.2236970000000005,43.670907,71.0,5G,5G,-101.0,-3.0,13.0,10.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-90.0,-14.0,7.0,5Mnsq15
"
2022.09.15_13.15.11",7.2236020000000005,43.670837,71.0,5G,5G,-92.0,-3.0,16.0,6.0,-,0.0,0.0,56.0,56.0,I,,-90.0,-14.0,7.0,5Mnsq15
"
2022.09.15_13.15.11",7.2236020000000005,43.670837,71.0,5G,5G,-92.0,-3.0,16.0,6.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-89.0,-13.0,6.0,5Mnsq15
"
2022.09.15_13.15.12",7.223505,43.670766,71.0,5G,5G,-92.0,-3.0,16.0,6.0,-,0.0,6.0,56.0,56.0,D,,-89.0,-13.0,6.0,5Mnsq15
"
2022.09.15_13.15.12",7.223505,43.670766,71.0,5G,5G,-92.0,-3.0,16.0,6.0,-,0.0,6.0,56.0,56.0,D,PERIODIC,-89.0,-13.0,6.0,5Mnsq15
"
2022.09.15_13.15.13",7.223406,43.670699,71.0,5G,5G,-92.0,-3.0,16.0,6.0,-,5.0,0.0,56.0,56.0,D,,-89.0,-13.0,6.0,5Mnsq15
"
2022.09.15_13.15.13",7.223406,43.670699,71.0,5G,5G,-92.0,-3.0,16.0,9.0,-,5.0,0.0,56.0,56.0,D,PERIODIC,-89.0,-11.0,11.0,5Mnsq15
"
2022.09.15_13.15.14",7.223305,43.670627,71.0,5G,5G,-92.0,-3.0,16.0,9.0,-,0.0,0.0,56.0,56.0,I,,-89.0,-11.0,11.0,5Mnsq15
"
2022.09.15_13.15.14",7.223305,43.670627,71.0,5G,5G,-92.0,-3.0,16.0,9.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-89.0,-11.0,11.0,5Mnsq15
"
2022.09.15_13.15.15",7.223202000000001,43.670556,71.0,5G,5G,-104.0,-3.0,5.0,9.0,-,0.0,0.0,56.0,56.0,I,,-89.0,-11.0,11.0,5Mnsq15
"
2022.09.15_13.15.15",7.223202000000001,43.670556,71.0,5G,5G,-104.0,-3.0,5.0,11.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-87.0,-10.0,21.0,5Mnsq15
"
2022.09.15_13.15.16",7.223097999999999,43.670489,71.0,5G,5G,-104.0,-3.0,5.0,11.0,-,0.0,0.0,56.0,56.0,I,,-87.0,-10.0,21.0,5Mnsq15
"
2022.09.15_13.15.16",7.223097999999999,43.670489,71.0,5G,5G,-104.0,-3.0,5.0,11.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-87.0,-10.0,21.0,5Mnsq15
"
2022.09.15_13.15.17",7.223,43.670421999999995,71.0,5G,5G,-100.0,-3.0,2.0,11.0,-,0.0,0.0,55.0,55.0,I,,-87.0,-10.0,21.0,5Mnsq15
"
2022.09.15_13.15.17",7.223,43.670421999999995,71.0,5G,5G,-100.0,-3.0,2.0,5.0,-,0.0,0.0,55.0,55.0,I,PERIODIC,-82.0,-11.0,21.0,5Mnsq15
"
2022.09.15_13.15.18",7.222906,43.670359999999995,71.0,5G,5G,-99.0,-7.0,-3.0,5.0,-,0.0,0.0,55.0,55.0,I,,-82.0,-11.0,21.0,5Mnsq15
"
2022.09.15_13.15.18",7.222906,43.670359999999995,71.0,5G,5G,-99.0,-7.0,-3.0,5.0,-,0.0,0.0,55.0,55.0,I,PERIODIC,-82.0,-11.0,21.0,5Mnsq15
