Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.10_15.59.49",7.118927,43.587888,5G,5G,-107.0,-3.0,10.0,10,-,0.0,0.0,82.0,82.0,I,LOG START,-105.0,-15.0,-5.0,5Mr
"
2022.09.10_15.59.50",7.118927,43.587848,5G,5G,-107.0,-3.0,10.0,10,-,0.0,0.0,73.0,73.0,I,,-105.0,-15.0,-5.0,5Mr
"
2022.09.10_15.59.50",7.118927,43.587848,5G,5G,-107.0,-3.0,10.0,10,-,0.0,0.0,73.0,73.0,I,PERIODIC,-105.0,-15.0,-5.0,5Mr
"
2022.09.10_15.59.51",7.118927,43.587848,5G,5G,-107.0,-3.0,10.0,9,-,0.0,0.0,73.0,73.0,I,PERIODIC,-103.0,-15.0,-6.0,5Mr
"
2022.09.10_15.59.52",7.118927,43.587848,5G,5G,-107.0,-3.0,10.0,9,-,0.0,0.0,73.0,73.0,I,PERIODIC,-103.0,-15.0,-6.0,5Mr
"
2022.09.10_15.59.53",7.118927,43.587848,5G,5G,-109.0,-4.0,10.0,8,-,0.0,0.0,73.0,73.0,D,PERIODIC,-102.0,-12.0,2.0,5Mr
"
2022.09.10_15.59.54",7.118927,43.587848,5G,5G,-109.0,-4.0,10.0,8,-,0.0,0.0,73.0,73.0,I,PERIODIC,-102.0,-12.0,2.0,5Mr
"
2022.09.10_15.59.55",7.118927,43.587848,5G,5G,-109.0,-4.0,10.0,8,-,0.0,0.0,73.0,73.0,I,PERIODIC,-102.0,-12.0,1.0,5Mr
"
2022.09.10_15.59.56",7.118927,43.587848,5G,5G,-109.0,-4.0,10.0,8,-,0.0,0.0,73.0,73.0,I,PERIODIC,-102.0,-12.0,1.0,5Mr
"
2022.09.10_15.59.57",7.118927,43.587848,5G,5G,-103.0,-3.0,15.0,12,-,0.0,0.0,73.0,73.0,I,PERIODIC,-101.0,-11.0,1.0,5Mr
"
2022.09.10_15.59.58",7.118927,43.587848,5G,5G,-103.0,-4.0,12.0,12,-,0.0,0.0,73.0,73.0,I,PERIODIC,-101.0,-11.0,1.0,5Mr
