Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.09_16.07.47",7.118938000000001,43.586197,63.0,5G,5G,-86.0,-3.0,19.0,13,-,0.0,0.0,65.0,65.0,I,LOG START,-84.0,-11.0,1.0,5Mr9s
"
2022.09.09_16.07.47",7.118938000000001,43.586197,63.0,5G,5G,-86.0,-3.0,19.0,12,-,0.0,0.0,65.0,65.0,I,PERIODIC,-87.0,-11.0,-1.0,5Mr9s
"
2022.09.09_16.07.47",7.118954,43.586151,63.0,5G,5G,-86.0,-3.0,19.0,12,-,0.0,0.0,67.0,67.0,I,,-87.0,-11.0,-1.0,5Mr9s
"
2022.09.09_16.07.48",7.118954,43.586151,63.0,5G,5G,-83.0,-3.0,18.0,12,-,4.0,4.0,67.0,67.0,D,PERIODIC,-87.0,-11.0,-1.0,5Mr9s
"
2022.09.09_16.07.49",7.118954,43.586151,63.0,5G,5G,-83.0,-3.0,18.0,12,-,0.0,0.0,67.0,67.0,I,PERIODIC,-87.0,-11.0,3.0,5Mr9s
"
2022.09.09_16.07.50",7.118954,43.586151,63.0,5G,5G,-83.0,-3.0,18.0,12,-,0.0,0.0,67.0,67.0,I,PERIODIC,-87.0,-11.0,3.0,5Mr9s
"
2022.09.09_16.07.51",7.118954,43.586151,63.0,5G,5G,-81.0,-3.0,18.0,13,-,0.0,0.0,67.0,67.0,I,PERIODIC,-88.0,-11.0,-1.0,5Mr9s
"
2022.09.09_16.07.52",7.118954,43.586151,63.0,5G,5G,-81.0,-3.0,18.0,13,-,0.0,0.0,67.0,67.0,I,PERIODIC,-88.0,-11.0,-1.0,5Mr9s
"
2022.09.09_16.07.53",7.118954,43.586151,63.0,4G,LTE,-78.0,-15.0,2.0,-,-83,0.0,0.0,67.0,67.0,I,PERIODIC,,,,5Mr9s
"
2022.09.09_16.07.53",7.118954,43.586151,63.0,4G,LTE,-78.0,-15.0,2.0,-,-83,0.0,0.0,67.0,67.0,I,,,,,5Mr9s
"
2022.09.09_16.07.54",7.118954,43.586151,63.0,4G,LTE,-78.0,-15.0,2.0,-,-79,0.0,0.0,67.0,67.0,I,PERIODIC,,,,5Mr9s
"
2022.09.09_16.07.55",7.118954,43.586151,63.0,4G,LTE,-78.0,-15.0,0.0,-,-79,0.0,0.0,67.0,67.0,I,PERIODIC,,,,5Mr9s
"
2022.09.09_16.07.56",7.118954,43.586151,63.0,4G,LTE,-78.0,-15.0,0.0,-,-79,0.0,0.0,67.0,67.0,I,PERIODIC,,,,5Mr9s
"
2022.09.09_16.07.57",7.118954,43.586151,63.0,4G,LTE,-78.0,-9.0,10.0,-,-79,25.0,6.0,67.0,67.0,D,PERIODIC,,,,5Mr9s
"
2022.09.09_16.07.58",7.118954,43.586151,63.0,4G,LTE,-78.0,-9.0,10.0,-,-79,361.0,54.0,67.0,67.0,D,PERIODIC,,,,5Mr9s
"
2022.09.09_16.07.59",7.118954,43.586151,63.0,4G,LTE,-81.0,-8.0,8.0,14,-79,0.0,0.0,67.0,67.0,I,PERIODIC,,,,5Mr9s
"
2022.09.09_16.08.00",7.118954,43.586151,63.0,4G,LTE,-81.0,-8.0,8.0,14,-79,0.0,0.0,67.0,67.0,I,PERIODIC,,,,5Mr9s
"
2022.09.09_16.08.01",7.118954,43.586151,63.0,4G,LTE,-78.0,-8.0,9.0,14,-79,0.0,0.0,67.0,67.0,I,PERIODIC,,,,5Mr9s
"
2022.09.09_16.08.02",7.118954,43.586151,63.0,5G,5G,-86.0,-3.0,19.0,14,-,0.0,0.0,67.0,67.0,I,PERIODIC,-78.0,-8.0,9.0,5Mr9s
"
2022.09.09_16.08.02",7.118954,43.586151,63.0,5G,5G,-86.0,-3.0,19.0,14,-,0.0,0.0,67.0,67.0,I,,-78.0,-8.0,9.0,5Mr9s
"
2022.09.09_16.08.03",7.118954,43.586151,63.0,5G,5G,-86.0,-3.0,19.0,14,-,9.0,11.0,67.0,67.0,D,PERIODIC,-82.0,-10.0,3.0,5Mr9s
"
2022.09.09_16.08.04",7.118954,43.586151,63.0,5G,5G,-88.0,-3.0,19.0,14,-,0.0,0.0,67.0,67.0,I,PERIODIC,-82.0,-10.0,3.0,5Mr9s
"
2022.09.09_16.08.05",7.118954,43.586151,63.0,5G,5G,-88.0,-3.0,19.0,14,-,0.0,0.0,67.0,67.0,I,PERIODIC,-84.0,-11.0,1.0,5Mr9s
"
2022.09.09_16.08.06",7.118954,43.586151,63.0,5G,5G,-88.0,-3.0,19.0,14,-,0.0,0.0,67.0,67.0,I,PERIODIC,-84.0,-11.0,1.0,5Mr9s
"
2022.09.09_16.08.07",7.118954,43.586151,63.0,5G,5G,-88.0,-3.0,19.0,11,-,0.0,0.0,67.0,67.0,I,PERIODIC,-85.0,-9.0,5.0,5Mr9s
"
2022.09.09_16.08.08",7.118954,43.586151,63.0,5G,5G,-84.0,-3.0,20.0,11,-,0.0,0.0,67.0,67.0,D,PERIODIC,-85.0,-9.0,5.0,5Mr9s
"
2022.09.09_16.08.09",7.118954,43.586151,63.0,5G,5G,-84.0,-3.0,20.0,11,-,0.0,0.0,67.0,67.0,I,PERIODIC,-83.0,-14.0,2.0,5Mr9s
"
2022.09.09_16.08.10",7.118954,43.586151,63.0,5G,5G,-84.0,-3.0,20.0,11,-,0.0,3.0,67.0,67.0,D,PERIODIC,-83.0,-14.0,2.0,5Mr9s
"
2022.09.09_16.08.11",7.118954,43.586151,63.0,5G,5G,-79.0,-3.0,21.0,14,-,0.0,1.0,67.0,67.0,D,PERIODIC,-84.0,-10.0,7.0,5Mr9s
"
2022.09.09_16.08.12",7.118954,43.586151,63.0,5G,5G,-82.0,-3.0,20.0,14,-,0.0,0.0,67.0,67.0,D,PERIODIC,-84.0,-10.0,7.0,5Mr9s
"
2022.09.09_16.08.13",7.118954,43.586151,63.0,5G,5G,-82.0,-3.0,20.0,15,-,0.0,0.0,67.0,67.0,I,PERIODIC,-84.0,-15.0,14.0,5Mr9s
"
2022.09.09_16.08.14",7.118954,43.586151,63.0,5G,5G,-82.0,-3.0,20.0,15,-,0.0,0.0,67.0,67.0,D,PERIODIC,-84.0,-15.0,14.0,5Mr9s
"
2022.09.09_16.08.15",7.118954,43.586151,63.0,5G,5G,-82.0,-3.0,20.0,11,-,0.0,0.0,67.0,67.0,I,PERIODIC,-80.0,-10.0,6.0,5Mr9s
"
2022.09.09_16.08.16",7.118954,43.586151,63.0,5G,5G,-82.0,-3.0,20.0,11,-,21.0,37.0,67.0,67.0,D,PERIODIC,-80.0,-10.0,6.0,5Mr9s
"
2022.09.09_16.08.17",7.118954,43.586151,63.0,5G,5G,-82.0,-3.0,20.0,10,-,0.0,0.0,67.0,67.0,I,PERIODIC,-80.0,-10.0,7.0,5Mr9s
"
2022.09.09_16.08.18",7.118954,43.586151,63.0,5G,5G,-82.0,-3.0,20.0,10,-,35.0,51.0,67.0,67.0,D,PERIODIC,-80.0,-10.0,7.0,5Mr9s
"
2022.09.09_16.08.19",7.118954,43.586151,63.0,5G,5G,-82.0,-3.0,20.0,12,-,23.0,1.0,67.0,67.0,D,PERIODIC,-81.0,-9.0,8.0,5Mr9s
"
2022.09.09_16.08.20",7.118954,43.586151,63.0,5G,5G,-82.0,-3.0,20.0,12,-,0.0,0.0,67.0,67.0,I,PERIODIC,-81.0,-9.0,8.0,5Mr9s
"
2022.09.09_16.08.21",7.118954,43.586151,63.0,5G,5G,-81.0,-3.0,19.0,12,-,0.0,0.0,67.0,67.0,I,PERIODIC,-81.0,-9.0,8.0,5Mr9s
"
2022.09.09_16.08.22",7.118954,43.586151,63.0,5G,5G,-80.0,-3.0,21.0,12,-,178.0,47.0,67.0,67.0,D,PERIODIC,-81.0,-9.0,8.0,5Mr9s
"
2022.09.09_16.08.23",7.118954,43.586151,63.0,5G,5G,-82.0,-3.0,19.0,14,-,20.0,7.0,67.0,67.0,D,PERIODIC,-81.0,-11.0,7.0,5Mr9s
"
2022.09.09_16.08.24",7.118954,43.586151,63.0,5G,5G,-82.0,-3.0,18.0,14,-,0.0,0.0,67.0,67.0,I,PERIODIC,-81.0,-11.0,7.0,5Mr9s
"
2022.09.09_16.08.25",7.118954,43.586151,63.0,5G,5G,-82.0,-3.0,20.0,14,-,0.0,0.0,67.0,67.0,I,PERIODIC,-81.0,-11.0,7.0,5Mr9s
"
2022.09.09_16.08.26",7.118954,43.586151,63.0,5G,5G,-82.0,-3.0,20.0,14,-,0.0,0.0,67.0,67.0,I,PERIODIC,-82.0,-11.0,1.0,5Mr9s
"
2022.09.09_16.08.27",7.118958999999999,43.586040999999994,63.0,5G,5G,-82.0,-3.0,20.0,14,-,0.0,0.0,65.0,65.0,I,,-82.0,-11.0,1.0,5Mr9s
"
2022.09.09_16.08.27",7.118958999999999,43.586040999999994,63.0,5G,5G,-82.0,-3.0,20.0,14,-,0.0,1.0,65.0,65.0,D,PERIODIC,-82.0,-11.0,1.0,5Mr9s
"
2022.09.09_16.08.28",7.118958999999999,43.586040999999994,63.0,5G,5G,-82.0,-3.0,20.0,11,-,9.0,2.0,65.0,65.0,D,PERIODIC,-81.0,-14.0,5.0,5Mr9s
"
2022.09.09_16.08.29",7.118958999999999,43.586040999999994,63.0,5G,5G,-82.0,-3.0,20.0,11,-,0.0,0.0,65.0,65.0,I,PERIODIC,-81.0,-14.0,5.0,5Mr9s
"
2022.09.09_16.08.30",7.118937,43.585947999999995,63.0,5G,5G,-82.0,-3.0,20.0,11,-,0.0,0.0,65.0,65.0,I,,-81.0,-14.0,5.0,5Mr9s
"
2022.09.09_16.08.30",7.118937,43.585947999999995,63.0,5G,5G,-82.0,-3.0,20.0,14,-,0.0,0.0,65.0,65.0,I,PERIODIC,-81.0,-17.0,-2.0,5Mr9s
"
2022.09.09_16.08.31",7.118937,43.585947999999995,63.0,5G,5G,-87.0,-3.0,20.0,14,-,0.0,0.0,65.0,65.0,I,PERIODIC,-81.0,-17.0,-2.0,5Mr9s
"
2022.09.09_16.08.32",7.118937,43.585947999999995,63.0,5G,5G,-87.0,-3.0,20.0,14,-,0.0,0.0,65.0,65.0,I,PERIODIC,-84.0,-15.0,6.0,5Mr9s
