Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.10_15.39.34",7.057675,43.617872999999996,4G,LTE,-117.0,-13.0,1.0,9,-59,14.0,12.0,186.0,186.0,D,LOG START,,,,5My10
"
2022.09.10_15.39.34",7.057794,43.617835,4G,LTE,-117.0,-13.0,1.0,9,-59,14.0,12.0,188.0,188.0,D,,,,,5My10
"
2022.09.10_15.39.34",7.057794,43.617835,4G,LTE,-95.0,-12.0,0.0,8,-113,0.0,0.0,188.0,188.0,D,HANDOVER_DATA_4G4G,,,,5My10
"
2022.09.10_15.39.35",7.057794,43.617835,4G,LTE,-94.0,-11.0,2.0,10,-97,0.0,0.0,188.0,188.0,I,PERIODIC,,,,5My10
"
2022.09.10_15.39.36",7.057994,43.617756,4G,LTE,-94.0,-11.0,2.0,10,-97,0.0,0.0,188.0,188.0,I,,,,,5My10
"
2022.09.10_15.39.36",7.057994,43.617756,4G,LTE,-94.0,-11.0,2.0,10,-97,0.0,0.0,188.0,188.0,I,PERIODIC,,,,5My10
"
2022.09.10_15.39.37",7.058102000000001,43.617705,4G,LTE,-94.0,-11.0,2.0,10,-97,0.0,0.0,186.0,186.0,I,,,,,5My10
"
2022.09.10_15.39.37",7.058102000000001,43.617705,5G,5G,-121.0,-8.0,0.0,9,-,0.0,0.0,186.0,186.0,I,PERIODIC,-98.0,-15.0,-3.0,5My10
"
2022.09.10_15.39.37",7.058102000000001,43.617705,5G,5G,-121.0,-8.0,0.0,9,-,0.0,0.0,186.0,186.0,I,,-98.0,-15.0,-3.0,5My10
"
2022.09.10_15.39.38",7.058217,43.617662,5G,5G,-121.0,-8.0,0.0,9,-,0.0,0.0,186.0,186.0,I,,-98.0,-15.0,-3.0,5My10
"
2022.09.10_15.39.38",7.058217,43.617662,5G,5G,-119.0,-8.0,-1.0,9,-,0.0,0.0,186.0,186.0,I,PERIODIC,-98.0,-15.0,-3.0,5My10
"
2022.09.10_15.39.39",7.058217,43.617662,5G,5G,-119.0,-8.0,-1.0,4,-,0.0,0.0,186.0,186.0,I,PERIODIC,-96.0,-15.0,2.0,5My10
"
2022.09.10_15.39.40",7.0584240000000005,43.617584,5G,5G,-119.0,-8.0,-1.0,4,-,0.0,0.0,185.0,185.0,I,,-96.0,-15.0,2.0,5My10
"
2022.09.10_15.39.40",7.0584240000000005,43.617584,5G,5G,-119.0,-8.0,-1.0,4,-,0.0,0.0,185.0,185.0,I,PERIODIC,-96.0,-15.0,2.0,5My10
"
2022.09.10_15.39.41",7.05855,43.617539,5G,5G,-119.0,-8.0,-1.0,4,-,0.0,0.0,185.0,185.0,I,,-96.0,-15.0,2.0,5My10
"
2022.09.10_15.39.41",7.05855,43.617539,5G,5G,-119.0,-8.0,-1.0,10,-,0.0,0.0,185.0,185.0,I,PERIODIC,-95.0,-13.0,1.0,5My10
"
2022.09.10_15.39.42",7.058677,43.617498,5G,5G,-119.0,-8.0,-1.0,10,-,0.0,0.0,185.0,185.0,I,,-95.0,-13.0,1.0,5My10
"
2022.09.10_15.39.42",7.058677,43.617498,5G,5G,-123.0,-10.0,-1.0,10,-,0.0,0.0,185.0,185.0,I,PERIODIC,-95.0,-13.0,1.0,5My10
"
2022.09.10_15.39.43",7.0587979999999995,43.617459999999994,5G,5G,-123.0,-10.0,-1.0,10,-,0.0,0.0,185.0,185.0,I,,-95.0,-13.0,1.0,5My10
"
2022.09.10_15.39.43",7.0587979999999995,43.617459999999994,5G,5G,-123.0,-10.0,-1.0,8,-,0.0,0.0,185.0,185.0,I,PERIODIC,-90.0,-13.0,-1.0,5My10
"
2022.09.10_15.39.44",7.0587979999999995,43.617459999999994,5G,5G,-123.0,-10.0,-1.0,8,-,0.0,0.0,185.0,185.0,I,PERIODIC,-90.0,-13.0,-1.0,5My10
"
2022.09.10_15.39.44",7.059019999999999,43.61739,5G,5G,-123.0,-10.0,-1.0,8,-,0.0,0.0,186.0,186.0,I,,-90.0,-13.0,-1.0,5My10
"
2022.09.10_15.39.45",7.059019999999999,43.61739,5G,5G,-125.0,-11.0,-2.0,8,-,0.0,0.0,186.0,186.0,I,PERIODIC,-90.0,-13.0,-1.0,5My10
