Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.26_15.37.11",7.118596000000001,43.58842,61.0,4G,LTE,-109.0,-15.0,-3.0,7,-111,0.0,0.0,71.0,71.0,I,LOG START,,,,5My26
"
2022.08.26_15.37.11",7.118596000000001,43.58842,61.0,4G,LTE,-109.0,-15.0,-3.0,7,-111,0.0,0.0,71.0,71.0,I,PERIODIC,,,,5My26
"
2022.08.26_15.37.12",7.118504,43.588542,61.0,5G,5G,-115.0,-5.0,5.0,7,-,0.0,0.0,71.0,71.0,I,,,,,5My26
"
2022.08.26_15.37.12",7.118504,43.588542,61.0,5G,5G,-115.0,-5.0,5.0,7,-,0.0,0.0,71.0,71.0,I,PERIODIC,-109.0,-15.0,-3.0,5My26
"
2022.08.26_15.37.12",7.118504,43.588542,61.0,5G,5G,-115.0,-5.0,5.0,7,-,0.0,0.0,71.0,71.0,I,,-109.0,-15.0,-3.0,5My26
"
2022.08.26_15.37.13",7.118504,43.588542,61.0,5G,5G,-117.0,-6.0,5.0,5,-,0.0,0.0,71.0,71.0,I,PERIODIC,-111.0,-16.0,-1.0,5My26
"
2022.08.26_15.37.14",7.118417999999999,43.588665999999996,61.0,5G,5G,-117.0,-6.0,4.0,5,-,0.0,0.0,71.0,71.0,I,,-111.0,-16.0,-1.0,5My26
"
2022.08.26_15.37.14",7.118417999999999,43.588665999999996,61.0,5G,5G,-117.0,-6.0,4.0,5,-,0.0,0.0,71.0,71.0,I,PERIODIC,-111.0,-16.0,-1.0,5My26
"
2022.08.26_15.37.15",7.118417999999999,43.588665999999996,61.0,5G,5G,-115.0,-7.0,5.0,7,-,0.0,0.0,71.0,71.0,I,PERIODIC,-105.0,-13.0,2.0,5My26
"
2022.08.26_15.37.16",7.118335000000001,43.588788,61.0,5G,5G,-112.0,-5.0,8.0,7,-,0.0,0.0,72.0,72.0,I,,-105.0,-13.0,2.0,5My26
"
2022.08.26_15.37.16",7.118335000000001,43.588788,61.0,5G,5G,-112.0,-5.0,8.0,7,-,0.0,0.0,72.0,72.0,I,PERIODIC,-105.0,-13.0,2.0,5My26
"
2022.08.26_15.37.17",7.118335000000001,43.588788,61.0,5G,5G,-112.0,-5.0,8.0,7,-,0.0,0.0,72.0,72.0,I,PERIODIC,-109.0,-11.0,-2.0,5My26
"
2022.08.26_15.37.18",7.118253999999999,43.588925,61.0,5G,5G,-119.0,-6.0,3.0,7,-,0.0,0.0,72.0,72.0,I,,-109.0,-11.0,-2.0,5My26
"
2022.08.26_15.37.18",7.118253999999999,43.588925,61.0,5G,5G,-119.0,-6.0,3.0,7,-,0.0,0.0,72.0,72.0,I,PERIODIC,-109.0,-11.0,-2.0,5My26
"
2022.08.26_15.37.19",7.118253999999999,43.588925,61.0,5G,5G,-117.0,-7.0,4.0,11,-,0.0,0.0,72.0,72.0,I,PERIODIC,-105.0,-9.0,3.0,5My26
"
2022.08.26_15.37.20",7.11817,43.589056,61.0,5G,5G,-117.0,-7.0,4.0,11,-,0.0,0.0,73.0,73.0,I,,-105.0,-9.0,3.0,5My26
"
2022.08.26_15.37.20",7.11817,43.589056,61.0,5G,5G,-117.0,-7.0,4.0,11,-,0.0,0.0,73.0,73.0,I,PERIODIC,-105.0,-9.0,3.0,5My26
"
2022.08.26_15.37.21",7.11817,43.589056,61.0,5G,5G,-117.0,-6.0,5.0,-,-,0.0,0.0,73.0,73.0,I,PERIODIC,-93.0,-7.0,8.0,5My26
"
2022.08.26_15.37.22",7.118078999999999,43.589187,61.0,5G,5G,-117.0,-6.0,5.0,-,-,0.0,0.0,73.0,73.0,I,,-93.0,-7.0,8.0,5My26
"
2022.08.26_15.37.22",7.118078999999999,43.589187,61.0,5G,5G,-117.0,-6.0,5.0,-,-,0.0,0.0,73.0,73.0,I,PERIODIC,-93.0,-7.0,8.0,5My26
"
2022.08.26_15.37.23",7.118078999999999,43.589187,61.0,5G,5G,-117.0,-6.0,5.0,-,-,0.0,0.0,73.0,73.0,I,PERIODIC,-93.0,-7.0,6.0,5My26
"
2022.08.26_15.37.24",7.117971000000001,43.589329,61.0,5G,5G,-117.0,-6.0,5.0,-,-,0.0,0.0,73.0,73.0,I,,-93.0,-7.0,6.0,5My26
"
2022.08.26_15.37.24",7.117971000000001,43.589329,61.0,4G,LTE,-93.0,-7.0,6.0,-,-99,0.0,0.0,73.0,73.0,I,PERIODIC,,,,5My26
"
2022.08.26_15.37.24",7.117971000000001,43.589329,61.0,4G,LTE,-93.0,-7.0,6.0,-,-99,0.0,0.0,73.0,73.0,I,,,,,5My26
"
2022.08.26_15.37.25",7.117971000000001,43.589329,61.0,4G,LTE,-99.0,-10.0,10.0,-,-99,0.0,0.0,73.0,73.0,I,PERIODIC,,,,5My26
"
2022.08.26_15.37.26",7.117872,43.589479,61.0,4G,LTE,-99.0,-10.0,10.0,-,-99,0.0,0.0,74.0,74.0,I,,,,,5My26
"
2022.08.26_15.37.26",7.117872,43.589479,61.0,4G,LTE,-99.0,-10.0,10.0,-,-99,0.0,0.0,74.0,74.0,I,PERIODIC,,,,5My26
"
2022.08.26_15.37.27",7.117872,43.589479,61.0,4G,LTE,-99.0,-10.0,6.0,-,-99,0.0,0.0,74.0,74.0,I,PERIODIC,,,,5My26
"
2022.08.26_15.37.28",7.117771,43.589634000000004,61.0,4G,LTE,-99.0,-10.0,6.0,-,-101,0.0,0.0,74.0,74.0,I,,,,,5My26
