Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.30_16.44.04",7.075036999999999,43.618164,5G,5G,-111.0,-3.0,5.0,9.0,-,0.0,0.0,182.0,182.0,I,LOG START,-111.0,-11.0,6.0,5O30
"
2022.08.30_16.44.05",7.075038,43.618106,5G,5G,-111.0,-3.0,5.0,9.0,-,0.0,0.0,167.0,167.0,I,,-111.0,-11.0,6.0,5O30
"
2022.08.30_16.44.05",7.075038,43.618106,5G,5G,-111.0,-3.0,5.0,9.0,-,0.0,0.0,167.0,167.0,I,PERIODIC,-112.0,-11.0,-2.0,5O30
"
2022.08.30_16.44.06",7.075038,43.618106,5G,5G,-115.0,-6.0,1.0,9.0,-,0.0,0.0,167.0,167.0,I,PERIODIC,-112.0,-11.0,-2.0,5O30
"
2022.08.30_16.44.07",7.075038,43.618106,5G,5G,-115.0,-6.0,1.0,9.0,-,0.0,0.0,167.0,167.0,I,PERIODIC,-118.0,-14.0,2.0,5O30
"
2022.08.30_16.44.08",7.075038,43.618106,5G,5G,-114.0,-6.0,2.0,9.0,-,0.0,0.0,167.0,167.0,I,PERIODIC,-118.0,-14.0,2.0,5O30
"
2022.08.30_16.44.09",7.075038,43.618106,5G,5G,-116.0,-6.0,2.0,9.0,-,24.0,36.0,167.0,167.0,D,PERIODIC,-111.0,-12.0,-8.0,5O30
"
2022.08.30_16.44.10",7.075038,43.618106,5G,5G,-114.0,-5.0,3.0,9.0,-,1.0,33.0,167.0,167.0,D,PERIODIC,-111.0,-12.0,-8.0,5O30
"
2022.08.30_16.44.11",7.075038,43.618106,5G,5G,-116.0,-6.0,2.0,9.0,-,13.0,3.0,167.0,167.0,D,PERIODIC,-115.0,-13.0,-2.0,5O30
"
2022.08.30_16.44.12",7.075038,43.618106,5G,5G,-116.0,-6.0,2.0,9.0,-,4.0,91.0,167.0,167.0,D,PERIODIC,-115.0,-13.0,-2.0,5O30
"
2022.08.30_16.44.13",7.075038,43.618106,5G,5G,-116.0,-6.0,2.0,9.0,-,28.0,64.0,167.0,167.0,D,PERIODIC,-115.0,-13.0,-2.0,5O30
"
2022.08.30_16.44.14",7.075038,43.618106,5G,5G,-119.0,-6.0,3.0,8.0,-,30.0,41.0,167.0,167.0,D,PERIODIC,-112.0,-14.0,-3.0,5O30
"
2022.08.30_16.44.15",7.075038,43.618106,5G,5G,-119.0,-6.0,3.0,8.0,-,60.0,109.0,167.0,167.0,D,PERIODIC,-112.0,-14.0,-3.0,5O30
"
2022.08.30_16.44.16",7.075038,43.618106,5G,5G,-119.0,-6.0,3.0,6.0,-,51.0,85.0,167.0,167.0,D,HANDOVER_DATA_5G5G,-116.0,-14.0,-10.0,5O30
"
2022.08.30_16.44.17",7.075038,43.618106,5G,5G,-116.0,-5.0,4.0,6.0,-,71.0,40.0,167.0,167.0,D,PERIODIC,-116.0,-14.0,-10.0,5O30
"
2022.08.30_16.44.18",7.075038,43.618106,5G,5G,-116.0,-5.0,4.0,9.0,-,4.0,4.0,167.0,167.0,D,PERIODIC,-116.0,-13.0,-10.0,5O30
"
2022.08.30_16.44.19",7.075038,43.618106,5G,5G,-116.0,-5.0,4.0,9.0,-,7.0,31.0,167.0,167.0,D,PERIODIC,-116.0,-13.0,-10.0,5O30
"
2022.08.30_16.44.20",7.075038,43.618106,5G,5G,-116.0,-5.0,4.0,6.0,-,7.0,2.0,167.0,167.0,D,HANDOVER_DATA_5G5G,-108.0,-10.0,-7.0,5O30
"
2022.08.30_16.44.21",7.075038,43.618106,5G,5G,-121.0,-7.0,2.0,6.0,-,0.0,56.0,167.0,167.0,D,PERIODIC,-108.0,-10.0,-7.0,5O30
"
2022.08.30_16.44.22",7.075038,43.618106,5G,5G,-119.0,-6.0,3.0,10.0,-,15.0,22.0,167.0,167.0,D,PERIODIC,-107.0,-11.0,-6.0,5O30
"
2022.08.30_16.44.23",7.075038,43.618106,5G,5G,-119.0,-6.0,3.0,10.0,-,68.0,50.0,167.0,167.0,D,PERIODIC,-107.0,-11.0,-6.0,5O30
"
2022.08.30_16.44.24",7.075038,43.618106,5G,5G,-118.0,-7.0,1.0,11.0,-,112.0,23.0,167.0,167.0,D,PERIODIC,-109.0,-10.0,-6.0,5O30
"
2022.08.30_16.44.25",7.075038,43.618106,5G,5G,-118.0,-5.0,5.0,11.0,-,809.0,219.0,167.0,167.0,D,PERIODIC,-109.0,-10.0,-6.0,5O30
"
2022.08.30_16.44.26",7.075038,43.618106,5G,5G,-116.0,-5.0,5.0,10.0,-,656.0,321.0,167.0,167.0,D,PERIODIC,-112.0,-13.0,-4.0,5O30
"
2022.08.30_16.44.27",7.075038,43.618106,5G,5G,-117.0,-4.0,5.0,10.0,-,151.0,47.0,167.0,167.0,D,PERIODIC,-112.0,-13.0,-4.0,5O30
"
2022.08.30_16.44.28",7.075038,43.618106,5G,5G,-117.0,-4.0,5.0,10.0,-,0.0,0.0,167.0,167.0,D,PERIODIC,-112.0,-14.0,-2.0,5O30
"
2022.08.30_16.44.29",7.075038,43.618106,5G,5G,-108.0,-3.0,8.0,10.0,-,0.0,0.0,167.0,167.0,I,PERIODIC,-112.0,-14.0,-2.0,5O30
"
2022.08.30_16.44.30",7.075038,43.618106,5G,5G,-108.0,-3.0,8.0,8.0,-,31.0,65.0,167.0,167.0,D,PERIODIC,-110.0,-16.0,-6.0,5O30
"
2022.08.30_16.44.31",7.075038,43.618106,5G,5G,-108.0,-3.0,8.0,8.0,-,31.0,14.0,167.0,167.0,D,PERIODIC,-110.0,-16.0,-6.0,5O30
"
2022.08.30_16.44.32",7.075038,43.618106,5G,5G,-108.0,-3.0,8.0,9.0,-,24.0,3.0,167.0,167.0,D,PERIODIC,-110.0,-13.0,-10.0,5O30
"
2022.08.30_16.44.33",7.075038,43.618106,5G,5G,-108.0,-3.0,8.0,9.0,-,0.0,0.0,167.0,167.0,I,PERIODIC,-110.0,-13.0,-10.0,5O30
"
2022.08.30_16.44.34",7.075038,43.618106,5G,5G,-108.0,-3.0,8.0,8.0,-,0.0,28.0,167.0,167.0,D,PERIODIC,-110.0,-13.0,-7.0,5O30
"
2022.08.30_16.44.35",7.075038,43.618106,5G,5G,-108.0,-3.0,8.0,8.0,-,4.0,0.0,167.0,167.0,D,PERIODIC,-110.0,-13.0,-7.0,5O30
"
2022.08.30_16.44.36",7.075038,43.618106,5G,5G,-108.0,-3.0,8.0,10.0,-,0.0,0.0,167.0,167.0,D,PERIODIC,-110.0,-14.0,-10.0,5O30
"
2022.08.30_16.44.37",7.075038,43.618106,5G,5G,-108.0,-3.0,8.0,10.0,-,5.0,34.0,167.0,167.0,D,PERIODIC,-110.0,-14.0,-10.0,5O30
"
2022.08.30_16.44.38",7.075038,43.618106,5G,5G,-108.0,-3.0,8.0,9.0,-,1.0,79.0,167.0,167.0,D,PERIODIC,-111.0,-14.0,-6.0,5O30
"
2022.08.30_16.44.39",7.075038,43.618106,5G,5G,-108.0,-3.0,8.0,9.0,-,1.0,10.0,167.0,167.0,D,PERIODIC,-111.0,-14.0,-6.0,5O30
"
2022.08.30_16.44.40",7.075038,43.618106,5G,5G,-118.0,-6.0,3.0,7.0,-,0.0,10.0,167.0,167.0,D,PERIODIC,-112.0,-14.0,-3.0,5O30
"
2022.08.30_16.44.41",7.075038,43.618106,5G,5G,-118.0,-6.0,3.0,7.0,-,1.0,1.0,167.0,167.0,D,PERIODIC,-112.0,-14.0,-3.0,5O30
"
2022.08.30_16.44.42",7.075038,43.618106,5G,5G,-118.0,-6.0,3.0,6.0,-,0.0,0.0,167.0,167.0,I,HANDOVER_DATA_5G5G,-113.0,-14.0,-3.0,5O30
"
2022.08.30_16.44.43",7.075038,43.618106,5G,5G,-118.0,-6.0,3.0,6.0,-,0.0,0.0,167.0,167.0,I,PERIODIC,-113.0,-14.0,-3.0,5O30
"
2022.08.30_16.44.45",7.075038,43.618106,5G,5G,-118.0,-6.0,3.0,7.0,-,2.0,114.0,167.0,167.0,D,PERIODIC,-112.0,-14.0,-9.0,5O30
"
2022.08.30_16.44.46",7.075038,43.618106,5G,5G,-118.0,-6.0,3.0,7.0,-,5.0,0.0,167.0,167.0,D,PERIODIC,-112.0,-14.0,-9.0,5O30
"
2022.08.30_16.44.47",7.075038,43.618106,5G,5G,-113.0,-4.0,4.0,6.0,-,0.0,0.0,167.0,167.0,I,PERIODIC,-113.0,-16.0,1.0,5O30
"
2022.08.30_16.44.48",7.075038,43.618106,5G,5G,-113.0,-4.0,4.0,6.0,-,0.0,0.0,167.0,167.0,I,PERIODIC,-113.0,-16.0,1.0,5O30
"
2022.08.30_16.44.49",7.075038,43.618106,5G,5G,-113.0,-4.0,4.0,6.0,-,0.0,105.0,167.0,167.0,D,HANDOVER_DATA_5G5G,-113.0,-13.0,-1.0,5O30
"
2022.08.30_16.44.50",7.075038,43.618106,5G,5G,-113.0,-4.0,4.0,6.0,-,0.0,10.0,167.0,167.0,D,PERIODIC,-113.0,-13.0,-1.0,5O30
"
2022.08.30_16.44.51",7.075038,43.618106,5G,5G,-113.0,-4.0,4.0,9.0,-,0.0,0.0,167.0,167.0,I,PERIODIC,-113.0,-13.0,-1.0,5O30
"
2022.08.30_16.44.52",7.075038,43.618106,4G,LTE,-113.0,-13.0,-1.0,9.0,-111,0.0,0.0,167.0,167.0,I,PERIODIC,,,,5O30
"
2022.08.30_16.44.52",7.075038,43.618106,4G,LTE,-113.0,-13.0,-1.0,9.0,-111,0.0,0.0,167.0,167.0,I,,,,,5O30
