Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.09_16.43.58",7.1080429999999994,43.569051,61.0,5G,5G,-102.0,-3.0,3.0,9,-,0.0,0.0,57.0,57.0,I,LOG START,-105.0,-14.0,3.0,5Ob9s
"
2022.09.09_16.43.59",7.107988000000001,43.569089,61.0,5G,5G,-102.0,-3.0,3.0,9,-,0.0,0.0,55.0,55.0,I,,-105.0,-14.0,3.0,5Ob9s
"
2022.09.09_16.43.59",7.107988000000001,43.569089,61.0,5G,5G,-102.0,-3.0,3.0,9,-,0.0,0.0,55.0,55.0,I,PERIODIC,-104.0,-12.0,3.0,5Ob9s
"
2022.09.09_16.44.00",7.107988000000001,43.569089,61.0,5G,5G,-102.0,-3.0,3.0,9,-,0.0,0.0,55.0,55.0,I,PERIODIC,-104.0,-12.0,3.0,5Ob9s
"
2022.09.09_16.44.01",7.107988000000001,43.569089,61.0,5G,5G,-102.0,-3.0,3.0,10,-,0.0,0.0,55.0,55.0,I,PERIODIC,-105.0,-13.0,1.0,5Ob9s
"
2022.09.09_16.44.02",7.107988000000001,43.569089,61.0,5G,5G,-102.0,-3.0,3.0,10,-,0.0,0.0,55.0,55.0,I,PERIODIC,-105.0,-13.0,1.0,5Ob9s
"
2022.09.09_16.44.03",7.107988000000001,43.569089,61.0,5G,5G,-102.0,-3.0,3.0,-,-,0.0,0.0,55.0,55.0,I,PERIODIC,-101.0,-12.0,3.0,5Ob9s
"
2022.09.09_16.44.04",7.107988000000001,43.569089,61.0,5G,5G,-102.0,-3.0,3.0,-,-,61.0,16.0,55.0,55.0,D,PERIODIC,-101.0,-12.0,3.0,5Ob9s
"
2022.09.09_16.44.05",7.107988000000001,43.569089,61.0,5G,5G,-102.0,-3.0,3.0,-,-,62.0,28.0,55.0,55.0,D,PERIODIC,-101.0,-12.0,3.0,5Ob9s
"
2022.09.09_16.44.06",7.107988000000001,43.569089,61.0,5G,5G,-102.0,-3.0,3.0,11,-,0.0,0.0,55.0,55.0,D,PERIODIC,-105.0,-12.0,3.0,5Ob9s
"
2022.09.09_16.44.07",7.107988000000001,43.569089,61.0,5G,5G,-102.0,-3.0,3.0,11,-,0.0,0.0,55.0,55.0,I,PERIODIC,-105.0,-12.0,3.0,5Ob9s
"
2022.09.09_16.44.08",7.107988000000001,43.569089,61.0,5G,5G,-100.0,-3.0,4.0,11,-,50.0,15.0,55.0,55.0,D,PERIODIC,-105.0,-12.0,3.0,5Ob9s
"
2022.09.09_16.44.09",7.107988000000001,43.569089,61.0,5G,5G,-100.0,-3.0,4.0,11,-,0.0,0.0,55.0,55.0,D,PERIODIC,-105.0,-12.0,3.0,5Ob9s
