Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.26_13.43.20",7.120911,43.580062,4G,LTE,-103.0,-15.0,9.0,7.0,-103,0.0,0.0,67.0,67.0,I,LOG START,,,,5Ocro26
"
2022.08.26_13.43.21",7.120911,43.580062,4G,LTE,-103.0,-15.0,6.0,9.0,-103,0.0,0.0,67.0,67.0,I,PERIODIC,,,,5Ocro26
"
2022.08.26_13.43.21",7.120907000000001,43.580103,4G,LTE,-103.0,-15.0,6.0,9.0,-103,0.0,0.0,71.0,71.0,I,,,,,5Ocro26
"
2022.08.26_13.43.22",7.120907000000001,43.580103,4G,LTE,-103.0,-15.0,6.0,9.0,-103,0.0,0.0,71.0,71.0,I,PERIODIC,,,,5Ocro26
"
2022.08.26_13.43.23",7.120907000000001,43.580103,4G,LTE,-103.0,-15.0,6.0,9.0,-103,0.0,0.0,71.0,71.0,I,PERIODIC,,,,5Ocro26
"
2022.08.26_13.43.24",7.120907000000001,43.580103,4G,LTE,-102.0,-15.0,10.0,10.0,-103,0.0,0.0,71.0,71.0,I,PERIODIC,,,,5Ocro26
"
2022.08.26_13.43.25",7.120907000000001,43.580103,4G,LTE,-102.0,-15.0,12.0,10.0,-103,101.0,20.0,71.0,71.0,D,PERIODIC,,,,5Ocro26
"
2022.08.26_13.43.26",7.120907000000001,43.580103,4G,LTE,-102.0,-15.0,12.0,10.0,-103,1.0,1.0,71.0,71.0,D,PERIODIC,,,,5Ocro26
"
2022.08.26_13.43.27",7.120907000000001,43.580103,4G,LTE,-104.0,-15.0,5.0,9.0,-103,116.0,67.0,71.0,71.0,D,PERIODIC,,,,5Ocro26
"
2022.08.26_13.43.28",7.120907000000001,43.580103,4G,LTE,-104.0,-15.0,5.0,9.0,-103,59.0,4.0,71.0,71.0,D,PERIODIC,,,,5Ocro26
"
2022.08.26_13.43.29",7.120907000000001,43.580103,4G,LTE,-103.0,-15.0,8.0,11.0,-103,67.0,25.0,71.0,71.0,D,PERIODIC,,,,5Ocro26
"
2022.08.26_13.43.30",7.120907000000001,43.580103,4G,LTE,-103.0,-15.0,8.0,11.0,-103,2.0,2.0,71.0,71.0,D,PERIODIC,,,,5Ocro26
"
2022.08.26_13.43.31",7.120907000000001,43.580103,4G,LTE,-103.0,-15.0,8.0,11.0,-103,95.0,23.0,71.0,71.0,D,PERIODIC,,,,5Ocro26
"
2022.08.26_13.43.32",7.120907000000001,43.580103,4G,LTE,-103.0,-16.0,2.0,7.0,-103,0.0,0.0,71.0,71.0,D,PERIODIC,,,,5Ocro26
"
2022.08.26_13.43.33",7.120907000000001,43.580103,4G,LTE,-103.0,-16.0,2.0,7.0,-103,0.0,0.0,71.0,71.0,I,PERIODIC,,,,5Ocro26
