Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.27_15.20.15",7.1207270000000005,43.580353,81.0,5G,5G,-95.0,-3.0,16.0,8,-,0.0,0.0,69.0,69.0,I,LOG START,-99.0,-16.0,-3.0,5Or27
"
2022.08.27_15.20.15",7.120663,43.580405999999996,81.0,5G,5G,-96.0,-3.0,11.0,8,-,0.0,0.0,63.0,63.0,I,,-99.0,-16.0,-3.0,5Or27
"
2022.08.27_15.20.15",7.120663,43.580405999999996,81.0,5G,5G,-96.0,-3.0,11.0,6,-,0.0,0.0,63.0,63.0,I,PERIODIC,-102.0,-15.0,-11.0,5Or27
"
2022.08.27_15.20.16",7.120663,43.580405999999996,81.0,5G,5G,-94.0,-3.0,13.0,6,-,0.0,0.0,63.0,63.0,I,PERIODIC,-102.0,-15.0,-11.0,5Or27
"
2022.08.27_15.20.17",7.120663,43.580405999999996,81.0,5G,5G,-94.0,-3.0,13.0,10,-,0.0,0.0,63.0,63.0,I,PERIODIC,-100.0,-15.0,-15.0,5Or27
"
2022.08.27_15.20.18",7.120663,43.580405999999996,81.0,5G,5G,-94.0,-3.0,13.0,10,-,0.0,0.0,63.0,63.0,I,PERIODIC,-100.0,-15.0,-15.0,5Or27
"
2022.08.27_15.20.19",7.120663,43.580405999999996,81.0,5G,5G,-94.0,-3.0,13.0,6,-,0.0,0.0,63.0,63.0,I,PERIODIC,-99.0,-15.0,5.0,5Or27
"
2022.08.27_15.20.20",7.120663,43.580405999999996,81.0,5G,5G,-94.0,-3.0,13.0,6,-,0.0,0.0,63.0,63.0,I,PERIODIC,-99.0,-15.0,5.0,5Or27
"
2022.08.27_15.20.21",7.120663,43.580405999999996,81.0,4G,LTE,-98.0,-14.0,6.0,-,-99,0.0,0.0,63.0,63.0,I,PERIODIC,,,,5Or27
"
2022.08.27_15.20.21",7.120663,43.580405999999996,81.0,4G,LTE,-98.0,-14.0,6.0,-,-99,0.0,0.0,63.0,63.0,I,,,,,5Or27
"
2022.08.27_15.20.22",7.120663,43.580405999999996,81.0,4G,LTE,-98.0,-14.0,6.0,-,-99,0.0,0.0,63.0,63.0,I,PERIODIC,,,,5Or27
"
2022.08.27_15.20.23",7.120663,43.580405999999996,62.0,4G,LTE,-113.0,-16.0,-2.0,-,-99,0.0,0.0,63.0,63.0,I,CELL_RESELECTION_4G4G,,,,5Or27
"
2022.08.27_15.20.24",7.120663,43.580405999999996,62.0,4G,LTE,-113.0,-16.0,-2.0,-,-99,0.0,0.0,63.0,63.0,I,PERIODIC,,,,5Or27
"
2022.08.27_15.20.25",7.120663,43.580405999999996,62.0,4G,LTE,-113.0,-16.0,-2.0,-,-113,0.0,0.0,63.0,63.0,I,PERIODIC,,,,5Or27
"
2022.08.27_15.20.26",7.120663,43.580405999999996,62.0,4G,LTE,-113.0,-16.0,-7.0,-,-113,0.0,0.0,63.0,63.0,I,PERIODIC,,,,5Or27
"
2022.08.27_15.20.27",7.120663,43.580405999999996,62.0,4G,LTE,-113.0,-16.0,-7.0,-,-113,55.0,67.0,63.0,63.0,D,PERIODIC,,,,5Or27
"
2022.08.27_15.20.28",7.120663,43.580405999999996,62.0,4G,LTE,-113.0,-16.0,-7.0,-,-113,1548.0,420.0,63.0,63.0,D,PERIODIC,,,,5Or27
"
2022.08.27_15.20.29",7.120663,43.580405999999996,62.0,5G,5G,-104.0,-3.0,12.0,8,-,18474.0,612.0,63.0,63.0,D,PERIODIC,-117.0,-15.0,-6.0,5Or27
"
2022.08.27_15.20.29",7.120663,43.580405999999996,62.0,5G,5G,-104.0,-3.0,12.0,8,-,18474.0,612.0,63.0,63.0,D,,-117.0,-15.0,-6.0,5Or27
