Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.29_12.33.34",7.075658,43.618148,5G,5G,-116.0,-4.0,2.0,8.0,-,0.0,0.0,167.0,167.0,I,LOG START,-111.0,-11.0,-4.0,5Or29
"
2022.08.29_12.33.34",7.0756570000000005,43.618145,5G,5G,-116.0,-4.0,2.0,8.0,-,0.0,0.0,166.0,166.0,I,,-111.0,-11.0,-4.0,5Or29
"
2022.08.29_12.33.35",7.0756570000000005,43.618145,5G,5G,-115.0,-4.0,2.0,8.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-112.0,-11.0,-13.0,5Or29
"
2022.08.29_12.33.36",7.0756570000000005,43.618145,5G,5G,-115.0,-4.0,2.0,8.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-112.0,-11.0,-13.0,5Or29
"
2022.08.29_12.33.37",7.0756570000000005,43.618145,5G,5G,-115.0,-4.0,2.0,10.0,-,0.0,0.0,166.0,166.0,I,PERIODIC,-107.0,-9.0,-3.0,5Or29
"
2022.08.29_12.33.38",7.0756570000000005,43.618145,5G,5G,-115.0,-4.0,2.0,10.0,-,90.0,45.0,166.0,166.0,D,PERIODIC,-107.0,-9.0,-3.0,5Or29
"
2022.08.29_12.33.39",7.0756570000000005,43.618145,5G,5G,-115.0,-4.0,2.0,10.0,-,47.0,8.0,166.0,166.0,D,PERIODIC,-108.0,-11.0,-6.0,5Or29
"
2022.08.29_12.33.40",7.0756570000000005,43.618145,5G,5G,-115.0,-4.0,2.0,10.0,-,18.0,8.0,166.0,166.0,D,PERIODIC,-108.0,-11.0,-6.0,5Or29
"
2022.08.29_12.33.41",7.0756570000000005,43.618145,5G,5G,-115.0,-4.0,2.0,10.0,-,23.0,18.0,166.0,166.0,D,PERIODIC,-108.0,-11.0,-6.0,5Or29
"
2022.08.29_12.33.42",7.0756570000000005,43.618145,5G,5G,-115.0,-4.0,2.0,10.0,-,46.0,18.0,166.0,166.0,D,PERIODIC,-108.0,-10.0,-5.0,5Or29
