Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.09_17.07.22",7.1099440000000005,43.571760999999995,61.0,4G,LTE,-94.0,-12.0,1.0,-,-95,0.0,0.0,74.0,74.0,I,LOG START,,,,5Ot9s
"
2022.09.09_17.07.22",7.1099440000000005,43.571760999999995,61.0,4G,LTE,-94.0,-13.0,-2.0,-,-95,0.0,0.0,74.0,74.0,I,PERIODIC,,,,5Ot9s
"
2022.09.09_17.07.23",7.109882000000001,43.571774,61.0,4G,LTE,-94.0,-13.0,-2.0,-,-95,0.0,0.0,80.0,80.0,I,,,,,5Ot9s
"
2022.09.09_17.07.23",7.109882000000001,43.571774,61.0,4G,LTE,-94.0,-13.0,-2.0,-,-95,0.0,0.0,80.0,80.0,I,PERIODIC,,,,5Ot9s
"
2022.09.09_17.07.24",7.109882000000001,43.571774,61.0,4G,LTE,-94.0,-13.0,3.0,-,-95,0.0,0.0,80.0,80.0,I,PERIODIC,,,,5Ot9s
"
2022.09.09_17.07.25",7.109882000000001,43.571774,61.0,4G,LTE,-94.0,-13.0,3.0,-,-95,53.0,15.0,80.0,80.0,D,PERIODIC,,,,5Ot9s
"
2022.09.09_17.07.26",7.109882000000001,43.571774,61.0,4G,LTE,-95.0,-15.0,0.0,11,-95,0.0,0.0,80.0,80.0,D,PERIODIC,,,,5Ot9s
"
2022.09.09_17.07.27",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-6.0,3.0,11,-,0.0,0.0,80.0,80.0,I,PERIODIC,-95.0,-15.0,-1.0,5Ot9s
"
2022.09.09_17.07.27",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-6.0,3.0,11,-,0.0,0.0,80.0,80.0,I,,-95.0,-15.0,-1.0,5Ot9s
"
2022.09.09_17.07.28",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-6.0,3.0,8,-,60.0,16.0,80.0,80.0,D,PERIODIC,-97.0,-12.0,-1.0,5Ot9s
"
2022.09.09_17.07.29",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-6.0,3.0,8,-,0.0,0.0,80.0,80.0,D,PERIODIC,-97.0,-12.0,-1.0,5Ot9s
"
2022.09.09_17.07.30",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-6.0,3.0,8,-,2.0,5.0,80.0,80.0,D,PERIODIC,-97.0,-13.0,-1.0,5Ot9s
"
2022.09.09_17.07.31",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-6.0,3.0,8,-,42.0,2.0,80.0,80.0,D,PERIODIC,-97.0,-13.0,-1.0,5Ot9s
"
2022.09.09_17.07.32",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-6.0,3.0,8,-,5.0,8.0,80.0,80.0,D,PERIODIC,-96.0,-13.0,-1.0,5Ot9s
"
2022.09.09_17.07.33",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-6.0,3.0,8,-,0.0,0.0,80.0,80.0,D,PERIODIC,-96.0,-13.0,-1.0,5Ot9s
"
2022.09.09_17.07.34",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-6.0,3.0,9,-,0.0,0.0,80.0,80.0,I,PERIODIC,-96.0,-13.0,-2.0,5Ot9s
"
2022.09.09_17.07.35",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-6.0,3.0,9,-,60.0,24.0,80.0,80.0,D,PERIODIC,-96.0,-13.0,-2.0,5Ot9s
"
2022.09.09_17.07.36",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-6.0,3.0,9,-,0.0,0.0,80.0,80.0,D,PERIODIC,-96.0,-13.0,-12.0,5Ot9s
"
2022.09.09_17.07.37",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-6.0,3.0,9,-,0.0,0.0,80.0,80.0,I,PERIODIC,-96.0,-13.0,-12.0,5Ot9s
"
2022.09.09_17.07.38",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-6.0,3.0,7,-,0.0,0.0,80.0,80.0,I,PERIODIC,-96.0,-13.0,-3.0,5Ot9s
"
2022.09.09_17.07.39",7.109882000000001,43.571774,61.0,5G,5G,-117.0,-5.0,4.0,7,-,0.0,2.0,80.0,80.0,D,PERIODIC,-96.0,-13.0,-3.0,5Ot9s
"
2022.09.09_17.07.40",7.109882000000001,43.571774,61.0,5G,5G,-117.0,-6.0,3.0,6,-,1.0,3.0,80.0,80.0,D,PERIODIC,-97.0,-12.0,-1.0,5Ot9s
"
2022.09.09_17.07.41",7.109882000000001,43.571774,61.0,5G,5G,-120.0,-7.0,1.0,6,-,0.0,0.0,80.0,80.0,D,PERIODIC,-97.0,-12.0,-1.0,5Ot9s
"
2022.09.09_17.07.42",7.109882000000001,43.571774,61.0,5G,5G,-120.0,-7.0,1.0,6,-,13.0,35.0,80.0,80.0,D,PERIODIC,-97.0,-12.0,-1.0,5Ot9s
"
2022.09.09_17.07.43",7.109882000000001,43.571774,61.0,5G,5G,-120.0,-7.0,1.0,6,-,8.0,3.0,80.0,80.0,D,PERIODIC,-96.0,-12.0,2.0,5Ot9s
"
2022.09.09_17.07.44",7.109882000000001,43.571774,61.0,5G,5G,-120.0,-7.0,1.0,6,-,56.0,50.0,80.0,80.0,D,PERIODIC,-96.0,-12.0,2.0,5Ot9s
"
2022.09.09_17.07.45",7.109882000000001,43.571774,61.0,5G,5G,-120.0,-7.0,1.0,10,-,4.0,16.0,80.0,80.0,D,PERIODIC,-95.0,-12.0,-1.0,5Ot9s
"
2022.09.09_17.07.46",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-7.0,2.0,10,-,194.0,43.0,80.0,80.0,D,PERIODIC,-95.0,-12.0,-1.0,5Ot9s
"
2022.09.09_17.07.47",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-7.0,2.0,9,-,0.0,0.0,80.0,80.0,D,PERIODIC,-96.0,-14.0,1.0,5Ot9s
"
2022.09.09_17.07.48",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-7.0,2.0,9,-,0.0,0.0,80.0,80.0,D,PERIODIC,-96.0,-14.0,1.0,5Ot9s
"
2022.09.09_17.07.50",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-7.0,2.0,6,-,0.0,0.0,80.0,80.0,I,PERIODIC,-97.0,-12.0,-1.0,5Ot9s
"
2022.09.09_17.07.51",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-7.0,2.0,6,-,0.0,0.0,80.0,80.0,I,PERIODIC,-97.0,-12.0,-1.0,5Ot9s
"
2022.09.09_17.07.52",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-7.0,2.0,7,-,10.0,3.0,80.0,80.0,D,PERIODIC,-96.0,-13.0,3.0,5Ot9s
"
2022.09.09_17.07.53",7.109882000000001,43.571774,61.0,5G,5G,-116.0,-7.0,2.0,7,-,0.0,0.0,80.0,80.0,D,PERIODIC,-96.0,-13.0,3.0,5Ot9s
