Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.15_16.47.38",7.0692,43.61524,62.0,4G,LTE,-105.0,-12.0,15.0,9.0,-86,1989.0,37.0,178.0,178.0,D,LOG START,5Ou15ik
"
2022.09.15_16.47.39",7.0692,43.61524,62.0,4G,LTE,-105.0,-12.0,15.0,9.0,-92,520.0,9.0,178.0,178.0,D,PERIODIC,5Ou15ik
"
2022.09.15_16.47.39",7.0692,43.61524,62.0,4G,LTE,-109.0,-12.0,14.0,12.0,-94,0.0,0.0,178.0,178.0,I,PERIODIC,5Ou15ik
"
2022.09.15_16.47.41",7.0692,43.61524,62.0,4G,LTE,-109.0,-12.0,14.0,9.0,-,18.0,22.0,178.0,178.0,D,PERIODIC,5Ou15ik
"
2022.09.15_16.47.42",7.0692,43.61524,62.0,4G,LTE,-111.0,-13.0,10.0,9.0,-,46.0,45.0,178.0,178.0,D,PERIODIC,5Ou15ik
"
2022.09.15_16.47.43",7.0692,43.61524,62.0,4G,LTE,-111.0,-13.0,10.0,12.0,-,5.0,0.0,178.0,178.0,D,PERIODIC,5Ou15ik
"
2022.09.15_16.47.44",7.0692,43.61524,62.0,4G,LTE,-111.0,-14.0,10.0,10.0,-89,11.0,4.0,178.0,178.0,D,PERIODIC,5Ou15ik
"
2022.09.15_16.47.45",7.0692,43.61524,62.0,4G,LTE,-111.0,-14.0,10.0,10.0,-89,113.0,51.0,178.0,178.0,D,PERIODIC,5Ou15ik
"
2022.09.15_16.47.46",7.0692,43.61524,62.0,4G,LTE,-112.0,-13.0,13.0,9.0,-,0.0,0.0,178.0,178.0,D,PERIODIC,5Ou15ik
"
2022.09.15_16.47.47",7.0692,43.61524,62.0,4G,LTE,-112.0,-13.0,13.0,12.0,-94,19.0,3.0,178.0,178.0,D,PERIODIC,5Ou15ik
"
2022.09.15_16.47.48",7.0692,43.61524,62.0,4G,LTE,-114.0,-14.0,5.0,12.0,-87,0.0,0.0,178.0,178.0,I,PERIODIC,5Ou15ik
"
2022.09.15_16.47.49",7.0692,43.61524,62.0,4G,LTE,-114.0,-14.0,5.0,8.0,-89,0.0,0.0,178.0,178.0,I,PERIODIC,5Ou15ik
"
2022.09.15_16.47.50",7.0692,43.61524,62.0,4G,LTE,-107.0,-13.0,6.0,7.0,-89,0.0,0.0,178.0,178.0,I,PERIODIC,5Ou15ik
"
2022.09.15_16.47.51",7.0692,43.61524,62.0,4G,LTE,-107.0,-13.0,6.0,7.0,-92,0.0,0.0,178.0,178.0,I,PERIODIC,5Ou15ik
"
2022.09.15_16.47.52",7.0692,43.61524,62.0,4G,LTE,-109.0,-13.0,8.0,8.0,-,19.0,3.0,178.0,178.0,D,PERIODIC,5Ou15ik
"
2022.09.15_16.47.53",7.0692,43.61524,62.0,4G,LTE,-109.0,-13.0,8.0,8.0,-,0.0,0.0,178.0,178.0,I,PERIODIC,5Ou15ik
"
2022.09.15_16.47.54",7.0692,43.61524,62.0,4G,LTE,-114.0,-13.0,8.0,12.0,-87,0.0,0.0,178.0,178.0,I,PERIODIC,5Ou15ik
"
2022.09.15_16.47.55",7.0692,43.61524,62.0,4G,LTE,-114.0,-13.0,8.0,12.0,-87,0.0,0.0,178.0,178.0,I,PERIODIC,5Ou15ik
"
2022.09.15_16.47.56",7.0692,43.61524,62.0,4G,LTE,-104.0,-13.0,7.0,8.0,-89,0.0,0.0,178.0,178.0,I,PERIODIC,5Ou15ik
"
2022.09.15_16.47.57",7.0692,43.61524,62.0,4G,LTE,-104.0,-13.0,7.0,9.0,-87,19.0,3.0,178.0,178.0,D,PERIODIC,5Ou15ik
"
2022.09.15_16.47.58",7.0692,43.61524,62.0,4G,LTE,-104.0,-12.0,8.0,13.0,-92,0.0,0.0,178.0,178.0,I,PERIODIC,5Ou15ik
"
2022.09.15_16.47.59",7.0692,43.61524,62.0,4G,LTE,-104.0,-12.0,8.0,9.0,-88,0.0,0.0,178.0,178.0,I,PERIODIC,5Ou15ik
"
2022.09.15_16.48.00",7.0692,43.61524,62.0,4G,LTE,-106.0,-12.0,9.0,9.0,-88,0.0,0.0,178.0,178.0,I,PERIODIC,5Ou15ik
"
2022.09.15_16.48.01",7.0692,43.61524,62.0,4G,LTE,-106.0,-12.0,9.0,10.0,-86,0.0,0.0,178.0,178.0,D,PERIODIC,5Ou15ik
"
2022.09.15_16.48.02",7.0692,43.61524,62.0,4G,LTE,-106.0,-12.0,9.0,10.0,-86,19.0,2.0,178.0,178.0,D,PERIODIC,5Ou15ik
"
2022.09.15_16.48.02",7.0692,43.61524,62.0,4G,LTE,-106.0,-12.0,9.0,10.0,-86,19.0,2.0,178.0,178.0,D,LOG_END,5Ou15ik
"
",,,,,,,,,,,,,,,,,5Ou15ik
