Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.10.27_15.59.00",7.069201,43.615,5G,5G,-108.0,-3.0,3.0,8,-,0.0,0.0,175.0,175.0,I,LOG START,-109.0,-9.0,8.0,5Ou27o
"
2022.10.27_15.59.00",7.06913,43.615055,5G,5G,-118.0,-7.0,-3.0,8,-,0.0,0.0,198.0,198.0,I,,-109.0,-9.0,8.0,5Ou27o
"
2022.10.27_15.59.01",7.06913,43.615055,5G,5G,-118.0,-7.0,-3.0,9,-,0.0,0.0,198.0,198.0,I,PERIODIC,-109.0,-10.0,6.0,5Ou27o
"
2022.10.27_15.59.02",7.06913,43.615055,5G,5G,-115.0,-5.0,-1.0,9,-,0.0,0.0,198.0,198.0,I,PERIODIC,-109.0,-10.0,6.0,5Ou27o
"
2022.10.27_15.59.03",7.06913,43.615055,5G,5G,-114.0,-5.0,-1.0,8,-,0.0,0.0,198.0,198.0,I,PERIODIC,-107.0,-10.0,4.0,5Ou27o
"
2022.10.27_15.59.04",7.06913,43.615055,5G,5G,-114.0,-5.0,-1.0,8,-,0.0,0.0,198.0,198.0,I,PERIODIC,-107.0,-10.0,4.0,5Ou27o
"
2022.10.27_15.59.05",7.06913,43.615055,5G,5G,-114.0,-5.0,-1.0,-,-,18.0,37.0,198.0,198.0,D,PERIODIC,-109.0,-9.0,8.0,5Ou27o
"
2022.10.27_15.59.06",7.06913,43.615055,5G,5G,-114.0,-5.0,-1.0,-,-,71.0,14.0,198.0,198.0,D,PERIODIC,-109.0,-9.0,8.0,5Ou27o
"
2022.10.27_15.59.07",7.06913,43.615055,5G,5G,-114.0,-5.0,1.0,10,-,0.0,2.0,198.0,198.0,D,PERIODIC,-109.0,-8.0,5.0,5Ou27o
"
2022.10.27_15.59.08",7.06913,43.615055,5G,5G,-114.0,-5.0,1.0,10,-,169.0,83.0,198.0,198.0,D,PERIODIC,-109.0,-8.0,5.0,5Ou27o
"
2022.10.27_15.59.09",7.06913,43.615055,5G,5G,-114.0,-5.0,1.0,9,-,22.0,14.0,198.0,198.0,D,PERIODIC,-111.0,-13.0,3.0,5Ou27o
"
2022.10.27_15.59.10",7.06913,43.615055,5G,5G,-114.0,-5.0,1.0,9,-,97.0,20.0,198.0,198.0,D,PERIODIC,-111.0,-13.0,3.0,5Ou27o
"
2022.10.27_15.59.11",7.06913,43.615055,5G,5G,-115.0,-5.0,0.0,10,-,38.0,8.0,198.0,198.0,D,PERIODIC,-110.0,-12.0,6.0,5Ou27o
"
2022.10.27_15.59.12",7.06913,43.615055,5G,5G,-115.0,-5.0,0.0,10,-,0.0,0.0,198.0,198.0,I,PERIODIC,-110.0,-12.0,6.0,5Ou27o
"
2022.10.27_15.59.13",7.06913,43.615055,5G,5G,-115.0,-5.0,0.0,7,-,0.0,0.0,198.0,198.0,I,PERIODIC,-109.0,-13.0,4.0,5Ou27o
"
2022.10.27_15.59.14",7.06913,43.615055,5G,5G,-115.0,-5.0,0.0,7,-,0.0,0.0,198.0,198.0,I,PERIODIC,-109.0,-13.0,4.0,5Ou27o
"
2022.10.27_15.59.15",7.06913,43.615055,5G,5G,-112.0,-4.0,0.0,7,-,0.0,0.0,198.0,198.0,I,PERIODIC,-109.0,-13.0,4.0,5Ou27o
"
2022.10.27_15.59.16",7.06913,43.615055,5G,5G,-112.0,-4.0,0.0,7,-,0.0,0.0,198.0,198.0,I,PERIODIC,-109.0,-13.0,4.0,5Ou27o
"
2022.10.27_15.59.17",7.06913,43.615055,5G,5G,-112.0,-4.0,0.0,9,-,0.0,0.0,198.0,198.0,I,PERIODIC,-112.0,-14.0,6.0,5Ou27o
"
2022.10.27_15.59.18",7.06913,43.615055,5G,5G,-109.0,-3.0,3.0,9,-,0.0,0.0,198.0,198.0,D,PERIODIC,-112.0,-14.0,6.0,5Ou27o
"
2022.10.27_15.59.19",7.06913,43.615055,5G,5G,-109.0,-3.0,3.0,10,-,0.0,0.0,198.0,198.0,I,PERIODIC,-108.0,-12.0,4.0,5Ou27o
"
2022.10.27_15.59.20",7.06913,43.615055,5G,5G,-109.0,-3.0,3.0,10,-,0.0,0.0,198.0,198.0,I,PERIODIC,-108.0,-12.0,4.0,5Ou27o
