Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.25_17.21.07",7.089030999999999,43.603327,5G,5G,-105.0,-3.0,12.0,7.0,-,0.0,0.0,139.0,139.0,I,LOG START,-110.0,-11.0,7.0,5P
"
2022.08.25_17.21.07",7.089030999999999,43.603327,5G,5G,-105.0,-3.0,12.0,7.0,-,0.0,0.0,139.0,139.0,I,PERIODIC,-110.0,-11.0,7.0,5P
"
2022.08.25_17.21.07",7.089034,43.603326,5G,5G,-105.0,-3.0,12.0,7.0,-,0.0,0.0,142.0,142.0,I,,-110.0,-11.0,7.0,5P
"
2022.08.25_17.21.08",7.089034,43.603326,5G,5G,-105.0,-3.0,12.0,7.0,-,0.0,0.0,142.0,142.0,I,PERIODIC,-110.0,-11.0,7.0,5P
"
2022.08.25_17.21.09",7.089034,43.603326,5G,5G,-105.0,-3.0,12.0,6.0,-,0.0,0.0,142.0,142.0,I,PERIODIC,-110.0,-14.0,2.0,5P
"
2022.08.25_17.21.10",7.089034,43.603326,5G,5G,-105.0,-3.0,12.0,6.0,-,0.0,0.0,142.0,142.0,I,PERIODIC,-110.0,-14.0,2.0,5P
"
2022.08.25_17.21.11",7.089034,43.603326,5G,5G,-105.0,-3.0,12.0,6.0,-,0.0,0.0,142.0,142.0,I,PERIODIC,-110.0,-14.0,2.0,5P
"
2022.08.25_17.21.12",7.089034,43.603326,5G,5G,-105.0,-3.0,12.0,6.0,-,0.0,38.0,142.0,142.0,D,PERIODIC,-111.0,-13.0,2.0,5P
"
2022.08.25_17.21.13",7.089034,43.603326,5G,5G,-105.0,-3.0,12.0,5.0,-,4.0,1.0,142.0,142.0,D,PERIODIC,-111.0,-13.0,2.0,5P
"
2022.08.25_17.21.14",7.089034,43.603326,5G,5G,-105.0,-3.0,12.0,5.0,-,385.0,168.0,142.0,142.0,D,PERIODIC,-111.0,-13.0,2.0,5P
"
2022.08.25_17.21.15",7.089034,43.603326,5G,5G,-105.0,-3.0,12.0,5.0,-,544.0,347.0,142.0,142.0,D,PERIODIC,-111.0,-13.0,2.0,5P
"
2022.08.25_17.21.16",7.089034,43.603326,5G,5G,-105.0,-3.0,12.0,8.0,-,98.0,283.0,142.0,142.0,D,PERIODIC,-110.0,-12.0,1.0,5P
"
2022.08.25_17.21.17",7.089034,43.603326,5G,5G,-105.0,-3.0,12.0,8.0,-,333.0,370.0,142.0,142.0,D,PERIODIC,-110.0,-12.0,1.0,5P
"
2022.08.25_17.21.18",7.089034,43.603326,5G,5G,-105.0,-3.0,12.0,12.0,-,203.0,105.0,142.0,142.0,D,PERIODIC,-111.0,-14.0,3.0,5P
"
2022.08.25_17.21.19",7.089034,43.603326,5G,5G,-105.0,-3.0,15.0,12.0,-,331.0,350.0,142.0,142.0,D,PERIODIC,-111.0,-14.0,3.0,5P
"
2022.08.25_17.21.20",7.089034,43.603326,5G,5G,-106.0,-3.0,16.0,11.0,-,85.0,56.0,142.0,142.0,D,PERIODIC,-109.0,-14.0,4.0,5P
"
2022.08.25_17.21.21",7.089034,43.603326,5G,5G,-106.0,-3.0,16.0,11.0,-,39.0,43.0,142.0,142.0,D,PERIODIC,-109.0,-14.0,4.0,5P
"
2022.08.25_17.21.22",7.089034,43.603326,5G,5G,-106.0,-3.0,16.0,10.0,-,32.0,33.0,142.0,142.0,D,PERIODIC,-110.0,-14.0,7.0,5P
"
2022.08.25_17.21.23",7.089034,43.603326,5G,5G,-106.0,-3.0,16.0,10.0,-,0.0,0.0,142.0,142.0,D,PERIODIC,-110.0,-14.0,7.0,5P
"
2022.08.25_17.21.24",7.089034,43.603326,5G,5G,-106.0,-3.0,16.0,11.0,-,26.0,9.0,142.0,142.0,D,PERIODIC,-110.0,-11.0,-1.0,5P
"
2022.08.25_17.21.25",7.089034,43.603326,5G,5G,-106.0,-3.0,16.0,11.0,-,3.0,3.0,142.0,142.0,D,PERIODIC,-110.0,-11.0,-1.0,5P
"
2022.08.25_17.21.26",7.089034,43.603326,5G,5G,-106.0,-3.0,16.0,9.0,-,421.0,78.0,142.0,142.0,D,PERIODIC,-110.0,-11.0,-1.0,5P
"
2022.08.25_17.21.27",7.089034,43.603326,5G,5G,-106.0,-3.0,16.0,9.0,-,2277.0,299.0,142.0,142.0,D,PERIODIC,-110.0,-11.0,-1.0,5P
"
2022.08.25_17.21.28",7.089034,43.603326,5G,5G,-106.0,-3.0,16.0,9.0,-,47773.0,622.0,142.0,142.0,D,PERIODIC,-110.0,-13.0,3.0,5P
"
2022.08.25_17.21.29",7.089034,43.603326,5G,5G,-106.0,-3.0,16.0,9.0,-,69303.0,429.0,142.0,142.0,D,PERIODIC,-110.0,-13.0,3.0,5P
"
2022.08.25_17.21.30",7.089034,43.603326,5G,5G,-106.0,-3.0,13.0,11.0,-,0.0,14.0,142.0,142.0,D,PERIODIC,-110.0,-12.0,4.0,5P
"
2022.08.25_17.21.31",7.089034,43.603326,5G,5G,-106.0,-3.0,13.0,11.0,-,15.0,9.0,142.0,142.0,D,PERIODIC,-110.0,-12.0,4.0,5P
"
2022.08.25_17.21.32",7.089034,43.603326,5G,5G,-106.0,-3.0,13.0,11.0,-,36483.0,338.0,142.0,142.0,D,PERIODIC,-109.0,-10.0,6.0,5P
"
2022.08.25_17.21.33",7.089034,43.603326,5G,5G,-106.0,-3.0,13.0,11.0,-,40008.0,206.0,142.0,142.0,D,PERIODIC,-109.0,-10.0,6.0,5P
"
2022.08.25_17.21.34",7.089034,43.603326,5G,5G,-106.0,-3.0,13.0,7.0,-,36568.0,197.0,142.0,142.0,D,PERIODIC,-110.0,-10.0,6.0,5P
"
2022.08.25_17.21.35",7.089034,43.603326,5G,5G,-104.0,-3.0,16.0,7.0,-,12.0,122.0,142.0,142.0,D,PERIODIC,-110.0,-10.0,6.0,5P
"
2022.08.25_17.21.36",7.089034,43.603326,5G,5G,-104.0,-3.0,18.0,6.0,-,31354.0,180.0,142.0,142.0,D,PERIODIC,-111.0,-11.0,2.0,5P
"
2022.08.25_17.21.37",7.089034,43.603326,5G,5G,-104.0,-3.0,18.0,6.0,-,4.0,5.0,142.0,142.0,D,PERIODIC,-111.0,-11.0,2.0,5P
"
2022.08.25_17.21.38",7.089034,43.603326,5G,5G,-104.0,-3.0,18.0,7.0,-,36619.0,301.0,142.0,142.0,D,PERIODIC,-108.0,-11.0,4.0,5P
"
2022.08.25_17.21.39",7.089034,43.603326,5G,5G,-104.0,-3.0,18.0,7.0,-,4.0,5.0,142.0,142.0,D,PERIODIC,-108.0,-11.0,4.0,5P
"
2022.08.25_17.21.40",7.089034,43.603326,5G,5G,-104.0,-3.0,18.0,7.0,-,13734.0,82.0,142.0,142.0,D,PERIODIC,-109.0,-11.0,2.0,5P
"
2022.08.25_17.21.41",7.089034,43.603326,5G,5G,-104.0,-3.0,18.0,7.0,-,22179.0,228.0,142.0,142.0,D,PERIODIC,-109.0,-11.0,2.0,5P
"
2022.08.25_17.21.42",7.089034,43.603326,5G,5G,-104.0,-3.0,18.0,7.0,-,10.0,28.0,142.0,142.0,D,PERIODIC,-109.0,-10.0,6.0,5P
"
2022.08.25_17.21.43",7.089034,43.603326,5G,5G,-104.0,-3.0,18.0,7.0,-,36514.0,187.0,142.0,142.0,D,PERIODIC,-109.0,-10.0,6.0,5P
"
2022.08.25_17.21.44",7.089034,43.603326,5G,5G,-104.0,-3.0,18.0,5.0,-,6.0,6.0,142.0,142.0,D,PERIODIC,-110.0,-11.0,5.0,5P
"
2022.08.25_17.21.45",7.089034,43.603326,5G,5G,-104.0,-3.0,18.0,5.0,-,36617.0,207.0,142.0,142.0,D,PERIODIC,-110.0,-11.0,5.0,5P
"
2022.08.25_17.21.46",7.089034,43.603326,5G,5G,-104.0,-3.0,18.0,7.0,-,3.0,6.0,142.0,142.0,D,PERIODIC,-109.0,-13.0,8.0,5P
"
2022.08.25_17.21.47",7.089034,43.603326,5G,5G,-104.0,-3.0,18.0,7.0,-,40505.0,206.0,142.0,142.0,D,PERIODIC,-109.0,-13.0,8.0,5P
"
2022.08.25_17.21.48",7.089034,43.603326,5G,5G,-104.0,-3.0,18.0,10.0,-,3.0,5.0,142.0,142.0,D,PERIODIC,-110.0,-13.0,3.0,5P
"
2022.08.25_17.21.49",7.089034,43.603326,5G,5G,-107.0,-3.0,13.0,10.0,-,5.0,6.0,142.0,142.0,D,PERIODIC,-110.0,-13.0,3.0,5P
"
2022.08.25_17.21.50",7.089034,43.603326,5G,5G,-106.0,-3.0,15.0,10.0,-,36613.0,206.0,142.0,142.0,D,PERIODIC,-108.0,-13.0,4.0,5P
"
2022.08.25_17.21.51",7.089034,43.603326,5G,5G,-106.0,-3.0,15.0,10.0,-,3.0,5.0,142.0,142.0,D,PERIODIC,-108.0,-13.0,4.0,5P
"
2022.08.25_17.21.52",7.089034,43.603326,5G,5G,-106.0,-3.0,15.0,10.0,-,36616.0,197.0,142.0,142.0,D,PERIODIC,-108.0,-14.0,1.0,5P
"
2022.08.25_17.21.53",7.089034,43.603326,5G,5G,-106.0,-3.0,15.0,10.0,-,4.0,5.0,142.0,142.0,D,PERIODIC,-108.0,-14.0,1.0,5P
"
2022.08.25_17.21.54",7.089034,43.603326,5G,5G,-106.0,-3.0,15.0,11.0,-,46986.0,206.0,142.0,142.0,D,PERIODIC,-109.0,-14.0,6.0,5P
"
2022.08.25_17.21.55",7.089034,43.603326,5G,5G,-106.0,-3.0,15.0,11.0,-,8.0,16.0,142.0,142.0,D,PERIODIC,-109.0,-14.0,6.0,5P
"
2022.08.25_17.21.56",7.089034,43.603326,5G,5G,-106.0,-3.0,15.0,7.0,-,41020.0,198.0,142.0,142.0,D,PERIODIC,-109.0,-12.0,4.0,5P
"
2022.08.25_17.21.57",7.089034,43.603326,5G,5G,-106.0,-3.0,15.0,7.0,-,3607.0,102.0,142.0,142.0,D,PERIODIC,-109.0,-12.0,4.0,5P
"
2022.08.25_17.21.58",7.089034,43.603326,5G,5G,-106.0,-3.0,15.0,11.0,-,35855.0,181.0,142.0,142.0,D,PERIODIC,-109.0,-13.0,3.0,5P
"
2022.08.25_17.21.59",7.089034,43.603326,5G,5G,-106.0,-3.0,15.0,11.0,-,671.0,19.0,142.0,142.0,D,PERIODIC,-109.0,-13.0,3.0,5P
"
2022.08.25_17.22.00",7.089034,43.603326,5G,5G,-106.0,-3.0,15.0,11.0,-,16018.0,89.0,142.0,142.0,D,PERIODIC,-109.0,-13.0,2.0,5P
"
2022.08.25_17.22.01",7.089034,43.603326,5G,5G,-106.0,-3.0,15.0,11.0,-,20601.0,109.0,142.0,142.0,D,PERIODIC,-109.0,-13.0,2.0,5P
"
2022.08.25_17.22.02",7.089034,43.603326,5G,5G,-106.0,-3.0,15.0,10.0,-,3.0,14.0,142.0,142.0,D,PERIODIC,-108.0,-13.0,5.0,5P
"
2022.08.25_17.22.03",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,10.0,-,36611.0,189.0,142.0,142.0,D,PERIODIC,-108.0,-13.0,5.0,5P
"
2022.08.25_17.22.04",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,10.0,-,4.0,5.0,142.0,142.0,D,PERIODIC,-110.0,-14.0,4.0,5P
"
2022.08.25_17.22.05",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,10.0,-,3.0,5.0,142.0,142.0,D,PERIODIC,-110.0,-14.0,4.0,5P
"
2022.08.25_17.22.06",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,9.0,-,36454.0,205.0,142.0,142.0,D,PERIODIC,-110.0,-14.0,6.0,5P
"
2022.08.25_17.22.07",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,9.0,-,7.0,6.0,142.0,142.0,D,PERIODIC,-110.0,-14.0,6.0,5P
"
2022.08.25_17.22.08",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,11.0,-,36614.0,205.0,142.0,142.0,D,PERIODIC,-110.0,-13.0,3.0,5P
"
2022.08.25_17.22.09",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,11.0,-,4.0,6.0,142.0,142.0,D,PERIODIC,-110.0,-13.0,3.0,5P
"
2022.08.25_17.22.10",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,9.0,-,36617.0,197.0,142.0,142.0,D,PERIODIC,-110.0,-13.0,-1.0,5P
"
2022.08.25_17.22.11",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,9.0,-,4.0,5.0,142.0,142.0,D,PERIODIC,-110.0,-13.0,-1.0,5P
"
2022.08.25_17.22.12",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,6.0,-,23260.0,141.0,142.0,142.0,D,PERIODIC,-110.0,-13.0,5.0,5P
"
2022.08.25_17.22.13",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,6.0,-,7637.0,116.0,142.0,142.0,D,PERIODIC,-110.0,-13.0,5.0,5P
"
2022.08.25_17.22.14",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,11.0,-,46151.0,286.0,142.0,142.0,D,PERIODIC,-110.0,-14.0,4.0,5P
"
2022.08.25_17.22.15",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,11.0,-,7.0,7.0,142.0,142.0,D,PERIODIC,-110.0,-14.0,4.0,5P
"
2022.08.25_17.22.16",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,4.0,-,33253.0,174.0,142.0,142.0,D,PERIODIC,-110.0,-14.0,4.0,5P
"
2022.08.25_17.22.17",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,4.0,-,9817.0,62.0,142.0,142.0,D,PERIODIC,-110.0,-14.0,4.0,5P
"
2022.08.25_17.22.18",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,9.0,-,2912.0,22.0,142.0,142.0,D,PERIODIC,-110.0,-14.0,1.0,5P
"
2022.08.25_17.22.19",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,9.0,-,38104.0,170.0,142.0,142.0,D,PERIODIC,-110.0,-14.0,1.0,5P
"
2022.08.25_17.22.20",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,11.0,-,3.0,5.0,142.0,142.0,D,PERIODIC,-110.0,-13.0,3.0,5P
"
2022.08.25_17.22.21",7.089034,43.603326,5G,5G,-105.0,-3.0,14.0,11.0,-,4.0,15.0,142.0,142.0,D,PERIODIC,-110.0,-13.0,3.0,5P
"
2022.08.25_17.22.22",7.089034,43.603326,5G,5G,-106.0,-3.0,12.0,4.0,-,36617.0,196.0,142.0,142.0,D,PERIODIC,-109.0,-15.0,4.0,5P
