Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.12_18.05.25",7.068860000000001,43.614902,5G,5G,-107.0,-3.0,7.0,14.0,-,0.0,0.0,173.0,173.0,I,LOG START,-88.0,-13.0,6.0,5P12
"
2022.09.12_18.05.26",7.068860000000001,43.614902,5G,5G,-107.0,-3.0,7.0,14.0,-,0.0,0.0,173.0,173.0,I,PERIODIC,-88.0,-13.0,6.0,5P12
"
2022.09.12_18.05.26",7.068903,43.614882,5G,5G,-107.0,-3.0,7.0,14.0,-,0.0,0.0,173.0,173.0,I,,-88.0,-13.0,6.0,5P12
"
2022.09.12_18.05.27",7.069103999999999,43.614810999999996,5G,5G,-103.0,-3.0,13.0,14.0,-,92.0,36.0,173.0,173.0,D,,-88.0,-13.0,6.0,5P12
"
2022.09.12_18.05.27",7.069103999999999,43.614810999999996,5G,5G,-103.0,-3.0,13.0,13.0,-,92.0,36.0,173.0,173.0,D,PERIODIC,-90.0,-13.0,8.0,5P12
"
2022.09.12_18.05.28",7.069103999999999,43.614810999999996,5G,5G,-103.0,-3.0,13.0,13.0,-,0.0,0.0,173.0,173.0,D,PERIODIC,-90.0,-13.0,8.0,5P12
"
2022.09.12_18.05.29",7.069103999999999,43.614810999999996,5G,5G,-111.0,-3.0,5.0,14.0,-,12.0,22.0,173.0,173.0,D,PERIODIC,-88.0,-13.0,2.0,5P12
"
2022.09.12_18.05.30",7.069103999999999,43.614810999999996,5G,5G,-111.0,-3.0,5.0,14.0,-,0.0,0.0,173.0,173.0,D,PERIODIC,-88.0,-13.0,2.0,5P12
"
2022.09.12_18.05.31",7.069103999999999,43.614810999999996,5G,5G,-111.0,-3.0,5.0,14.0,-,0.0,0.0,173.0,173.0,I,PERIODIC,-88.0,-13.0,6.0,5P12
"
2022.09.12_18.05.32",7.069103999999999,43.614810999999996,5G,5G,-111.0,-3.0,5.0,14.0,-,0.0,0.0,173.0,173.0,I,PERIODIC,-88.0,-13.0,6.0,5P12
"
2022.09.12_18.05.33",7.069103999999999,43.614810999999996,5G,5G,-111.0,-3.0,5.0,7.0,-,0.0,0.0,173.0,173.0,I,PERIODIC,-88.0,-12.0,6.0,5P12
"
2022.09.12_18.05.34",7.069103999999999,43.614810999999996,5G,5G,-111.0,-3.0,5.0,7.0,-,3.0,3.0,173.0,173.0,D,PERIODIC,-88.0,-12.0,6.0,5P12
"
2022.09.12_18.05.35",7.069103999999999,43.614810999999996,5G,5G,-111.0,-3.0,5.0,13.0,-,0.0,0.0,173.0,173.0,D,PERIODIC,-89.0,-13.0,-1.0,5P12
"
2022.09.12_18.05.36",7.069103999999999,43.614810999999996,5G,5G,-113.0,-3.0,4.0,13.0,-,1.0,1.0,173.0,173.0,D,PERIODIC,-89.0,-13.0,-1.0,5P12
"
2022.09.12_18.05.37",7.069103999999999,43.614810999999996,5G,5G,-113.0,-3.0,4.0,7.0,-,0.0,0.0,173.0,173.0,D,PERIODIC,-91.0,-14.0,6.0,5P12
"
2022.09.12_18.05.38",7.069103999999999,43.614810999999996,5G,5G,-113.0,-3.0,4.0,7.0,-,1.0,1.0,173.0,173.0,D,PERIODIC,-91.0,-14.0,6.0,5P12
"
2022.09.12_18.05.39",7.069103999999999,43.614810999999996,5G,5G,-113.0,-3.0,4.0,13.0,-,0.0,0.0,173.0,173.0,D,PERIODIC,-91.0,-13.0,3.0,5P12
"
2022.09.12_18.05.40",7.069103999999999,43.614810999999996,5G,5G,-113.0,-3.0,4.0,13.0,-,0.0,0.0,173.0,173.0,D,PERIODIC,-91.0,-13.0,3.0,5P12
"
2022.09.12_18.05.41",7.069103999999999,43.614810999999996,5G,5G,-113.0,-3.0,4.0,8.0,-,0.0,0.0,173.0,173.0,D,PERIODIC,-91.0,-13.0,-1.0,5P12
"
2022.09.12_18.05.42",7.069103999999999,43.614810999999996,5G,5G,-113.0,-3.0,4.0,8.0,-,0.0,0.0,173.0,173.0,D,PERIODIC,-91.0,-13.0,-1.0,5P12
"
2022.09.12_18.05.43",7.069103999999999,43.614810999999996,5G,5G,-113.0,-3.0,4.0,8.0,-,13.0,6.0,173.0,173.0,D,PERIODIC,-91.0,-13.0,5.0,5P12
"
2022.09.12_18.05.44",7.069103999999999,43.614810999999996,5G,5G,-112.0,-3.0,8.0,8.0,-,0.0,15.0,173.0,173.0,D,PERIODIC,-91.0,-13.0,5.0,5P12
"
2022.09.12_18.05.45",7.069103999999999,43.614810999999996,5G,5G,-107.0,-3.0,10.0,11.0,-,108.0,3.0,173.0,173.0,D,PERIODIC,-93.0,-11.0,3.0,5P12
"
2022.09.12_18.05.46",7.069103999999999,43.614810999999996,5G,5G,-107.0,-3.0,10.0,11.0,-,0.0,0.0,173.0,173.0,D,PERIODIC,-93.0,-11.0,3.0,5P12
"
2022.09.12_18.05.47",7.069103999999999,43.614810999999996,5G,5G,-107.0,-3.0,10.0,4.0,-,0.0,0.0,173.0,173.0,I,PERIODIC,-96.0,-13.0,3.0,5P12
"
2022.09.12_18.05.48",7.069103999999999,43.614810999999996,5G,5G,-107.0,-3.0,10.0,4.0,-,4.0,8.0,173.0,173.0,D,PERIODIC,-96.0,-13.0,3.0,5P12
"
2022.09.12_18.05.49",7.069103999999999,43.614810999999996,5G,5G,-107.0,-3.0,10.0,13.0,-,69.0,14.0,173.0,173.0,D,PERIODIC,-96.0,-15.0,8.0,5P12
"
2022.09.12_18.05.50",7.069103999999999,43.614810999999996,5G,5G,-107.0,-3.0,10.0,13.0,-,39.0,17.0,173.0,173.0,D,PERIODIC,-96.0,-15.0,8.0,5P12
"
2022.09.12_18.05.51",7.069103999999999,43.614810999999996,5G,5G,-107.0,-3.0,10.0,3.0,-,0.0,0.0,173.0,173.0,D,PERIODIC,-95.0,-15.0,5.0,5P12
"
2022.09.12_18.05.52",7.069103999999999,43.614810999999996,5G,5G,-107.0,-3.0,10.0,3.0,-,0.0,0.0,173.0,173.0,I,PERIODIC,-95.0,-15.0,5.0,5P12
"
2022.09.12_18.05.53",7.069103999999999,43.614810999999996,5G,5G,-107.0,-3.0,10.0,9.0,-,0.0,0.0,173.0,173.0,I,PERIODIC,-96.0,-14.0,5.0,5P12
"
2022.09.12_18.05.54",7.069103999999999,43.614810999999996,5G,5G,-107.0,-3.0,10.0,9.0,-,0.0,0.0,173.0,173.0,I,PERIODIC,-96.0,-14.0,5.0,5P12
