Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.29_12.41.39",7.075614,43.618032,62.0,5G,5G,-118.0,-4.0,3.0,9.0,-,1.0,1.0,177.0,177.0,D,LOG START,-114.0,-14.0,-1.0,5P29
"
2022.08.29_12.41.40",7.075636,43.61805,62.0,5G,5G,-118.0,-4.0,3.0,9.0,-,1.0,1.0,177.0,177.0,D,,-114.0,-14.0,-1.0,5P29
"
2022.08.29_12.41.40",7.075636,43.61805,62.0,5G,5G,-118.0,-4.0,3.0,9.0,-,0.0,0.0,177.0,177.0,I,PERIODIC,-112.0,-13.0,-1.0,5P29
"
2022.08.29_12.41.41",7.075636,43.61805,62.0,5G,5G,-118.0,-4.0,3.0,9.0,-,0.0,0.0,177.0,177.0,I,PERIODIC,-112.0,-13.0,-1.0,5P29
"
2022.08.29_12.41.42",7.075636,43.61805,62.0,5G,5G,-118.0,-4.0,3.0,10.0,-,0.0,0.0,177.0,177.0,I,PERIODIC,-113.0,-13.0,1.0,5P29
"
2022.08.29_12.41.43",7.075636,43.61805,62.0,5G,5G,-114.0,-4.0,3.0,10.0,-,0.0,0.0,177.0,177.0,I,PERIODIC,-113.0,-13.0,1.0,5P29
"
2022.08.29_12.41.44",7.075636,43.61805,62.0,5G,5G,-119.0,-5.0,3.0,7.0,-,0.0,0.0,177.0,177.0,I,PERIODIC,-114.0,-15.0,0.0,5P29
"
2022.08.29_12.41.45",7.075636,43.61805,62.0,5G,5G,-119.0,-5.0,3.0,7.0,-,0.0,0.0,177.0,177.0,I,PERIODIC,-114.0,-15.0,0.0,5P29
"
2022.08.29_12.41.46",7.075636,43.61805,62.0,5G,5G,-119.0,-5.0,3.0,8.0,-,0.0,0.0,177.0,177.0,D,PERIODIC,-109.0,-11.0,5.0,5P29
"
2022.08.29_12.41.47",7.075636,43.61805,62.0,5G,5G,-119.0,-5.0,3.0,8.0,-,105.0,58.0,177.0,177.0,D,PERIODIC,-109.0,-11.0,5.0,5P29
"
2022.08.29_12.41.48",7.075636,43.61805,62.0,5G,5G,-116.0,-4.0,3.0,7.0,-,98.0,71.0,177.0,177.0,D,PERIODIC,-111.0,-14.0,2.0,5P29
"
2022.08.29_12.41.49",7.075636,43.61805,62.0,5G,5G,-116.0,-4.0,3.0,7.0,-,234.0,226.0,177.0,177.0,D,PERIODIC,-111.0,-14.0,2.0,5P29
"
2022.08.29_12.41.50",7.075636,43.61805,62.0,5G,5G,-117.0,-4.0,3.0,8.0,-,104.0,28.0,177.0,177.0,D,PERIODIC,-114.0,-13.0,2.0,5P29
"
2022.08.29_12.41.51",7.075636,43.61805,62.0,5G,5G,-117.0,-4.0,3.0,8.0,-,74.0,26.0,177.0,177.0,D,PERIODIC,-114.0,-13.0,2.0,5P29
"
2022.08.29_12.41.52",7.075636,43.61805,62.0,5G,5G,-118.0,-5.0,3.0,9.0,-,23.0,5.0,177.0,177.0,D,PERIODIC,-110.0,-13.0,4.0,5P29
"
2022.08.29_12.41.53",7.075636,43.61805,62.0,5G,5G,-118.0,-5.0,3.0,9.0,-,93.0,23.0,177.0,177.0,D,PERIODIC,-110.0,-13.0,4.0,5P29
"
2022.08.29_12.41.54",7.075636,43.61805,62.0,5G,5G,-118.0,-5.0,3.0,9.0,-,3.0,1.0,177.0,177.0,D,PERIODIC,-110.0,-13.0,5.0,5P29
"
2022.08.29_12.41.55",7.075636,43.61805,62.0,5G,5G,-118.0,-5.0,3.0,9.0,-,1.0,0.0,177.0,177.0,D,PERIODIC,-110.0,-13.0,5.0,5P29
"
2022.08.29_12.41.56",7.075636,43.61805,62.0,5G,5G,-118.0,-5.0,3.0,12.0,-,0.0,0.0,177.0,177.0,I,PERIODIC,-111.0,-13.0,6.0,5P29
"
2022.08.29_12.41.57",7.075636,43.61805,62.0,5G,5G,-115.0,-4.0,4.0,12.0,-,0.0,0.0,177.0,177.0,I,PERIODIC,-111.0,-13.0,6.0,5P29
"
2022.08.29_12.41.58",7.075636,43.61805,62.0,5G,5G,-114.0,-3.0,4.0,9.0,-,0.0,0.0,177.0,177.0,I,PERIODIC,-110.0,-13.0,3.0,5P29
