Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.08_16.06.42",7.069057000000001,43.614917999999996,5G,5G,-92.0,-3.0,21.0,14,-,1.0,1.0,177.0,177.0,D,LOG START,-102.0,-16.0,-10.0,5P7s
"
2022.09.08_16.06.43",7.068971,43.614906,5G,5G,-92.0,-3.0,21.0,14,-,1.0,1.0,185.0,185.0,D,,-102.0,-16.0,-10.0,5P7s
"
2022.09.08_16.06.43",7.068971,43.614906,5G,5G,-92.0,-3.0,21.0,8,-,0.0,0.0,185.0,185.0,D,PERIODIC,-103.0,-13.0,-7.0,5P7s
"
2022.09.08_16.06.44",7.068971,43.614906,5G,5G,-92.0,-3.0,21.0,8,-,0.0,0.0,185.0,185.0,I,PERIODIC,-103.0,-13.0,-7.0,5P7s
"
2022.09.08_16.06.45",7.068971,43.614906,5G,5G,-97.0,-3.0,19.0,11,-,0.0,0.0,185.0,185.0,I,PERIODIC,-105.0,-12.0,-1.0,5P7s
"
2022.09.08_16.06.46",7.068971,43.614906,5G,5G,-97.0,-3.0,19.0,11,-,0.0,0.0,185.0,185.0,I,PERIODIC,-105.0,-12.0,-1.0,5P7s
"
2022.09.08_16.06.47",7.068971,43.614906,5G,5G,-97.0,-3.0,19.0,12,-,4.0,24.0,185.0,185.0,D,PERIODIC,-105.0,-14.0,-4.0,5P7s
"
2022.09.08_16.06.48",7.068971,43.614906,5G,5G,-99.0,-3.0,19.0,12,-,15.0,1.0,185.0,185.0,D,PERIODIC,-105.0,-14.0,-4.0,5P7s
"
2022.09.08_16.06.49",7.068971,43.614906,5G,5G,-103.0,-3.0,11.0,12,-,0.0,0.0,185.0,185.0,I,PERIODIC,-104.0,-15.0,1.0,5P7s
"
2022.09.08_16.06.50",7.068971,43.614906,5G,5G,-103.0,-3.0,11.0,12,-,0.0,0.0,185.0,185.0,I,PERIODIC,-104.0,-15.0,1.0,5P7s
"
2022.09.08_16.06.51",7.068971,43.614906,5G,5G,-103.0,-3.0,11.0,10,-,0.0,0.0,185.0,185.0,I,PERIODIC,-105.0,-15.0,-5.0,5P7s
"
2022.09.08_16.06.52",7.068971,43.614906,5G,5G,-103.0,-3.0,11.0,10,-,0.0,1.0,185.0,185.0,D,PERIODIC,-105.0,-15.0,-5.0,5P7s
"
2022.09.08_16.06.53",7.068971,43.614906,5G,5G,-102.0,-3.0,15.0,10,-,0.0,0.0,185.0,185.0,D,PERIODIC,-106.0,-14.0,-4.0,5P7s
"
2022.09.08_16.06.54",7.068971,43.614906,5G,5G,-102.0,-3.0,15.0,10,-,0.0,0.0,185.0,185.0,I,PERIODIC,-106.0,-14.0,-4.0,5P7s
"
2022.09.08_16.06.55",7.068971,43.614906,5G,5G,-102.0,-3.0,15.0,9,-,0.0,0.0,185.0,185.0,I,PERIODIC,-107.0,-16.0,-4.0,5P7s
"
2022.09.08_16.06.56",7.068971,43.614906,5G,5G,-106.0,-3.0,13.0,9,-,0.0,0.0,185.0,185.0,I,PERIODIC,-107.0,-16.0,-4.0,5P7s
"
2022.09.08_16.06.57",7.068971,43.614906,5G,5G,-106.0,-3.0,13.0,11,-,0.0,0.0,185.0,185.0,I,PERIODIC,-104.0,-12.0,5.0,5P7s
"
2022.09.08_16.06.58",7.068971,43.614906,5G,5G,-108.0,-3.0,8.0,11,-,0.0,0.0,185.0,185.0,I,PERIODIC,-104.0,-12.0,5.0,5P7s
"
2022.09.08_16.06.59",7.068971,43.614906,5G,5G,-108.0,-3.0,8.0,9,-,0.0,0.0,185.0,185.0,I,PERIODIC,-107.0,-17.0,-5.0,5P7s
"
2022.09.08_16.07.00",7.068971,43.614906,5G,5G,-108.0,-3.0,8.0,6,-,0.0,0.0,185.0,185.0,I,CELL_RESELECTION_5G5G,-102.0,-13.0,7.0,5P7s
"
2022.09.08_16.07.01",7.068971,43.614906,5G,5G,-98.0,-3.0,19.0,6,-,0.0,0.0,185.0,185.0,I,PERIODIC,-104.0,-13.0,7.0,5P7s
"
2022.09.08_16.07.02",7.068971,43.614906,5G,5G,-95.0,-3.0,21.0,6,-,1.0,1.0,185.0,185.0,D,PERIODIC,-104.0,-13.0,7.0,5P7s
"
2022.09.08_16.07.03",7.068971,43.614906,5G,5G,-106.0,-4.0,10.0,10,-,0.0,0.0,185.0,185.0,D,PERIODIC,-106.0,-12.0,10.0,5P7s
"
2022.09.08_16.07.04",7.068971,43.614906,5G,5G,-106.0,-4.0,10.0,10,-,0.0,0.0,185.0,185.0,I,PERIODIC,-106.0,-12.0,10.0,5P7s
"
2022.09.08_16.07.05",7.068971,43.614906,5G,5G,-97.0,-3.0,16.0,10,-,0.0,0.0,185.0,185.0,I,PERIODIC,-104.0,-14.0,3.0,5P7s
"
2022.09.08_16.07.06",7.068971,43.614906,5G,5G,-97.0,-3.0,16.0,10,-,44.0,8.0,185.0,185.0,D,PERIODIC,-104.0,-14.0,3.0,5P7s
"
2022.09.08_16.07.07",7.068971,43.614906,5G,5G,-97.0,-3.0,16.0,8,-,6.0,8.0,185.0,185.0,D,PERIODIC,-105.0,-13.0,3.0,5P7s
"
2022.09.08_16.07.08",7.068971,43.614906,5G,5G,-97.0,-3.0,16.0,8,-,0.0,0.0,185.0,185.0,D,PERIODIC,-105.0,-13.0,3.0,5P7s
"
2022.09.08_16.07.09",7.068971,43.614906,5G,5G,-97.0,-3.0,16.0,12,-,0.0,0.0,185.0,185.0,I,PERIODIC,-104.0,-12.0,2.0,5P7s
