Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.08_16.12.46",7.071689,43.615207,5G,5G,-95.0,-3.0,6.0,9,-,0.0,0.0,173.0,173.0,I,LOG START,-100.0,-8.0,10.0,5P7s2
"
2022.09.08_16.12.47",7.07171,43.615214,5G,5G,-95.0,-3.0,6.0,9,-,0.0,0.0,173.0,173.0,I,,-100.0,-8.0,10.0,5P7s2
"
2022.09.08_16.12.47",7.07171,43.615214,5G,5G,-95.0,-3.0,6.0,9,-,0.0,0.0,173.0,173.0,I,PERIODIC,-100.0,-8.0,10.0,5P7s2
"
2022.09.08_16.12.48",7.07171,43.615214,5G,5G,-95.0,-3.0,6.0,9,-,0.0,0.0,173.0,173.0,I,PERIODIC,-100.0,-8.0,10.0,5P7s2
"
2022.09.08_16.12.49",7.07171,43.615214,5G,5G,-95.0,-3.0,6.0,9,-,0.0,0.0,173.0,173.0,I,PERIODIC,-100.0,-8.0,10.0,5P7s2
"
2022.09.08_16.12.50",7.07171,43.615214,5G,5G,-95.0,-3.0,6.0,9,-,0.0,0.0,173.0,173.0,I,PERIODIC,-100.0,-8.0,10.0,5P7s2
"
2022.09.08_16.12.51",7.07171,43.615214,5G,5G,-90.0,-3.0,18.0,9,-,0.0,0.0,173.0,173.0,I,PERIODIC,-100.0,-8.0,10.0,5P7s2
"
2022.09.08_16.12.52",7.07171,43.615214,5G,5G,-90.0,-3.0,20.0,12,-,0.0,0.0,173.0,173.0,I,PERIODIC,-92.0,-7.0,4.0,5P7s2
"
2022.09.08_16.12.53",7.07171,43.615214,5G,5G,-90.0,-3.0,20.0,12,-,0.0,0.0,173.0,173.0,D,PERIODIC,-92.0,-7.0,4.0,5P7s2
"
2022.09.08_16.12.54",7.07171,43.615214,5G,5G,-90.0,-3.0,20.0,8,-,0.0,0.0,173.0,173.0,I,PERIODIC,-96.0,-7.0,8.0,5P7s2
"
2022.09.08_16.12.55",7.07171,43.615214,5G,5G,-89.0,-3.0,18.0,8,-,0.0,0.0,173.0,173.0,I,PERIODIC,-96.0,-7.0,8.0,5P7s2
"
2022.09.08_16.12.56",7.07171,43.615214,5G,5G,-85.0,-3.0,21.0,9,-,0.0,0.0,173.0,173.0,I,PERIODIC,-96.0,-7.0,6.0,5P7s2
"
2022.09.08_16.12.57",7.07171,43.615214,5G,5G,-85.0,-3.0,21.0,9,-,0.0,0.0,173.0,173.0,I,PERIODIC,-96.0,-7.0,6.0,5P7s2
"
2022.09.08_16.12.58",7.07171,43.615214,5G,5G,-85.0,-3.0,21.0,14,-,0.0,0.0,173.0,173.0,I,PERIODIC,-95.0,-7.0,9.0,5P7s2
