Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.26_13.31.13",7.119705000000001,43.583839000000005,62.0,5G,5G,-92.0,-3.0,21.0,12,-,0.0,0.0,66.0,66.0,I,LOG START,-93.0,-13.0,8.0,5Pe26
"
2022.08.26_13.31.13",7.119725999999999,43.583784,62.0,5G,5G,-92.0,-3.0,21.0,12,-,0.0,0.0,74.0,74.0,I,,-93.0,-13.0,8.0,5Pe26
"
2022.08.26_13.31.14",7.119725999999999,43.583784,62.0,5G,5G,-92.0,-3.0,21.0,12,-,0.0,0.0,74.0,74.0,I,PERIODIC,-93.0,-13.0,8.0,5Pe26
"
2022.08.26_13.31.15",7.119725999999999,43.583784,62.0,5G,5G,-92.0,-3.0,21.0,12,-,0.0,0.0,74.0,74.0,I,PERIODIC,-93.0,-13.0,8.0,5Pe26
"
2022.08.26_13.31.16",7.119725999999999,43.583784,62.0,5G,5G,-92.0,-3.0,21.0,-,-,0.0,0.0,74.0,74.0,I,PERIODIC,-93.0,-13.0,13.0,5Pe26
"
2022.08.26_13.31.17",7.119725999999999,43.583784,62.0,4G,LTE,-93.0,-13.0,13.0,-,-93,0.0,0.0,74.0,74.0,I,PERIODIC,,,,5Pe26
"
2022.08.26_13.31.17",7.119725999999999,43.583784,62.0,4G,LTE,-93.0,-13.0,13.0,-,-93,0.0,0.0,74.0,74.0,I,,,,,5Pe26
"
2022.08.26_13.31.18",7.119725999999999,43.583784,62.0,4G,LTE,-93.0,-13.0,11.0,-,-93,0.0,0.0,74.0,74.0,I,PERIODIC,,,,5Pe26
"
2022.08.26_13.31.19",7.119725999999999,43.583784,62.0,4G,LTE,-93.0,-13.0,11.0,-,-93,0.0,0.0,74.0,74.0,I,PERIODIC,,,,5Pe26
"
2022.08.26_13.31.20",7.119725999999999,43.583784,62.0,4G,LTE,-94.0,-12.0,16.0,-,-93,0.0,0.0,74.0,74.0,I,PERIODIC,,,,5Pe26
"
2022.08.26_13.31.21",7.119725999999999,43.583784,62.0,4G,LTE,-94.0,-12.0,16.0,-,-93,0.0,0.0,74.0,74.0,I,PERIODIC,,,,5Pe26
"
2022.08.26_13.31.22",7.119725999999999,43.583784,62.0,4G,LTE,-94.0,-13.0,11.0,-,-93,0.0,0.0,74.0,74.0,I,PERIODIC,,,,5Pe26
