Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.10_16.15.33",7.096682,43.575038,73.0,5G,5G,-127.0,-13.0,-5.0,7,-,0.0,0.0,62.0,62.0,I,LOG START,-95.0,-14.0,-1.0,5Po
"
2022.09.10_16.15.33",7.096682,43.575038,73.0,5G,5G,-127.0,-13.0,-5.0,7,-,0.0,0.0,62.0,62.0,I,PERIODIC,-95.0,-14.0,-1.0,5Po
"
2022.09.10_16.15.34",7.096794,43.575018,73.0,5G,5G,-127.0,-13.0,-5.0,7,-,0.0,0.0,62.0,62.0,I,,-95.0,-14.0,-1.0,5Po
"
2022.09.10_16.15.34",7.096794,43.575018,73.0,5G,5G,-127.0,-13.0,-5.0,7,-,0.0,0.0,62.0,62.0,I,PERIODIC,-95.0,-14.0,-1.0,5Po
"
2022.09.10_16.15.35",7.096794,43.575018,73.0,5G,5G,-127.0,-13.0,-5.0,4,-,0.0,0.0,62.0,62.0,I,PERIODIC,-96.0,-13.0,-1.0,5Po
"
2022.09.10_16.15.36",7.096794,43.575018,73.0,4G,LTE,-96.0,-13.0,-1.0,4,-97,0.0,0.0,62.0,62.0,I,PERIODIC,,,,5Po
"
2022.09.10_16.15.36",7.096794,43.575018,73.0,4G,LTE,-96.0,-13.0,-1.0,4,-97,0.0,0.0,62.0,62.0,I,,,,,5Po
"
2022.09.10_16.15.37",7.096794,43.575018,73.0,4G,LTE,-96.0,-15.0,-6.0,7,-97,0.0,0.0,62.0,62.0,I,PERIODIC,,,,5Po
"
2022.09.10_16.15.38",7.096794,43.575018,73.0,4G,LTE,-96.0,-15.0,-6.0,7,-93,0.0,0.0,62.0,62.0,I,PERIODIC,,,,5Po
"
2022.09.10_16.15.39",7.096794,43.575018,73.0,5G,5G,-126.0,-13.0,-2.0,4,-,0.0,0.0,62.0,62.0,I,PERIODIC,-94.0,-14.0,-8.0,5Po
"
2022.09.10_16.15.39",7.096794,43.575018,73.0,5G,5G,-126.0,-13.0,-2.0,4,-,0.0,0.0,62.0,62.0,I,,-94.0,-14.0,-8.0,5Po
"
2022.09.10_16.15.40",7.096794,43.575018,73.0,5G,5G,-127.0,-14.0,-3.0,4,-,20.0,50.0,62.0,62.0,D,PERIODIC,-94.0,-14.0,-8.0,5Po
"
2022.09.10_16.15.41",7.096794,43.575018,73.0,4G,LTE,-95.0,-14.0,-5.0,6,-95,3.0,2.0,62.0,62.0,D,PERIODIC,,,,5Po
"
2022.09.10_16.15.41",7.096794,43.575018,73.0,4G,LTE,-95.0,-14.0,-5.0,6,-95,3.0,2.0,62.0,62.0,D,,,,,5Po
"
2022.09.10_16.15.42",7.096794,43.575018,73.0,4G,LTE,-95.0,-14.0,-5.0,6,-99,0.0,0.0,62.0,62.0,I,PERIODIC,,,,5Po
"
2022.09.10_16.15.43",7.096794,43.575018,72.0,4G,LTE,-95.0,-14.0,3.0,6,-99,0.0,0.0,62.0,62.0,I,HANDOVER_DATA_4G4G,,,,5Po
"
2022.09.10_16.15.44",7.096794,43.575018,72.0,5G,5G,-123.0,-11.0,-1.0,6,-,3.0,2.0,62.0,62.0,D,PERIODIC,-95.0,-14.0,3.0,5Po
"
2022.09.10_16.15.44",7.096794,43.575018,72.0,5G,5G,-123.0,-11.0,-1.0,6,-,3.0,2.0,62.0,62.0,D,,-95.0,-14.0,3.0,5Po
"
2022.09.10_16.15.45",7.096794,43.575018,72.0,5G,5G,-123.0,-11.0,-1.0,8,-,0.0,0.0,62.0,62.0,D,PERIODIC,-94.0,-14.0,3.0,5Po
"
2022.09.10_16.15.46",7.096794,43.575018,72.0,5G,5G,-123.0,-12.0,-3.0,8,-,0.0,0.0,62.0,62.0,I,PERIODIC,-94.0,-14.0,3.0,5Po
"
2022.09.10_16.15.47",7.096794,43.575018,72.0,5G,5G,-125.0,-13.0,-5.0,9,-,0.0,0.0,62.0,62.0,I,PERIODIC,-95.0,-13.0,3.0,5Po
"
2022.09.10_16.15.48",7.096794,43.575018,72.0,5G,5G,-125.0,-13.0,-5.0,9,-,0.0,0.0,62.0,62.0,D,PERIODIC,-95.0,-13.0,3.0,5Po
"
2022.09.10_16.15.49",7.096913000000001,43.574991,72.0,5G,5G,-125.0,-13.0,-5.0,9,-,0.0,0.0,62.0,62.0,D,,-95.0,-13.0,3.0,5Po
"
2022.09.10_16.15.49",7.096913000000001,43.574991,72.0,5G,5G,-125.0,-13.0,-5.0,8,-,0.0,0.0,62.0,62.0,I,PERIODIC,-95.0,-14.0,6.0,5Po
"
2022.09.10_16.15.50",7.096913000000001,43.574991,72.0,5G,5G,-125.0,-13.0,-5.0,8,-,0.0,0.0,62.0,62.0,I,PERIODIC,-95.0,-14.0,6.0,5Po
"
2022.09.10_16.15.51",7.096913000000001,43.574991,72.0,5G,5G,-122.0,-9.0,-1.0,8,-,0.0,0.0,62.0,62.0,I,PERIODIC,-97.0,-12.0,6.0,5Po
"
2022.09.10_16.15.52",7.096913000000001,43.574991,72.0,5G,5G,-120.0,-7.0,0.0,8,-,0.0,0.0,62.0,62.0,I,PERIODIC,-97.0,-12.0,6.0,5Po
"
2022.09.10_16.15.53",7.096913000000001,43.574991,72.0,5G,5G,-120.0,-7.0,0.0,4,-,0.0,0.0,62.0,62.0,I,PERIODIC,-99.0,-15.0,6.0,5Po
"
2022.09.10_16.15.54",7.096913000000001,43.574991,72.0,5G,5G,-120.0,-7.0,0.0,4,-,0.0,0.0,62.0,62.0,D,PERIODIC,-99.0,-15.0,6.0,5Po
"
2022.09.10_16.15.55",7.096913000000001,43.574991,72.0,5G,5G,-120.0,-7.0,0.0,8,-,0.0,10.0,62.0,62.0,D,PERIODIC,-98.0,-15.0,6.0,5Po
"
2022.09.10_16.15.56",7.096913000000001,43.574991,72.0,5G,5G,-120.0,-7.0,0.0,8,-,0.0,0.0,62.0,62.0,D,PERIODIC,-98.0,-15.0,6.0,5Po
"
2022.09.10_16.15.57",7.096913000000001,43.574991,72.0,5G,5G,-120.0,-7.0,0.0,9,-,0.0,0.0,62.0,62.0,I,PERIODIC,-98.0,-12.0,6.0,5Po
