Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.26_17.42.11",7.069336,43.614767,62.0,5G,5G,-110.0,-3.0,4.0,11.0,-,62.0,15.0,179.0,179.0,D,LOG START,-103.0,-12.0,9.0,5Po26s
"
2022.09.26_17.42.12",7.069371,43.614706,62.0,5G,5G,-110.0,-3.0,4.0,11.0,-,62.0,15.0,192.0,192.0,D,,-103.0,-12.0,9.0,5Po26s
"
2022.09.26_17.42.12",7.069371,43.614706,62.0,5G,5G,-110.0,-3.0,4.0,11.0,-,4.0,4.0,192.0,192.0,D,PERIODIC,-102.0,-13.0,11.0,5Po26s
"
2022.09.26_17.42.13",7.069371,43.614706,62.0,5G,5G,-110.0,-3.0,4.0,11.0,-,0.0,0.0,192.0,192.0,I,PERIODIC,-102.0,-13.0,11.0,5Po26s
"
2022.09.26_17.42.14",7.069371,43.614706,62.0,5G,5G,-109.0,-3.0,5.0,15.0,-,0.0,0.0,192.0,192.0,I,PERIODIC,-99.0,-11.0,11.0,5Po26s
"
2022.09.26_17.42.15",7.069371,43.614706,62.0,5G,5G,-110.0,-3.0,8.0,15.0,-,0.0,0.0,192.0,192.0,I,PERIODIC,-99.0,-11.0,11.0,5Po26s
"
2022.09.26_17.42.16",7.069371,43.614706,62.0,5G,5G,-114.0,-5.0,1.0,15.0,-,4.0,6.0,192.0,192.0,D,PERIODIC,-100.0,-9.0,20.0,5Po26s
"
2022.09.26_17.42.17",7.069371,43.614706,62.0,5G,5G,-109.0,-4.0,10.0,15.0,-,0.0,0.0,192.0,192.0,D,PERIODIC,-100.0,-9.0,20.0,5Po26s
"
2022.09.26_17.42.18",7.069371,43.614706,62.0,5G,5G,-111.0,-3.0,10.0,14.0,-,0.0,0.0,192.0,192.0,I,PERIODIC,-101.0,-12.0,15.0,5Po26s
"
2022.09.26_17.42.19",7.069371,43.614706,62.0,5G,5G,-111.0,-3.0,10.0,14.0,-,0.0,0.0,192.0,192.0,I,PERIODIC,-101.0,-12.0,15.0,5Po26s
"
2022.09.26_17.42.20",7.069371,43.614706,62.0,5G,5G,-111.0,-3.0,10.0,12.0,-,0.0,0.0,192.0,192.0,I,PERIODIC,-100.0,-12.0,17.0,5Po26s
"
2022.09.26_17.42.21",7.069371,43.614706,62.0,5G,5G,-111.0,-3.0,10.0,12.0,-,0.0,0.0,192.0,192.0,I,PERIODIC,-100.0,-12.0,17.0,5Po26s
"
2022.09.26_17.42.22",7.069371,43.614706,62.0,5G,5G,-111.0,-3.0,10.0,14.0,-,0.0,0.0,192.0,192.0,I,PERIODIC,-101.0,-11.0,18.0,5Po26s
"
2022.09.26_17.42.23",7.069371,43.614706,62.0,5G,5G,-111.0,-3.0,10.0,14.0,-,0.0,0.0,192.0,192.0,I,PERIODIC,-101.0,-11.0,18.0,5Po26s
"
2022.09.26_17.42.24",7.069371,43.614706,62.0,5G,5G,-111.0,-3.0,10.0,13.0,-,0.0,0.0,192.0,192.0,I,PERIODIC,-102.0,-12.0,15.0,5Po26s
"
2022.09.26_17.42.25",7.069371,43.614706,62.0,5G,5G,-111.0,-3.0,10.0,13.0,-,0.0,10.0,192.0,192.0,D,PERIODIC,-102.0,-12.0,15.0,5Po26s
"
2022.09.26_17.42.26",7.069371,43.614706,62.0,5G,5G,-114.0,-4.0,4.0,13.0,-,15.0,17.0,192.0,192.0,D,PERIODIC,-102.0,-12.0,15.0,5Po26s
"
2022.09.26_17.42.27",7.069371,43.614706,62.0,5G,5G,-114.0,-4.0,4.0,11.0,-,487.0,98.0,192.0,192.0,D,PERIODIC,-106.0,-13.0,10.0,5Po26s
"
2022.09.26_17.42.28",7.069371,43.614706,62.0,5G,5G,-111.0,-4.0,7.0,11.0,-,333.0,72.0,192.0,192.0,D,PERIODIC,-106.0,-13.0,10.0,5Po26s
"
2022.09.26_17.42.29",7.069371,43.614706,62.0,5G,5G,-107.0,-3.0,12.0,11.0,-,6.0,0.0,192.0,192.0,D,PERIODIC,-104.0,-12.0,13.0,5Po26s
"
2022.09.26_17.42.30",7.069371,43.614706,62.0,5G,5G,-107.0,-3.0,12.0,11.0,-,48.0,20.0,192.0,192.0,D,PERIODIC,-104.0,-12.0,13.0,5Po26s
"
2022.09.26_17.42.31",7.069371,43.614706,62.0,5G,5G,-107.0,-3.0,12.0,11.0,-,2.0,0.0,192.0,192.0,D,PERIODIC,-101.0,-12.0,13.0,5Po26s
"
2022.09.26_17.42.32",7.069371,43.614706,62.0,5G,5G,-107.0,-3.0,12.0,11.0,-,32.0,8.0,192.0,192.0,D,PERIODIC,-101.0,-12.0,13.0,5Po26s
"
2022.09.26_17.42.33",7.069371,43.614706,62.0,5G,5G,-107.0,-3.0,12.0,15.0,-,10.0,57.0,192.0,192.0,D,PERIODIC,-101.0,-11.0,16.0,5Po26s
