Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.29_19.08.21",7.069677,43.614539,63.0,4G,LTE,-105.0,-10.0,1.0,-,-105,0.0,0.0,173.0,173.0,I,LOG START,,,,5Pt29
"
2022.08.29_19.08.21",7.069677,43.614539,63.0,4G,LTE,-105.0,-10.0,1.0,-,-105,0.0,0.0,173.0,173.0,I,PERIODIC,,,,5Pt29
"
2022.08.29_19.08.22",7.069788000000001,43.614582,63.0,4G,LTE,-105.0,-10.0,1.0,-,-105,0.0,0.0,171.0,171.0,I,,,,,5Pt29
"
2022.08.29_19.08.22",7.069788000000001,43.614582,63.0,4G,LTE,-105.0,-10.0,8.0,-,-105,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5Pt29
"
2022.08.29_19.08.23",7.069788000000001,43.614582,63.0,4G,LTE,-105.0,-10.0,8.0,-,-105,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5Pt29
"
2022.08.29_19.08.24",7.069788000000001,43.614582,63.0,4G,LTE,-105.0,-8.0,3.0,-,-107,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5Pt29
"
2022.08.29_19.08.25",7.069788000000001,43.614582,63.0,4G,LTE,-105.0,-8.0,3.0,-,-107,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5Pt29
"
2022.08.29_19.08.27",7.069788000000001,43.614582,63.0,4G,LTE,-106.0,-8.0,1.0,-,-107,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5Pt29
"
2022.08.29_19.08.28",7.069788000000001,43.614582,63.0,4G,LTE,-106.0,-8.0,1.0,-,-107,0.0,0.0,171.0,171.0,I,PERIODIC,,,,5Pt29
"
2022.08.29_19.08.29",7.069788000000001,43.614582,63.0,4G,LTE,-107.0,-10.0,3.0,9,-107,95.0,71.0,171.0,171.0,D,PERIODIC,,,,5Pt29
"
2022.08.29_19.08.30",7.069788000000001,43.614582,63.0,4G,LTE,-107.0,-10.0,3.0,9,-107,0.0,0.0,171.0,171.0,D,PERIODIC,,,,5Pt29
"
2022.08.29_19.08.31",7.069788000000001,43.614582,63.0,5G,5G,-94.0,-3.0,12.0,7,-,0.0,0.0,171.0,171.0,I,PERIODIC,-105.0,-9.0,3.0,5Pt29
"
2022.08.29_19.08.31",7.069788000000001,43.614582,63.0,5G,5G,-94.0,-3.0,12.0,7,-,0.0,0.0,171.0,171.0,I,,-105.0,-9.0,3.0,5Pt29
"
2022.08.29_19.08.32",7.069788000000001,43.614582,63.0,5G,5G,-97.0,-3.0,11.0,7,-,32.0,9.0,171.0,171.0,D,PERIODIC,-105.0,-9.0,3.0,5Pt29
"
2022.08.29_19.08.33",7.069788000000001,43.614582,63.0,5G,5G,-98.0,-3.0,9.0,7,-,43.0,9.0,171.0,171.0,D,PERIODIC,-107.0,-9.0,-2.0,5Pt29
"
2022.08.29_19.08.34",7.069788000000001,43.614582,63.0,5G,5G,-101.0,-3.0,7.0,7,-,65.0,38.0,171.0,171.0,D,PERIODIC,-107.0,-9.0,-2.0,5Pt29
"
2022.08.29_19.08.35",7.069788000000001,43.614582,63.0,5G,5G,-101.0,-3.0,7.0,13,-,83.0,29.0,171.0,171.0,D,PERIODIC,-107.0,-8.0,5.0,5Pt29
"
2022.08.29_19.08.36",7.069788000000001,43.614582,63.0,5G,5G,-102.0,-3.0,9.0,13,-,93.0,24.0,171.0,171.0,D,PERIODIC,-107.0,-8.0,5.0,5Pt29
"
2022.08.29_19.08.37",7.069788000000001,43.614582,63.0,5G,5G,-102.0,-3.0,9.0,12,-,63.0,13.0,171.0,171.0,D,PERIODIC,-109.0,-10.0,3.0,5Pt29
"
2022.08.29_19.08.38",7.069788000000001,43.614582,63.0,5G,5G,-104.0,-3.0,4.0,12,-,0.0,0.0,171.0,171.0,D,PERIODIC,-109.0,-10.0,3.0,5Pt29
"
2022.08.29_19.08.39",7.069788000000001,43.614582,63.0,5G,5G,-104.0,-3.0,4.0,8,-,0.0,0.0,171.0,171.0,I,PERIODIC,-107.0,-8.0,7.0,5Pt29
"
2022.08.29_19.08.40",7.069788000000001,43.614582,63.0,5G,5G,-104.0,-3.0,4.0,8,-,0.0,0.0,171.0,171.0,I,PERIODIC,-107.0,-8.0,7.0,5Pt29
"
2022.08.29_19.08.41",7.069788000000001,43.614582,63.0,5G,5G,-104.0,-3.0,4.0,8,-,0.0,0.0,171.0,171.0,I,PERIODIC,-107.0,-10.0,7.0,5Pt29
"
2022.08.29_19.08.42",7.069788000000001,43.614582,63.0,5G,5G,-104.0,-3.0,4.0,8,-,0.0,0.0,171.0,171.0,I,PERIODIC,-107.0,-10.0,7.0,5Pt29
"
2022.08.29_19.08.43",7.069788000000001,43.614582,63.0,5G,5G,-104.0,-3.0,4.0,12,-,15.0,53.0,171.0,171.0,D,PERIODIC,-106.0,-7.0,4.0,5Pt29
"
2022.08.29_19.08.44",7.069788000000001,43.614582,63.0,5G,5G,-104.0,-3.0,6.0,12,-,0.0,0.0,171.0,171.0,D,PERIODIC,-106.0,-7.0,4.0,5Pt29
"
2022.08.29_19.08.45",7.069788000000001,43.614582,63.0,5G,5G,-104.0,-3.0,6.0,7,-,0.0,0.0,171.0,171.0,I,PERIODIC,-107.0,-9.0,-1.0,5Pt29
"
2022.08.29_19.08.46",7.069788000000001,43.614582,63.0,5G,5G,-104.0,-3.0,6.0,7,-,0.0,0.0,171.0,171.0,I,PERIODIC,-107.0,-9.0,-1.0,5Pt29
"
2022.08.29_19.08.47",7.069788000000001,43.614582,63.0,5G,5G,-103.0,-3.0,10.0,3,-,0.0,1.0,171.0,171.0,D,PERIODIC,-106.0,-9.0,-1.0,5Pt29
"
2022.08.29_19.08.48",7.069788000000001,43.614582,63.0,5G,5G,-103.0,-3.0,6.0,3,-,30.0,41.0,171.0,171.0,D,PERIODIC,-106.0,-9.0,-1.0,5Pt29
"
2022.08.29_19.08.48",7.069913000000001,43.614582,63.0,5G,5G,-103.0,-3.0,6.0,3,-,30.0,41.0,171.0,171.0,D,,-106.0,-9.0,-1.0,5Pt29
"
2022.08.29_19.08.49",7.069913000000001,43.614582,63.0,5G,5G,-103.0,-3.0,6.0,9,-,0.0,0.0,171.0,171.0,I,PERIODIC,-108.0,-9.0,6.0,5Pt29
"
2022.08.29_19.08.50",7.069913000000001,43.614582,63.0,5G,5G,-103.0,-3.0,6.0,9,-,0.0,0.0,171.0,171.0,I,PERIODIC,-108.0,-9.0,6.0,5Pt29
"
2022.08.29_19.08.51",7.069913000000001,43.614582,63.0,5G,5G,-103.0,-3.0,6.0,13,-,0.0,0.0,171.0,171.0,I,PERIODIC,-109.0,-8.0,6.0,5Pt29
"
2022.08.29_19.08.52",7.069913000000001,43.614582,63.0,5G,5G,-99.0,-3.0,10.0,13,-,0.0,0.0,171.0,171.0,I,PERIODIC,-109.0,-8.0,6.0,5Pt29
"
2022.08.29_19.08.53",7.069913000000001,43.614582,63.0,5G,5G,-102.0,-3.0,4.0,12,-,0.0,0.0,171.0,171.0,I,PERIODIC,-106.0,-8.0,9.0,5Pt29
"
2022.08.29_19.08.54",7.069913000000001,43.614582,63.0,5G,5G,-102.0,-3.0,4.0,12,-,0.0,0.0,171.0,171.0,I,PERIODIC,-106.0,-8.0,9.0,5Pt29
"
2022.08.29_19.08.55",7.069913000000001,43.614582,63.0,5G,5G,-102.0,-3.0,4.0,14,-,0.0,0.0,171.0,171.0,I,PERIODIC,-105.0,-7.0,9.0,5Pt29
