Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.08_16.43.58",7.0880149999999995,43.602738,4G,LTE,-109.0,-12.0,4.0,-,-111,0.0,0.0,127.0,127.0,I,LOG START,,,,5Pt7s
"
2022.09.08_16.43.59",7.0880149999999995,43.602738,4G,LTE,-109.0,-12.0,4.0,-,-111,0.0,0.0,127.0,127.0,I,,,,,5Pt7s
"
2022.09.08_16.43.59",7.0880149999999995,43.602738,4G,LTE,-111.0,-13.0,3.0,-,-111,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5Pt7s
"
2022.09.08_16.44.00",7.0880149999999995,43.602738,4G,LTE,-111.0,-13.0,3.0,-,-109,0.0,0.0,127.0,127.0,I,PERIODIC,,,,5Pt7s
"
2022.09.08_16.44.01",7.0880149999999995,43.602738,4G,LTE,-105.0,-12.0,1.0,9,-109,0.0,0.0,127.0,127.0,D,PERIODIC,,,,5Pt7s
"
2022.09.08_16.44.02",7.0880149999999995,43.602738,5G,5G,-90.0,-3.0,14.0,9,-,0.0,0.0,127.0,127.0,I,PERIODIC,-105.0,-12.0,1.0,5Pt7s
"
2022.09.08_16.44.02",7.0880149999999995,43.602738,5G,5G,-90.0,-3.0,14.0,9,-,0.0,0.0,127.0,127.0,I,,-105.0,-12.0,1.0,5Pt7s
"
2022.09.08_16.44.03",7.0880149999999995,43.602738,5G,5G,-90.0,-3.0,14.0,11,-,0.0,0.0,127.0,127.0,I,PERIODIC,-105.0,-12.0,5.0,5Pt7s
"
2022.09.08_16.44.04",7.0880149999999995,43.602738,5G,5G,-90.0,-3.0,19.0,11,-,0.0,0.0,127.0,127.0,I,PERIODIC,-105.0,-12.0,5.0,5Pt7s
"
2022.09.08_16.44.05",7.0880149999999995,43.602738,5G,5G,-90.0,-3.0,19.0,10,-,0.0,0.0,127.0,127.0,I,PERIODIC,-102.0,-11.0,10.0,5Pt7s
"
2022.09.08_16.44.06",7.0880149999999995,43.602738,5G,5G,-90.0,-3.0,19.0,10,-,0.0,0.0,127.0,127.0,I,PERIODIC,-102.0,-11.0,10.0,5Pt7s
"
2022.09.08_16.44.07",7.0880149999999995,43.602738,5G,5G,-90.0,-3.0,19.0,12,-,0.0,0.0,127.0,127.0,I,PERIODIC,-103.0,-14.0,3.0,5Pt7s
"
2022.09.08_16.44.08",7.0880149999999995,43.602738,5G,5G,-93.0,-3.0,15.0,12,-,14.0,1.0,127.0,127.0,D,PERIODIC,-103.0,-14.0,3.0,5Pt7s
"
2022.09.08_16.44.09",7.0880149999999995,43.602738,5G,5G,-93.0,-3.0,15.0,14,-,13.0,75.0,127.0,127.0,D,PERIODIC,-104.0,-12.0,0.0,5Pt7s
"
2022.09.08_16.44.10",7.0880149999999995,43.602738,5G,5G,-97.0,-3.0,19.0,14,-,0.0,0.0,127.0,127.0,D,PERIODIC,-104.0,-12.0,1.0,5Pt7s
"
2022.09.08_16.44.11",7.0880149999999995,43.602738,5G,5G,-97.0,-3.0,19.0,9,-,0.0,0.0,127.0,127.0,I,PERIODIC,-107.0,-14.0,1.0,5Pt7s
"
2022.09.08_16.44.12",7.0880149999999995,43.602738,5G,5G,-97.0,-3.0,19.0,9,-,0.0,0.0,127.0,127.0,I,PERIODIC,-107.0,-14.0,1.0,5Pt7s
"
2022.09.08_16.44.13",7.0880149999999995,43.602738,5G,5G,-97.0,-3.0,18.0,14,-,0.0,0.0,127.0,127.0,I,PERIODIC,-101.0,-13.0,8.0,5Pt7s
"
2022.09.08_16.44.14",7.0880149999999995,43.602738,5G,5G,-98.0,-3.0,19.0,14,-,0.0,0.0,127.0,127.0,I,PERIODIC,-101.0,-13.0,8.0,5Pt7s
"
2022.09.08_16.44.15",7.0880149999999995,43.602738,5G,5G,-98.0,-3.0,19.0,8,-,0.0,0.0,127.0,127.0,I,PERIODIC,-104.0,-13.0,1.0,5Pt7s
"
2022.09.08_16.44.16",7.0880149999999995,43.602738,5G,5G,-98.0,-3.0,19.0,8,-,0.0,0.0,127.0,127.0,I,PERIODIC,-104.0,-13.0,1.0,5Pt7s
