Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.10_16.24.03",7.10058,43.573281,61.0,5G,5G,-84.0,-3.0,21.0,9,-,0.0,0.0,44.0,44.0,I,LOG START,-85.0,-7.0,13.0,5Py
"
2022.09.10_16.24.03",7.10058,43.573281,61.0,5G,5G,-84.0,-3.0,21.0,9,-,0.0,0.0,44.0,44.0,I,PERIODIC,-85.0,-7.0,13.0,5Py
"
2022.09.10_16.24.03",7.100649000000001,43.573246999999995,61.0,5G,5G,-84.0,-3.0,21.0,9,-,0.0,0.0,54.0,54.0,I,,-85.0,-7.0,13.0,5Py
"
2022.09.10_16.24.04",7.100649000000001,43.573246999999995,61.0,5G,5G,-84.0,-3.0,21.0,-,-,0.0,0.0,54.0,54.0,I,PERIODIC,-85.0,-8.0,23.0,5Py
"
2022.09.10_16.24.05",7.100649000000001,43.573246999999995,61.0,4G,LTE,-85.0,-8.0,23.0,-,-93,0.0,0.0,54.0,54.0,I,PERIODIC,,,,5Py
"
2022.09.10_16.24.05",7.100649000000001,43.573246999999995,61.0,4G,LTE,-85.0,-8.0,23.0,-,-93,0.0,0.0,54.0,54.0,I,,,,,5Py
"
2022.09.10_16.24.06",7.100649000000001,43.573246999999995,61.0,4G,LTE,-93.0,-7.0,22.0,-,-93,0.0,0.0,54.0,54.0,I,PERIODIC,,,,5Py
"
2022.09.10_16.24.07",7.100649000000001,43.573246999999995,61.0,4G,LTE,-93.0,-7.0,22.0,-,-93,0.0,0.0,54.0,54.0,I,PERIODIC,,,,5Py
"
2022.09.10_16.24.08",7.100649000000001,43.573246999999995,61.0,4G,LTE,-94.0,-7.0,27.0,-,-91,0.0,0.0,54.0,54.0,I,PERIODIC,,,,5Py
"
2022.09.10_16.24.09",7.100649000000001,43.573246999999995,61.0,4G,LTE,-94.0,-7.0,27.0,-,-89,0.0,0.0,54.0,54.0,I,PERIODIC,,,,5Py
"
2022.09.10_16.24.10",7.100649000000001,43.573246999999995,61.0,4G,LTE,-88.0,-7.0,26.0,-,-87,0.0,0.0,54.0,54.0,I,PERIODIC,,,,5Py
"
2022.09.10_16.24.11",7.100649000000001,43.573246999999995,61.0,4G,LTE,-88.0,-7.0,26.0,-,-87,0.0,0.0,54.0,54.0,I,PERIODIC,,,,5Py
"
2022.09.10_16.24.12",7.100649000000001,43.573246999999995,61.0,4G,LTE,-86.0,-7.0,18.0,-,-83,0.0,0.0,54.0,54.0,I,PERIODIC,,,,5Py
"
2022.09.10_16.24.13",7.100649000000001,43.573246999999995,61.0,4G,LTE,-86.0,-7.0,18.0,-,-83,0.0,0.0,54.0,54.0,I,PERIODIC,,,,5Py
