Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.09_17.15.04",7.109883,43.571841,5G,5G,-119.0,-8.0,1.0,6,-,124.0,35.0,55.0,55.0,D,LOG START,-97.0,-13.0,-3.0,5Pz9s
"
2022.09.09_17.15.04",7.109871000000001,43.571784,5G,5G,-119.0,-8.0,1.0,6,-,124.0,35.0,93.0,93.0,D,,-97.0,-13.0,-3.0,5Pz9s
"
2022.09.09_17.15.04",7.109871000000001,43.571784,5G,5G,-116.0,-5.0,4.0,7,-,0.0,0.0,93.0,93.0,D,PERIODIC,-97.0,-14.0,-4.0,5Pz9s
"
2022.09.09_17.15.05",7.109871000000001,43.571784,5G,5G,-116.0,-5.0,4.0,7,-,0.0,0.0,93.0,93.0,I,PERIODIC,-97.0,-14.0,-4.0,5Pz9s
"
2022.09.09_17.15.06",7.109871000000001,43.571784,5G,5G,-118.0,-7.0,1.0,8,-,0.0,2.0,93.0,93.0,D,PERIODIC,-95.0,-12.0,-12.0,5Pz9s
"
2022.09.09_17.15.07",7.109871000000001,43.571784,5G,5G,-118.0,-7.0,1.0,8,-,0.0,0.0,93.0,93.0,D,PERIODIC,-95.0,-12.0,-12.0,5Pz9s
"
2022.09.09_17.15.08",7.109871000000001,43.571784,5G,5G,-118.0,-7.0,1.0,8,-,0.0,0.0,93.0,93.0,I,PERIODIC,-96.0,-12.0,-12.0,5Pz9s
"
2022.09.09_17.15.09",7.109871000000001,43.571784,5G,5G,-117.0,-8.0,1.0,8,-,0.0,0.0,93.0,93.0,I,PERIODIC,-96.0,-12.0,-2.0,5Pz9s
"
2022.09.09_17.15.10",7.109871000000001,43.571784,5G,5G,-117.0,-8.0,1.0,8,-,0.0,0.0,93.0,93.0,I,PERIODIC,-94.0,-11.0,-2.0,5Pz9s
"
2022.09.09_17.15.11",7.109871000000001,43.571784,5G,5G,-117.0,-8.0,1.0,8,-,0.0,0.0,93.0,93.0,D,PERIODIC,-94.0,-11.0,-2.0,5Pz9s
"
2022.09.09_17.15.12",7.109871000000001,43.571784,5G,5G,-117.0,-8.0,1.0,8,-,0.0,0.0,93.0,93.0,I,PERIODIC,-95.0,-11.0,-1.0,5Pz9s
"
2022.09.09_17.15.13",7.109871000000001,43.571784,5G,5G,-117.0,-8.0,1.0,8,-,1.0,1.0,93.0,93.0,D,PERIODIC,-95.0,-11.0,-1.0,5Pz9s
"
2022.09.09_17.15.14",7.109871000000001,43.571784,5G,5G,-117.0,-8.0,1.0,10,-,0.0,0.0,93.0,93.0,D,PERIODIC,-94.0,-11.0,2.0,5Pz9s
"
2022.09.09_17.15.15",7.109871000000001,43.571784,5G,5G,-117.0,-8.0,1.0,10,-,0.0,0.0,93.0,93.0,I,PERIODIC,-94.0,-11.0,2.0,5Pz9s
"
2022.09.09_17.15.16",7.109871000000001,43.571784,5G,5G,-117.0,-8.0,1.0,6,-,0.0,2.0,93.0,93.0,D,PERIODIC,-94.0,-11.0,-1.0,5Pz9s
"
2022.09.09_17.15.17",7.109871000000001,43.571784,5G,5G,-117.0,-8.0,1.0,6,-,0.0,0.0,93.0,93.0,D,PERIODIC,-94.0,-11.0,-1.0,5Pz9s
"
2022.09.09_17.15.18",7.109871000000001,43.571784,5G,5G,-117.0,-8.0,1.0,6,-,0.0,0.0,93.0,93.0,I,PERIODIC,-94.0,-11.0,-2.0,5Pz9s
"
2022.09.09_17.15.19",7.109871000000001,43.571784,5G,5G,-117.0,-8.0,1.0,6,-,0.0,0.0,93.0,93.0,I,PERIODIC,-94.0,-11.0,-2.0,5Pz9s
"
2022.09.09_17.15.20",7.109871000000001,43.571784,5G,5G,-117.0,-8.0,1.0,8,-,0.0,0.0,93.0,93.0,I,PERIODIC,-94.0,-12.0,-1.0,5Pz9s
"
2022.09.09_17.15.21",7.109871000000001,43.571784,5G,5G,-116.0,-8.0,1.0,8,-,0.0,0.0,93.0,93.0,I,PERIODIC,-94.0,-12.0,-1.0,5Pz9s
