Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.18_18.41.39",7.076181,43.618324,4G,LTE,-77.0,-4.0,19.0,12.0,-60,0.0,0.0,169.0,169.0,D,LOG START,A11jk
"
2022.07.18_18.41.40",7.076181,43.618324,4G,LTE,-76.0,-7.0,18.0,12.0,-60,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.41.41",7.076181,43.618324,4G,LTE,-76.0,-7.0,18.0,12.0,-60,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.41.42",7.076181,43.618324,4G,LTE,-76.0,-6.0,17.0,14.0,-58,0.0,0.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.41.42",7.076181,43.618324,4G,LTE,-76.0,-6.0,17.0,13.0,-60,19.0,3.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.41.44",7.076181,43.618324,4G,LTE,-78.0,-5.0,27.0,13.0,-61,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.41.45",7.076181,43.618324,4G,LTE,-78.0,-5.0,27.0,13.0,-61,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.41.46",7.076181,43.618324,4G,LTE,-78.0,-5.0,18.0,13.0,-61,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.41.47",7.076181,43.618324,4G,LTE,-78.0,-5.0,18.0,13.0,-61,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.41.48",7.076181,43.618324,4G,LTE,-78.0,-6.0,23.0,13.0,-61,19.0,3.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.41.49",7.076181,43.618324,4G,LTE,-78.0,-6.0,23.0,13.0,-61,51.0,4.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.41.50",7.076181,43.618324,4G,LTE,-78.0,-5.0,24.0,13.0,-61,0.0,0.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.41.51",7.076181,43.618324,4G,LTE,-78.0,-5.0,24.0,13.0,-61,0.0,0.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.41.52",7.076181,43.618324,4G,LTE,-77.0,-5.0,25.0,13.0,-61,0.0,3.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.41.53",7.076181,43.618324,4G,LTE,-77.0,-5.0,25.0,13.0,-61,73.0,5.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.41.54",7.076181,43.618324,4G,LTE,-77.0,-5.0,24.0,13.0,-61,0.0,0.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.41.55",7.076181,43.618324,4G,LTE,-77.0,-5.0,24.0,12.0,-59,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.41.56",7.076181,43.618324,4G,LTE,-76.0,-5.0,24.0,12.0,-59,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.41.57",7.076181,43.618324,4G,LTE,-76.0,-5.0,24.0,12.0,-59,0.0,0.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.41.58",7.076181,43.618324,4G,LTE,-76.0,-9.0,24.0,12.0,-59,19.0,2.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.41.59",7.076181,43.618324,4G,LTE,-76.0,-9.0,24.0,12.0,-59,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.42.00",7.076181,43.618324,4G,LTE,-77.0,-8.0,22.0,13.0,-62,254.0,100.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.01",7.076181,43.618324,4G,LTE,-77.0,-8.0,22.0,12.0,-66,20.0,2.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.02",7.076181,43.618324,4G,LTE,-84.0,-4.0,24.0,11.0,-66,0.0,0.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.03",7.076181,43.618324,4G,LTE,-84.0,-4.0,24.0,11.0,-66,19.0,2.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.04",7.076181,43.618324,4G,LTE,-94.0,-4.0,25.0,11.0,-65,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.42.05",7.076181,43.618324,4G,LTE,-94.0,-4.0,25.0,11.0,-65,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.42.06",7.076181,43.618324,4G,LTE,-83.0,-5.0,23.0,11.0,-65,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.42.07",7.076181,43.618324,4G,LTE,-83.0,-5.0,23.0,11.0,-64,0.0,1.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.08",7.076181,43.618324,4G,LTE,-81.0,-5.0,24.0,11.0,-64,18.0,1.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.09",7.076181,43.618324,4G,LTE,-81.0,-5.0,24.0,11.0,-64,137.0,49.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.10",7.076181,43.618324,4G,LTE,-82.0,-4.0,24.0,11.0,-64,64.0,22.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.11",7.076181,43.618324,4G,LTE,-82.0,-4.0,24.0,14.0,-64,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.42.12",7.076181,43.618324,4G,LTE,-81.0,-10.0,24.0,14.0,-64,53.0,6.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.13",7.076181,43.618324,4G,LTE,-81.0,-10.0,24.0,13.0,-64,18.0,1.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.14",7.076181,43.618324,4G,LTE,-81.0,-4.0,23.0,13.0,-64,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.42.15",7.076181,43.618324,4G,LTE,-81.0,-4.0,23.0,13.0,-64,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.42.16",7.076181,43.618324,4G,LTE,-81.0,-5.0,23.0,13.0,-64,0.0,0.0,169.0,169.0,I,PERIODIC,A11jk
"
2022.07.18_18.42.17",7.076181,43.618324,4G,LTE,-81.0,-5.0,23.0,12.0,-64,19.0,2.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.18",7.076181,43.618324,4G,LTE,-81.0,-6.0,26.0,9.0,-68,176.0,44.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.19",7.076181,43.618324,4G,LTE,-81.0,-6.0,26.0,8.0,-64,315.0,89.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.20",7.076181,43.618324,4G,LTE,-81.0,-6.0,26.0,14.0,-61,1752.0,407.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.21",7.076181,43.618324,4G,LTE,-78.0,-5.0,25.0,14.0,-61,15534.0,410.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.22",7.076181,43.618324,4G,LTE,-78.0,-5.0,25.0,13.0,-63,75190.0,784.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.23",7.076181,43.618324,4G,LTE,-80.0,-6.0,24.0,13.0,-63,233.0,139.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.24",7.076181,43.618324,4G,LTE,-80.0,-6.0,24.0,13.0,-63,5445.0,56.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.25",7.076181,43.618324,4G,LTE,-80.0,-5.0,25.0,12.0,-64,47301.0,497.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.26",7.076181,43.618324,4G,LTE,-80.0,-5.0,25.0,12.0,-64,8.0,10.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.27",7.076181,43.618324,4G,LTE,-81.0,-4.0,11.0,12.0,-64,29248.0,287.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.29",7.076181,43.618324,4G,LTE,-81.0,-4.0,11.0,13.0,-78,88852.0,753.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.30",7.076181,43.618324,4G,LTE,-95.0,-10.0,18.0,13.0,-78,82875.0,630.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.31",7.076181,43.618324,4G,LTE,-95.0,-10.0,18.0,9.0,-80,61343.0,523.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.32",7.076181,43.618324,4G,LTE,-97.0,-8.0,19.0,11.0,-82,73885.0,697.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.32",7.076181,43.618324,4G,LTE,-97.0,-8.0,19.0,11.0,-82,112366.0,670.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.33",7.076181,43.618324,4G,LTE,-99.0,-8.0,19.0,11.0,-82,162995.0,1100.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.35",7.076181,43.618324,4G,LTE,-99.0,-8.0,19.0,9.0,-,162954.0,1366.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.36",7.076181,43.618324,4G,LTE,-97.0,-11.0,20.0,9.0,-,130988.0,1355.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.37",7.076181,43.618324,4G,LTE,-97.0,-11.0,20.0,11.0,-70,134642.0,977.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.38",7.076181,43.618324,4G,LTE,-87.0,-12.0,21.0,11.0,-68,149207.0,1128.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.39",7.076181,43.618324,4G,LTE,-87.0,-12.0,21.0,12.0,-70,165536.0,1408.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.40",7.076181,43.618324,4G,LTE,-87.0,-12.0,22.0,10.0,-74,194376.0,1895.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.41",7.076181,43.618324,4G,LTE,-87.0,-12.0,22.0,11.0,-70,92081.0,642.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.42",7.076181,43.618324,4G,LTE,-87.0,-5.0,24.0,13.0,-64,91355.0,1818.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.43",7.076181,43.618324,4G,LTE,-87.0,-5.0,24.0,9.0,-71,26.0,14.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.44",7.076181,43.618324,4G,LTE,-88.0,-5.0,19.0,9.0,-74,86147.0,859.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.45",7.076181,43.618324,4G,LTE,-88.0,-5.0,19.0,14.0,-74,8.0,54.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.46",7.076181,43.618324,4G,LTE,-88.0,-6.0,16.0,14.0,-,68230.0,815.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.47",7.076181,43.618324,4G,LTE,-88.0,-6.0,16.0,9.0,-76,15210.0,92.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.48",7.076181,43.618324,4G,LTE,-91.0,-5.0,23.0,10.0,-67,62456.0,976.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.49",7.076181,43.618324,4G,LTE,-91.0,-5.0,23.0,10.0,-75,32806.0,280.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.50",7.076181,43.618324,4G,LTE,-92.0,-10.0,18.0,10.0,-80,77602.0,588.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.51",7.076181,43.618324,4G,LTE,-92.0,-10.0,18.0,11.0,-73,11173.0,225.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.52",7.076181,43.618324,4G,LTE,-90.0,-7.0,17.0,12.0,-,66629.0,882.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.53",7.076181,43.618324,4G,LTE,-90.0,-7.0,17.0,8.0,-65,27.0,32.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.54",7.076181,43.618324,4G,LTE,-81.0,-11.0,24.0,14.0,-70,93587.0,812.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.55",7.076181,43.618324,4G,LTE,-81.0,-11.0,24.0,12.0,-72,7.0,10.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.56",7.076181,43.618324,4G,LTE,-88.0,-6.0,26.0,12.0,-68,85691.0,1106.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.57",7.076181,43.618324,4G,LTE,-88.0,-6.0,26.0,13.0,-,8.0,11.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.58",7.076181,43.618324,4G,LTE,-94.0,-5.0,18.0,12.0,-74,82747.0,734.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.42.59",7.076181,43.618324,4G,LTE,-94.0,-5.0,18.0,12.0,-74,8847.0,62.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.00",7.076181,43.618324,4G,LTE,-94.0,-5.0,18.0,12.0,-74,76337.0,737.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.01",7.076181,43.618324,4G,LTE,-92.0,-5.0,20.0,12.0,-74,25898.0,192.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.02",7.076181,43.618324,4G,LTE,-92.0,-5.0,20.0,13.0,-76,48856.0,362.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.03",7.076181,43.618324,4G,LTE,-92.0,-5.0,25.0,13.0,-,27.0,14.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.04",7.076181,43.618324,4G,LTE,-92.0,-5.0,25.0,13.0,-61,53921.0,862.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.05",7.076181,43.618324,4G,LTE,-94.0,-5.0,22.0,11.0,-,33463.0,188.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.06",7.076181,43.618324,4G,LTE,-94.0,-5.0,22.0,13.0,-60,27088.0,345.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.07",7.076181,43.618324,4G,LTE,-77.0,-10.0,11.0,10.0,-72,117494.0,825.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.08",7.076181,43.618324,4G,LTE,-77.0,-10.0,11.0,9.0,-73,27.0,15.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.09",7.076181,43.618324,4G,LTE,-89.0,-5.0,20.0,13.0,-61,9755.0,114.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.10",7.076181,43.618324,4G,LTE,-89.0,-5.0,20.0,9.0,-71,64477.0,384.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.11",7.076181,43.618324,4G,LTE,-87.0,-9.0,24.0,9.0,-71,25811.0,357.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.12",7.076181,43.618324,4G,LTE,-87.0,-9.0,24.0,9.0,-69,55886.0,294.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.13",7.076181,43.618324,4G,LTE,-86.0,-7.0,21.0,14.0,-64,26.0,30.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.14",7.076181,43.618324,4G,LTE,-86.0,-7.0,21.0,10.0,-70,80109.0,1066.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.15",7.076181,43.618324,4G,LTE,-86.0,-6.0,8.0,10.0,-70,7.0,10.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.16",7.076181,43.618324,4G,LTE,-86.0,-6.0,8.0,10.0,-76,75596.0,475.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.17",7.076181,43.618324,4G,LTE,-94.0,-6.0,20.0,6.0,-,75433.0,420.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.18",7.076181,43.618324,4G,LTE,-94.0,-6.0,20.0,11.0,-72,26.0,12.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.19",7.076181,43.618324,4G,LTE,-88.0,-7.0,21.0,10.0,-76,86601.0,1011.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.20",7.076181,43.618324,4G,LTE,-88.0,-7.0,21.0,9.0,-78,7.0,10.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.21",7.076181,43.618324,4G,LTE,-94.0,-5.0,17.0,12.0,-80,79143.0,1176.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.22",7.076181,43.618324,4G,LTE,-94.0,-5.0,17.0,7.0,-78,8.0,12.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.23",7.076181,43.618324,4G,LTE,-96.0,-6.0,18.0,7.0,-78,79973.0,1066.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.24",7.076181,43.618324,4G,LTE,-96.0,-6.0,18.0,7.0,-78,13166.0,103.0,169.0,169.0,D,PERIODIC,A11jk
"
2022.07.18_18.43.25",7.076181,43.618324,4G,LTE,-94.0,-11.0,22.0,7.0,-78,31097.0,255.0,169.0,169.0,D,PERIODIC,A11jk
