Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.22_11.11.38",7.044786,43.623984,71.0,4G,LTE,-107.0,-12.0,5.0,8.0,-91,73.0,8.0,192.0,192.0,D,LOG START,A15jk
"
2022.07.22_11.11.38",7.044786,43.623984,71.0,4G,LTE,-111.0,-11.0,3.0,8.0,-91,73.0,8.0,192.0,192.0,D,PERIODIC,A15jk
"
2022.07.22_11.11.39",7.044786,43.623984,71.0,4G,LTE,-111.0,-11.0,3.0,7.0,-93,0.0,0.0,192.0,192.0,D,PERIODIC,A15jk
"
2022.07.22_11.11.40",7.044786,43.623984,71.0,4G,LTE,-110.0,-14.0,3.0,12.0,-94,0.0,0.0,192.0,192.0,I,PERIODIC,A15jk
"
2022.07.22_11.11.41",7.044786,43.623984,71.0,4G,LTE,-110.0,-14.0,3.0,12.0,-94,54.0,5.0,192.0,192.0,D,PERIODIC,A15jk
"
2022.07.22_11.11.42",7.044786,43.623984,71.0,4G,LTE,-110.0,-14.0,3.0,13.0,-92,0.0,0.0,192.0,192.0,D,PERIODIC,A15jk
"
2022.07.22_11.11.43",7.044786,43.623984,71.0,4G,LTE,-110.0,-11.0,5.0,8.0,-90,55.0,50.0,192.0,192.0,D,PERIODIC,A15jk
"
2022.07.22_11.11.44",7.044786,43.623984,71.0,4G,LTE,-110.0,-11.0,5.0,12.0,-89,0.0,0.0,192.0,192.0,D,PERIODIC,A15jk
"
2022.07.22_11.11.45",7.044786,43.623984,71.0,4G,LTE,-109.0,-13.0,5.0,11.0,-91,94.0,87.0,192.0,192.0,D,PERIODIC,A15jk
"
2022.07.22_11.11.46",7.044786,43.623984,71.0,4G,LTE,-109.0,-13.0,5.0,9.0,-92,27.0,11.0,192.0,192.0,D,PERIODIC,A15jk
"
2022.07.22_11.11.47",7.044786,43.623984,71.0,4G,LTE,-114.0,-14.0,2.0,11.0,-,0.0,0.0,192.0,192.0,D,PERIODIC,A15jk
"
2022.07.22_11.11.48",7.044786,43.623984,71.0,4G,LTE,-114.0,-14.0,2.0,8.0,-94,19.0,3.0,192.0,192.0,D,PERIODIC,A15jk
"
2022.07.22_11.11.49",7.044786,43.623984,71.0,4G,LTE,-118.0,-14.0,2.0,11.0,-94,0.0,0.0,192.0,192.0,D,PERIODIC,A15jk
"
2022.07.22_11.11.50",7.044786,43.623984,71.0,4G,LTE,-118.0,-14.0,2.0,12.0,-,0.0,0.0,192.0,192.0,I,PERIODIC,A15jk
"
2022.07.22_11.11.51",7.044786,43.623984,71.0,4G,LTE,-108.0,-12.0,3.0,12.0,-,0.0,0.0,192.0,192.0,I,PERIODIC,A15jk
"
2022.07.22_11.11.52",7.044786,43.623984,71.0,4G,LTE,-108.0,-12.0,3.0,12.0,-,0.0,0.0,192.0,192.0,I,PERIODIC,A15jk
"
2022.07.22_11.11.53",7.044786,43.623984,71.0,4G,LTE,-109.0,-13.0,4.0,12.0,-,42.0,11.0,192.0,192.0,D,PERIODIC,A15jk
"
2022.07.22_11.11.54",7.044786,43.623984,71.0,4G,LTE,-109.0,-13.0,4.0,7.0,-94,0.0,0.0,192.0,192.0,D,PERIODIC,A15jk
"
2022.07.22_11.11.55",7.044786,43.623984,71.0,4G,LTE,-108.0,-14.0,3.0,11.0,-90,0.0,0.0,192.0,192.0,I,PERIODIC,A15jk
"
2022.07.22_11.11.56",7.044786,43.623984,71.0,4G,LTE,-108.0,-14.0,3.0,6.0,-94,0.0,0.0,192.0,192.0,I,PERIODIC,A15jk
"
2022.07.22_11.11.57",7.044786,43.623984,71.0,4G,LTE,-118.0,-14.0,4.0,6.0,-94,23.0,3.0,192.0,192.0,D,PERIODIC,A15jk
