Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.23_19.29.05",7.118672,43.586034000000005,73.0,5G,5G,-85.0,-3.0,22.0,13.0,-,0.0,0.0,88.0,88.0,D,LOG START,-58.0,-15.0,-8.0,A23aug
"
2022.08.23_19.29.06",7.11868,43.586048999999996,73.0,5G,5G,-85.0,-3.0,22.0,13.0,-,0.0,0.0,88.0,88.0,D,,-58.0,-15.0,-8.0,A23aug
"
2022.08.23_19.29.06",7.11868,43.586048999999996,73.0,5G,5G,-85.0,-3.0,22.0,13.0,-,0.0,0.0,88.0,88.0,D,PERIODIC,-58.0,-15.0,-8.0,A23aug
"
2022.08.23_19.29.07",7.11868,43.586048999999996,73.0,5G,5G,-85.0,-3.0,22.0,13.0,-,0.0,0.0,88.0,88.0,I,PERIODIC,-58.0,-15.0,-8.0,A23aug
"
2022.08.23_19.29.08",7.11868,43.586048999999996,73.0,5G,5G,-85.0,-3.0,22.0,14.0,-,0.0,1.0,88.0,88.0,D,PERIODIC,-58.0,-16.0,-8.0,A23aug
"
2022.08.23_19.29.09",7.11868,43.586048999999996,73.0,5G,5G,-85.0,-3.0,22.0,14.0,-,0.0,0.0,88.0,88.0,I,PERIODIC,-58.0,-15.0,-6.0,A23aug
"
2022.08.23_19.29.10",7.11868,43.586048999999996,73.0,5G,5G,-85.0,-3.0,22.0,14.0,-,0.0,0.0,88.0,88.0,I,PERIODIC,-58.0,-15.0,-6.0,A23aug
"
2022.08.23_19.29.11",7.11868,43.586048999999996,73.0,5G,5G,-85.0,-3.0,22.0,14.0,-,0.0,0.0,88.0,88.0,I,PERIODIC,-58.0,-15.0,-6.0,A23aug
"
2022.08.23_19.29.12",7.11868,43.586048999999996,73.0,5G,5G,-87.0,-3.0,22.0,11.0,-,0.0,2.0,88.0,88.0,D,PERIODIC,-58.0,-16.0,-15.0,A23aug
"
2022.08.23_19.29.13",7.11868,43.586048999999996,73.0,5G,5G,-93.0,-3.0,20.0,9.0,-,114.0,47.0,88.0,88.0,D,PERIODIC,-60.0,-15.0,3.0,A23aug
