Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.25_10.57.56",7.044845,43.623781,4G,LTE,-109.0,-15.0,-1.0,9.0,-109.0,1.0,1.0,181.0,181.0,D,LOG START,A25auglte
"
2022.08.25_10.57.57",7.044842999999999,43.62369,4G,LTE,-109.0,-15.0,-1.0,9.0,-109.0,1.0,1.0,189.0,189.0,D,,A25auglte
"
2022.08.25_10.57.57",7.044842999999999,43.62369,4G,LTE,-109.0,-15.0,-1.0,9.0,-109.0,0.0,0.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.57.58",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,-1.0,6.0,-109.0,0.0,0.0,189.0,189.0,I,PERIODIC,A25auglte
"
2022.08.25_10.57.59",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,-1.0,6.0,-109.0,0.0,0.0,189.0,189.0,I,PERIODIC,A25auglte
"
2022.08.25_10.58.00",7.044842999999999,43.62369,4G,LTE,-109.0,-16.0,-2.0,7.0,-109.0,29.0,40.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.01",7.044842999999999,43.62369,4G,LTE,-109.0,-16.0,-2.0,7.0,-109.0,137.0,52.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.02",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,-13.0,5.0,-109.0,18.0,21.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.03",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,-13.0,5.0,-109.0,41.0,25.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.04",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,1.0,6.0,-109.0,96.0,15.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.05",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,1.0,6.0,-111.0,1.0,14.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.06",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,1.0,7.0,-109.0,40.0,21.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.07",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,1.0,7.0,-109.0,0.0,0.0,189.0,189.0,I,PERIODIC,A25auglte
"
2022.08.25_10.58.08",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,-2.0,8.0,-109.0,0.0,0.0,189.0,189.0,I,PERIODIC,A25auglte
"
2022.08.25_10.58.09",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,-2.0,8.0,-109.0,0.0,0.0,189.0,189.0,I,PERIODIC,A25auglte
"
2022.08.25_10.58.10",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,-2.0,8.0,-109.0,0.0,0.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.11",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,-2.0,8.0,-109.0,0.0,0.0,189.0,189.0,I,PERIODIC,A25auglte
"
2022.08.25_10.58.12",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,3.0,5.0,-109.0,0.0,0.0,189.0,189.0,I,PERIODIC,A25auglte
"
2022.08.25_10.58.13",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,3.0,5.0,-109.0,0.0,0.0,189.0,189.0,I,PERIODIC,A25auglte
"
2022.08.25_10.58.14",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,3.0,5.0,-109.0,3.0,2.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.15",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,3.0,5.0,-109.0,2.0,8.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.16",7.044842999999999,43.62369,4G,LTE,-107.0,-14.0,0.0,8.0,-109.0,12.0,27.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.17",7.044842999999999,43.62369,4G,LTE,-107.0,-14.0,0.0,8.0,-109.0,15.0,2.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.18",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,1.0,5.0,-109.0,0.0,0.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.19",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,1.0,5.0,-109.0,0.0,0.0,189.0,189.0,I,PERIODIC,A25auglte
"
2022.08.25_10.58.20",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,1.0,5.0,-109.0,66.0,65.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.21",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,1.0,5.0,-109.0,282.0,38.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.22",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,0.0,8.0,-109.0,55.0,144.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.23",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,0.0,8.0,-109.0,303.0,96.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.24",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,-1.0,8.0,-109.0,4415.0,136.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.25",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,-1.0,8.0,-109.0,3549.0,278.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.26",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,0.0,8.0,-109.0,5880.0,61.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.27",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,0.0,8.0,-107.0,9850.0,73.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.28",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,0.0,6.0,-107.0,9861.0,54.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.29",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,0.0,6.0,-109.0,12663.0,91.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.30",7.044842999999999,43.62369,4G,LTE,-107.0,-14.0,1.0,5.0,-109.0,9997.0,92.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.31",7.044842999999999,43.62369,4G,LTE,-107.0,-14.0,1.0,5.0,-109.0,11933.0,79.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.32",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,1.0,8.0,-109.0,12861.0,71.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.33",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,1.0,8.0,-109.0,8926.0,60.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.34",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,1.0,8.0,-109.0,536.0,9.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.35",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,1.0,8.0,-109.0,5.0,13.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.36",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,3.0,10.0,-109.0,3.0,5.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.37",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,3.0,10.0,-109.0,1884.0,25.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.38",7.044842999999999,43.62369,4G,LTE,-108.0,-14.0,2.0,6.0,-109.0,1249.0,31.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.39",7.044842999999999,43.62369,4G,LTE,-108.0,-14.0,2.0,6.0,-109.0,4904.0,55.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.40",7.044842999999999,43.62369,4G,LTE,-109.0,-15.0,2.0,8.0,-109.0,2893.0,32.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.41",7.044842999999999,43.62369,4G,LTE,-109.0,-15.0,2.0,8.0,-109.0,5813.0,42.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.42",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,2.0,8.0,-109.0,5764.0,43.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.43",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,2.0,8.0,-109.0,8388.0,51.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.44",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,2.0,7.0,-109.0,7854.0,56.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.45",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,2.0,7.0,-109.0,8588.0,68.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.46",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,1.0,7.0,-109.0,8099.0,49.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.47",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,1.0,7.0,-109.0,8234.0,49.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.48",7.044842999999999,43.62369,4G,LTE,-108.0,-17.0,-1.0,6.0,-109.0,8035.0,52.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.49",7.044842999999999,43.62369,4G,LTE,-108.0,-17.0,-1.0,6.0,-109.0,3197.0,47.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.50",7.044842999999999,43.62369,4G,LTE,-108.0,-17.0,-2.0,6.0,-109.0,9842.0,60.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.51",7.044842999999999,43.62369,4G,LTE,-108.0,-17.0,-2.0,6.0,-109.0,12660.0,72.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.52",7.044842999999999,43.62369,4G,LTE,-108.0,-17.0,-3.0,7.0,-109.0,5375.0,50.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.53",7.044842999999999,43.62369,4G,LTE,-108.0,-17.0,-3.0,7.0,-111.0,4453.0,40.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.54",7.044842999999999,43.62369,4G,LTE,-109.0,-15.0,-3.0,7.0,-111.0,3110.0,58.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.55",7.044842999999999,43.62369,4G,LTE,-109.0,-15.0,-3.0,7.0,-111.0,9820.0,65.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.56",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,-3.0,7.0,-109.0,8498.0,54.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.57",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,-3.0,7.0,-111.0,9673.0,65.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.58",7.044842999999999,43.62369,4G,LTE,-108.0,-14.0,-1.0,7.0,-109.0,4565.0,50.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.58.59",7.044842999999999,43.62369,4G,LTE,-108.0,-14.0,-1.0,7.0,-109.0,3277.0,38.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.00",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,1.0,9.0,-109.0,3747.0,57.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.01",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,1.0,9.0,-109.0,5988.0,53.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.02",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,0.0,7.0,-109.0,9394.0,65.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.03",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,0.0,7.0,-109.0,11044.0,73.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.04",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,0.0,7.0,-109.0,10277.0,71.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.05",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,0.0,7.0,-109.0,8672.0,56.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.06",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,1.0,7.0,-109.0,15964.0,87.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.07",7.044842999999999,43.62369,4G,LTE,-108.0,-16.0,1.0,7.0,-109.0,12248.0,79.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.08",7.044842999999999,43.62369,4G,LTE,-109.0,-16.0,1.0,7.0,-109.0,14635.0,92.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.09",7.044842999999999,43.62369,4G,LTE,-109.0,-16.0,1.0,7.0,-109.0,13785.0,77.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.10",7.044842999999999,43.62369,4G,LTE,-109.0,-15.0,-1.0,7.0,-109.0,10089.0,70.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.11",7.044842999999999,43.62369,4G,LTE,-109.0,-15.0,-1.0,7.0,-109.0,6718.0,63.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.12",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,-2.0,7.0,-109.0,8369.0,56.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.13",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,-2.0,7.0,-109.0,8315.0,52.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.14",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,-2.0,7.0,-109.0,7199.0,51.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.15",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,-2.0,7.0,-109.0,5949.0,52.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.16",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,-2.0,7.0,-109.0,7707.0,52.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.17",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,-2.0,7.0,-109.0,5548.0,39.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.18",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,-3.0,7.0,-109.0,6858.0,49.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.19",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,-3.0,7.0,-109.0,6772.0,49.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.20",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,-3.0,8.0,-109.0,4344.0,45.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.21",7.044842999999999,43.62369,4G,LTE,-107.0,-15.0,-3.0,8.0,-109.0,4848.0,43.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.22",7.044842999999999,43.62369,4G,LTE,-107.0,-16.0,-3.0,7.0,-109.0,6182.0,47.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.23",7.044842999999999,43.62369,4G,LTE,-107.0,-16.0,-3.0,7.0,-109.0,7386.0,51.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.25",7.044842999999999,43.62369,4G,LTE,-107.0,-16.0,-3.0,7.0,-107.0,9084.0,60.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.25",7.044842999999999,43.62369,4G,LTE,-107.0,-16.0,-3.0,7.0,-107.0,6959.0,69.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.27",7.044842999999999,43.62369,4G,LTE,-106.0,-15.0,-4.0,7.0,-107.0,3617.0,45.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.28",7.044842999999999,43.62369,4G,LTE,-106.0,-15.0,-4.0,7.0,-107.0,2963.0,40.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.29",7.044842999999999,43.62369,4G,LTE,-107.0,-16.0,-4.0,7.0,-107.0,3782.0,43.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.30",7.044842999999999,43.62369,4G,LTE,-107.0,-16.0,-4.0,7.0,-107.0,3429.0,41.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.31",7.044842999999999,43.62369,4G,LTE,-106.0,-16.0,-4.0,7.0,-107.0,3963.0,42.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.32",7.044842999999999,43.62369,4G,LTE,-106.0,-16.0,-4.0,7.0,-107.0,4994.0,54.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.33",7.044842999999999,43.62369,4G,LTE,-107.0,-16.0,-4.0,7.0,-107.0,3319.0,72.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.34",7.044842999999999,43.62369,4G,LTE,-107.0,-16.0,-4.0,7.0,-107.0,4170.0,52.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.35",7.044842999999999,43.62369,4G,LTE,-106.0,-15.0,-3.0,7.0,-107.0,3458.0,42.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.36",7.044842999999999,43.62369,4G,LTE,-106.0,-15.0,-3.0,7.0,-109.0,5156.0,43.0,189.0,189.0,D,PERIODIC,A25auglte
"
2022.08.25_10.59.37",7.044842999999999,43.62369,4G,LTE,-108.0,-15.0,-3.0,7.0,-109.0,6464.0,48.0,189.0,189.0,D,PERIODIC,A25auglte
