Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.15_14.04.02",7.068496000000001,43.615631,82.0,5G,5G,-115.0,-6.0,1.0,9,-,0.0,0.0,178.0,178.0,I,LOG START,-113.0,-9.0,5.0,I15aug
"
2022.08.15_14.04.02",7.068496000000001,43.615631,82.0,5G,5G,-115.0,-6.0,1.0,9,-,0.0,0.0,178.0,178.0,I,PERIODIC,-112.0,-10.0,6.0,I15aug
"
2022.08.15_14.04.02",7.068547,43.615618,82.0,5G,5G,-115.0,-6.0,1.0,9,-,0.0,0.0,185.0,185.0,I,,-112.0,-10.0,6.0,I15aug
"
2022.08.15_14.04.03",7.068547,43.615618,82.0,5G,5G,-115.0,-6.0,1.0,9,-,0.0,0.0,185.0,185.0,I,PERIODIC,-112.0,-10.0,6.0,I15aug
"
2022.08.15_14.04.04",7.068547,43.615618,82.0,5G,5G,-115.0,-6.0,1.0,9,-,0.0,0.0,185.0,185.0,I,PERIODIC,-112.0,-14.0,6.0,I15aug
"
2022.08.15_14.04.05",7.068547,43.615618,82.0,5G,5G,-115.0,-6.0,1.0,9,-,0.0,0.0,185.0,185.0,I,PERIODIC,-112.0,-14.0,6.0,I15aug
"
2022.08.15_14.04.06",7.068547,43.615618,82.0,5G,5G,-115.0,-6.0,1.0,9,-,0.0,0.0,185.0,185.0,I,PERIODIC,-112.0,-13.0,6.0,I15aug
"
2022.08.15_14.04.07",7.068547,43.615618,82.0,5G,5G,-115.0,-6.0,1.0,9,-,0.0,0.0,185.0,185.0,I,PERIODIC,-112.0,-13.0,6.0,I15aug
"
2022.08.15_14.04.08",7.068547,43.615618,82.0,5G,5G,-115.0,-6.0,1.0,7,-,0.0,0.0,185.0,185.0,I,PERIODIC,-113.0,-14.0,6.0,I15aug
"
2022.08.15_14.04.09",7.068547,43.615618,82.0,5G,5G,-115.0,-6.0,1.0,7,-,0.0,0.0,185.0,185.0,I,PERIODIC,-113.0,-14.0,6.0,I15aug
