Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.25_17.26.08",7.089097,43.60327,5G,5G,-105.0,-3.0,14.0,12.0,-,0.0,0.0,140.0,140.0,I,LOG START,-108.0,-9.0,2.0,4C
"
2022.08.25_17.26.08",7.089097,43.60327,5G,5G,-105.0,-3.0,14.0,12.0,-,0.0,0.0,140.0,140.0,I,PERIODIC,-108.0,-9.0,2.0,4C
"
2022.08.25_17.26.08",7.089046000000001,43.603283000000005,5G,5G,-105.0,-3.0,14.0,12.0,-,0.0,0.0,146.0,146.0,I,,-108.0,-9.0,2.0,4C
"
2022.08.25_17.26.09",7.089046000000001,43.603283000000005,5G,5G,-105.0,-3.0,14.0,9.0,-,0.0,0.0,146.0,146.0,I,PERIODIC,-108.0,-12.0,2.0,4C
"
2022.08.25_17.26.10",7.089046000000001,43.603283000000005,5G,5G,-105.0,-3.0,14.0,9.0,-,0.0,2.0,146.0,146.0,D,PERIODIC,-108.0,-12.0,2.0,4C
"
2022.08.25_17.26.11",7.089046000000001,43.603283000000005,5G,5G,-105.0,-3.0,14.0,11.0,-,100.0,42.0,146.0,146.0,D,PERIODIC,-108.0,-13.0,-1.0,4C
"
2022.08.25_17.26.12",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,11.0,11.0,-,59.0,15.0,146.0,146.0,D,PERIODIC,-108.0,-13.0,-1.0,4C
"
2022.08.25_17.26.13",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,11.0,12.0,-,83.0,33.0,146.0,146.0,D,PERIODIC,-110.0,-9.0,2.0,4C
"
2022.08.25_17.26.14",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,11.0,12.0,-,2.0,9.0,146.0,146.0,D,PERIODIC,-110.0,-9.0,2.0,4C
"
2022.08.25_17.26.15",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,11.0,11.0,-,79.0,70.0,146.0,146.0,D,PERIODIC,-109.0,-10.0,5.0,4C
"
2022.08.25_17.26.16",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,11.0,11.0,-,9.0,0.0,146.0,146.0,D,PERIODIC,-109.0,-10.0,5.0,4C
"
2022.08.25_17.26.17",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,11.0,11.0,-,0.0,0.0,146.0,146.0,I,PERIODIC,-109.0,-9.0,-1.0,4C
"
2022.08.25_17.26.18",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,11.0,11.0,-,0.0,0.0,146.0,146.0,I,PERIODIC,-109.0,-9.0,-1.0,4C
"
2022.08.25_17.26.19",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,11.0,11.0,-,0.0,0.0,146.0,146.0,I,PERIODIC,-109.0,-9.0,-1.0,4C
"
2022.08.25_17.26.20",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,11.0,11.0,-,0.0,0.0,146.0,146.0,I,PERIODIC,-109.0,-9.0,-1.0,4C
"
2022.08.25_17.26.21",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,11.0,11.0,-,0.0,0.0,146.0,146.0,I,PERIODIC,-109.0,-9.0,-1.0,4C
"
2022.08.25_17.26.22",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,11.0,11.0,-,0.0,1.0,146.0,146.0,D,PERIODIC,-109.0,-9.0,-1.0,4C
"
2022.08.25_17.26.23",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,11.0,11.0,-,0.0,0.0,146.0,146.0,D,PERIODIC,-109.0,-14.0,3.0,4C
"
2022.08.25_17.26.24",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,11.0,11.0,-,69.0,53.0,146.0,146.0,D,PERIODIC,-109.0,-14.0,3.0,4C
"
2022.08.25_17.26.25",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,12.0,6.0,-,606.0,144.0,146.0,146.0,D,PERIODIC,-108.0,-14.0,3.0,4C
"
2022.08.25_17.26.26",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,12.0,6.0,-,665.0,109.0,146.0,146.0,D,PERIODIC,-108.0,-14.0,3.0,4C
"
2022.08.25_17.26.27",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,12.0,9.0,-,43800.0,492.0,146.0,146.0,D,PERIODIC,-108.0,-13.0,-2.0,4C
"
2022.08.25_17.26.28",7.089046000000001,43.603283000000005,5G,5G,-106.0,-3.0,12.0,9.0,-,24020.0,160.0,146.0,146.0,D,PERIODIC,-108.0,-13.0,-2.0,4C
"
2022.08.25_17.26.29",7.089046000000001,43.603283000000005,5G,5G,-105.0,-3.0,14.0,9.0,-,37.0,10.0,146.0,146.0,D,PERIODIC,-110.0,-14.0,-1.0,4C
"
2022.08.25_17.26.30",7.089046000000001,43.603283000000005,5G,5G,-105.0,-3.0,14.0,9.0,-,38053.0,217.0,146.0,146.0,D,PERIODIC,-110.0,-14.0,-1.0,4C
"
2022.08.25_17.26.31",7.089046000000001,43.603283000000005,5G,5G,-105.0,-3.0,14.0,10.0,-,35.0,105.0,146.0,146.0,D,PERIODIC,-109.0,-15.0,3.0,4C
"
2022.08.25_17.26.32",7.089046000000001,43.603283000000005,5G,5G,-105.0,-3.0,14.0,10.0,-,0.0,0.0,146.0,146.0,D,PERIODIC,-109.0,-15.0,3.0,4C
"
2022.08.25_17.26.33",7.089046000000001,43.603283000000005,5G,5G,-105.0,-3.0,17.0,10.0,-,0.0,0.0,146.0,146.0,D,LOG_END,-109.0,-15.0,3.0,4C
"
",,,,,,,,,,,,,,,,,,,4C
