Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.20_11.11.28",7.068957000000001,43.615341,4G,LTE,-107.0,-9.0,4.0,11.0,-94,19.0,3.0,181.0,181.0,D,LOG START,4I20sik
"
2022.09.20_11.11.28",7.068957000000001,43.615341,4G,LTE,-113.0,-10.0,4.0,11.0,-94,0.0,0.0,181.0,181.0,D,PERIODIC,4I20sik
"
2022.09.20_11.11.29",7.068957000000001,43.615341,4G,LTE,-113.0,-10.0,4.0,11.0,-91,0.0,0.0,181.0,181.0,I,PERIODIC,4I20sik
"
2022.09.20_11.11.30",7.068957000000001,43.615341,4G,LTE,-108.0,-11.0,6.0,10.0,-93,0.0,0.0,181.0,181.0,I,PERIODIC,4I20sik
"
2022.09.20_11.11.31",7.068957000000001,43.615341,4G,LTE,-108.0,-11.0,6.0,10.0,-93,0.0,0.0,181.0,181.0,I,PERIODIC,4I20sik
"
2022.09.20_11.11.32",7.068957000000001,43.615341,4G,LTE,-108.0,-11.0,6.0,8.0,-94,19.0,3.0,181.0,181.0,D,PERIODIC,4I20sik
"
2022.09.20_11.11.33",7.068957000000001,43.615341,4G,LTE,-111.0,-12.0,4.0,8.0,-,0.0,2.0,181.0,181.0,D,PERIODIC,4I20sik
"
2022.09.20_11.11.34",7.068957000000001,43.615341,4G,LTE,-111.0,-12.0,4.0,8.0,-94,1049.0,402.0,181.0,181.0,D,PERIODIC,4I20sik
"
2022.09.20_11.11.35",7.068957000000001,43.615341,4G,LTE,-111.0,-8.0,4.0,11.0,-94,1139.0,151.0,181.0,181.0,D,PERIODIC,4I20sik
"
2022.09.20_11.11.36",7.068957000000001,43.615341,4G,LTE,-111.0,-8.0,4.0,11.0,-,942.0,26.0,181.0,181.0,D,PERIODIC,4I20sik
"
2022.09.20_11.11.37",7.068957000000001,43.615341,4G,LTE,-116.0,-13.0,2.0,11.0,-,405.0,97.0,181.0,181.0,D,PERIODIC,4I20sik
"
2022.09.20_11.11.38",7.068957000000001,43.615341,4G,LTE,-116.0,-13.0,2.0,11.0,-94,278.0,82.0,181.0,181.0,D,PERIODIC,4I20sik
"
2022.09.20_11.11.39",7.068957000000001,43.615341,4G,LTE,-116.0,-13.0,2.0,11.0,-94,318.0,113.0,181.0,181.0,D,PERIODIC,4I20sik
"
2022.09.20_11.11.40",7.068957000000001,43.615341,4G,LTE,-116.0,-14.0,4.0,11.0,-94,4.0,0.0,181.0,181.0,D,PERIODIC,4I20sik
"
2022.09.20_11.11.41",7.068957000000001,43.615341,4G,LTE,-116.0,-14.0,4.0,12.0,-88,0.0,0.0,181.0,181.0,I,PERIODIC,4I20sik
"
2022.09.20_11.11.42",7.068957000000001,43.615341,4G,LTE,-105.0,-13.0,2.0,11.0,-94,19.0,3.0,181.0,181.0,D,PERIODIC,4I20sik
"
2022.09.20_11.11.43",7.068957000000001,43.615341,4G,LTE,-105.0,-13.0,2.0,11.0,-,52.0,16.0,181.0,181.0,D,PERIODIC,4I20sik
