Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.14_21.26.49",7.042325999999999,43.61882,4G,LTE,-105.0,-12.0,8.0,8.0,-86,19.0,3.0,193.0,193.0,D,LOG START,4Iciv14
"
2022.09.14_21.26.50",7.042325999999999,43.61882,4G,LTE,-103.0,-12.0,11.0,11.0,-84,0.0,0.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.26.51",7.042325999999999,43.61882,4G,LTE,-103.0,-12.0,11.0,12.0,-86,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv14
"
2022.09.14_21.26.52",7.042325999999999,43.61882,4G,LTE,-103.0,-13.0,9.0,12.0,-86,1.0,2.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.26.53",7.042325999999999,43.61882,4G,LTE,-103.0,-13.0,9.0,13.0,-,60.0,67.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.26.54",7.042325999999999,43.61882,4G,LTE,-99.0,-12.0,8.0,13.0,-81,358.0,160.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.26.55",7.042325999999999,43.61882,4G,LTE,-99.0,-12.0,8.0,13.0,-84,698.0,52.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.26.56",7.042325999999999,43.61882,4G,LTE,-99.0,-12.0,8.0,13.0,-84,354.0,66.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.26.57",7.042325999999999,43.61882,4G,LTE,-104.0,-12.0,6.0,11.0,-86,340.0,181.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.26.58",7.042325999999999,43.61882,4G,LTE,-104.0,-12.0,6.0,12.0,-84,1060.0,63.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.26.59",7.042325999999999,43.61882,4G,LTE,-102.0,-13.0,9.0,12.0,-84,19.0,3.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.00",7.042325999999999,43.61882,4G,LTE,-102.0,-13.0,9.0,10.0,-89,0.0,0.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.01",7.042325999999999,43.61882,4G,LTE,-103.0,-11.0,12.0,8.0,-85,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv14
"
2022.09.14_21.27.02",7.042325999999999,43.61882,4G,LTE,-103.0,-11.0,12.0,8.0,-85,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv14
"
2022.09.14_21.27.03",7.042325999999999,43.61882,4G,LTE,-106.0,-13.0,10.0,6.0,-91,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv14
"
2022.09.14_21.27.04",7.042325999999999,43.61882,4G,LTE,-106.0,-13.0,10.0,13.0,-87,19.0,3.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.05",7.042325999999999,43.61882,4G,LTE,-104.0,-12.0,11.0,13.0,-87,0.0,0.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.06",7.042325999999999,43.61882,4G,LTE,-104.0,-12.0,11.0,13.0,-87,93.0,23.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.07",7.042325999999999,43.61882,4G,LTE,-105.0,-13.0,5.0,13.0,-89,4.0,0.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.08",7.042325999999999,43.61882,4G,LTE,-105.0,-13.0,5.0,13.0,-89,54.0,19.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.09",7.042325999999999,43.61882,4G,LTE,-105.0,-14.0,7.0,13.0,-89,23.0,3.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.10",7.042325999999999,43.61882,4G,LTE,-105.0,-14.0,7.0,6.0,-85,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv14
"
2022.09.14_21.27.11",7.042325999999999,43.61882,4G,LTE,-102.0,-11.0,10.0,6.0,-85,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv14
"
2022.09.14_21.27.12",7.042325999999999,43.61882,4G,LTE,-102.0,-11.0,10.0,7.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv14
"
2022.09.14_21.27.13",7.042325999999999,43.61882,4G,LTE,-101.0,-11.0,11.0,7.0,-,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv14
"
2022.09.14_21.27.14",7.042325999999999,43.61882,4G,LTE,-101.0,-11.0,11.0,12.0,-,19.0,2.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.15",7.042325999999999,43.61882,4G,LTE,-102.0,-6.0,11.0,12.0,-,0.0,0.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.16",7.042325999999999,43.61882,4G,LTE,-102.0,-6.0,11.0,14.0,-81,0.0,0.0,193.0,193.0,I,PERIODIC,4Iciv14
"
2022.09.14_21.27.17",7.042325999999999,43.61882,4G,LTE,-100.0,-12.0,9.0,8.0,-83,45.0,8.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.18",7.042325999999999,43.61882,4G,LTE,-100.0,-12.0,9.0,8.0,-83,540.0,78.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.19",7.042325999999999,43.61882,4G,LTE,-101.0,-12.0,12.0,13.0,-85,1442.0,449.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.20",7.042325999999999,43.61882,4G,LTE,-101.0,-12.0,12.0,9.0,-94,6682.0,309.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.21",7.042325999999999,43.61882,4G,LTE,-114.0,-12.0,10.0,9.0,-94,18914.0,110.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.22",7.042325999999999,43.61882,4G,LTE,-114.0,-12.0,10.0,9.0,-94,31271.0,495.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.23",7.042325999999999,43.61882,4G,LTE,-114.0,-13.0,9.0,9.0,-94,25684.0,150.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.24",7.042325999999999,43.61882,4G,LTE,-114.0,-13.0,9.0,9.0,-94,33503.0,219.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.25",7.042325999999999,43.61882,4G,LTE,-113.0,-13.0,10.0,9.0,-94,26895.0,218.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.26",7.042325999999999,43.61882,4G,LTE,-113.0,-13.0,10.0,7.0,-90,23183.0,164.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.27",7.042325999999999,43.61882,4G,LTE,-107.0,-13.0,7.0,8.0,-88,21752.0,191.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.28",7.042325999999999,43.61882,4G,LTE,-107.0,-13.0,7.0,10.0,-86,17127.0,105.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.29",7.042325999999999,43.61882,4G,LTE,-103.0,-14.0,0.0,10.0,-86,11657.0,144.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.30",7.042325999999999,43.61882,4G,LTE,-103.0,-14.0,0.0,10.0,-86,10266.0,101.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.31",7.042325999999999,43.61882,4G,LTE,-104.0,-13.0,0.0,5.0,-88,7339.0,116.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.32",7.042325999999999,43.61882,4G,LTE,-104.0,-13.0,0.0,5.0,-88,9403.0,77.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.33",7.042325999999999,43.61882,4G,LTE,-105.0,-12.0,1.0,5.0,-88,10990.0,106.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.34",7.042325999999999,43.61882,4G,LTE,-105.0,-12.0,1.0,5.0,-88,11862.0,98.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.35",7.042325999999999,43.61882,4G,LTE,-105.0,-13.0,1.0,5.0,-88,9625.0,112.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.36",7.042325999999999,43.61882,4G,LTE,-105.0,-13.0,1.0,13.0,-82,15655.0,129.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.38",7.042325999999999,43.61882,4G,LTE,-99.0,-14.0,1.0,11.0,-84,12825.0,104.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.39",7.042325999999999,43.61882,4G,LTE,-99.0,-14.0,1.0,11.0,-84,10667.0,118.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.39",7.042325999999999,43.61882,4G,LTE,-101.0,-14.0,0.0,11.0,-84,14526.0,112.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.40",7.042325999999999,43.61882,4G,LTE,-101.0,-14.0,0.0,11.0,-84,12708.0,121.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.42",7.042325999999999,43.61882,4G,LTE,-100.0,-14.0,-1.0,11.0,-84,8806.0,100.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.43",7.042325999999999,43.61882,4G,LTE,-100.0,-14.0,-1.0,13.0,-,15561.0,120.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.44",7.042325999999999,43.61882,4G,LTE,-100.0,-14.0,-1.0,13.0,-,10432.0,85.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.45",7.042325999999999,43.61882,4G,LTE,-100.0,-14.0,-1.0,13.0,-,10433.0,114.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.46",7.042325999999999,43.61882,4G,LTE,-101.0,-14.0,-1.0,13.0,-,15487.0,97.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.47",7.042325999999999,43.61882,4G,LTE,-101.0,-14.0,-1.0,13.0,-,15685.0,116.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.48",7.042325999999999,43.61882,4G,LTE,-102.0,-14.0,-2.0,13.0,-,3835.0,87.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.49",7.042325999999999,43.61882,4G,LTE,-102.0,-14.0,-2.0,13.0,-,10046.0,111.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.50",7.042325999999999,43.61882,4G,LTE,-101.0,-14.0,-2.0,13.0,-,19719.0,215.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.51",7.042325999999999,43.61882,4G,LTE,-101.0,-14.0,-2.0,13.0,-,13614.0,126.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.52",7.042325999999999,43.61882,4G,LTE,-101.0,-14.0,-2.0,13.0,-,20437.0,119.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.53",7.042325999999999,43.61882,4G,LTE,-101.0,-14.0,-2.0,13.0,-,14070.0,161.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.54",7.042325999999999,43.61882,4G,LTE,-101.0,-14.0,-2.0,12.0,-,12311.0,102.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.55",7.042325999999999,43.61882,4G,LTE,-99.0,-14.0,-2.0,12.0,-,14495.0,110.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.56",7.042325999999999,43.61882,4G,LTE,-99.0,-14.0,-2.0,12.0,-,13275.0,85.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.57",7.042325999999999,43.61882,4G,LTE,-100.0,-14.0,-2.0,12.0,-,21009.0,128.0,193.0,193.0,D,PERIODIC,4Iciv14
"
2022.09.14_21.27.58",7.042325999999999,43.61882,4G,LTE,-100.0,-14.0,-2.0,6.0,-89,23945.0,152.0,193.0,193.0,D,PERIODIC,4Iciv14
