Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.22_13.56.08",7.042371000000001,43.618808,4G,LTE,-89.0,-13.0,7.0,9.0,-87.0,74.0,13786.0,194.0,194.0,D,LOG START,4Io22n
"
2022.11.22_13.56.08",7.042371000000001,43.618808,4G,LTE,-89.0,-13.0,7.0,9.0,-87.0,63.0,11230.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.09",7.042371000000001,43.618808,4G,LTE,-88.0,-13.0,9.0,10.0,-87.0,18.0,4560.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.10",7.042371000000001,43.618808,4G,LTE,-88.0,-13.0,9.0,10.0,-89.0,6.0,3.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.11",7.042371000000001,43.618808,4G,LTE,-89.0,-13.0,11.0,10.0,-87.0,35.0,8164.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.12",7.042371000000001,43.618808,4G,LTE,-89.0,-13.0,11.0,10.0,-87.0,108.0,11468.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.13",7.042371000000001,43.618808,4G,LTE,-88.0,-13.0,9.0,9.0,-87.0,50.0,10561.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.14",7.042371000000001,43.618808,4G,LTE,-88.0,-13.0,9.0,9.0,-89.0,71.0,3338.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.15",7.042371000000001,43.618808,4G,LTE,-89.0,-13.0,9.0,9.0,-91.0,114.0,12374.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.16",7.042371000000001,43.618808,4G,LTE,-89.0,-13.0,9.0,9.0,-89.0,57.0,12766.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.17",7.042371000000001,43.618808,4G,LTE,-88.0,-14.0,7.0,10.0,-89.0,82.0,896.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.18",7.042371000000001,43.618808,4G,LTE,-88.0,-14.0,7.0,10.0,-89.0,61.0,6430.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.19",7.042371000000001,43.618808,4G,LTE,-88.0,-13.0,10.0,10.0,-89.0,54.0,7877.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.20",7.042371000000001,43.618808,4G,LTE,-88.0,-13.0,10.0,10.0,-91.0,53.0,10307.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.21",7.042371000000001,43.618808,4G,LTE,-90.0,-14.0,8.0,5.0,-91.0,45.0,5301.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.22",7.042371000000001,43.618808,4G,LTE,-90.0,-14.0,8.0,5.0,-91.0,40.0,9383.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.23",7.042371000000001,43.618808,4G,LTE,-89.0,-13.0,7.0,9.0,-91.0,48.0,9469.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.24",7.042371000000001,43.618808,4G,LTE,-89.0,-13.0,7.0,9.0,-91.0,51.0,7084.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.25",7.042371000000001,43.618808,4G,LTE,-89.0,-13.0,9.0,10.0,-91.0,500.0,11130.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.26",7.042371000000001,43.618808,4G,LTE,-89.0,-13.0,9.0,10.0,-89.0,39.0,6325.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.27",7.042371000000001,43.618808,4G,LTE,-88.0,-12.0,9.0,9.0,-89.0,41.0,8346.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.28",7.042371000000001,43.618808,4G,LTE,-88.0,-12.0,9.0,9.0,-89.0,78.0,13191.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.29",7.042371000000001,43.618808,4G,LTE,-88.0,-10.0,3.0,9.0,-89.0,35.0,4733.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.30",7.042371000000001,43.618808,4G,LTE,-88.0,-10.0,3.0,9.0,-89.0,36.0,8061.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.31",7.042371000000001,43.618808,4G,LTE,-87.0,-11.0,12.0,6.0,-87.0,36.0,8823.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.32",7.042371000000001,43.618808,4G,LTE,-87.0,-11.0,12.0,6.0,-89.0,408.0,10234.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.33",7.042371000000001,43.618808,4G,LTE,-88.0,-12.0,11.0,6.0,-89.0,353.0,2358.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.34",7.042371000000001,43.618808,4G,LTE,-88.0,-12.0,11.0,6.0,-89.0,1079.0,9633.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.35",7.042371000000001,43.618808,4G,LTE,-88.0,-12.0,8.0,9.0,-89.0,24332.0,9236.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.36",7.042371000000001,43.618808,4G,LTE,-88.0,-12.0,8.0,9.0,-87.0,7649.0,3584.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.37",7.042371000000001,43.618808,4G,LTE,-86.0,-12.0,8.0,5.0,-87.0,21211.0,5658.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.38",7.042371000000001,43.618808,4G,LTE,-86.0,-12.0,8.0,5.0,-87.0,24071.0,2054.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.39",7.042371000000001,43.618808,4G,LTE,-87.0,-12.0,7.0,5.0,-87.0,18260.0,7349.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.40",7.042371000000001,43.618808,4G,LTE,-87.0,-12.0,7.0,5.0,-85.0,20272.0,6746.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.41",7.042371000000001,43.618808,4G,LTE,-84.0,-13.0,8.0,10.0,-85.0,13819.0,7499.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.42",7.042371000000001,43.618808,4G,LTE,-84.0,-13.0,8.0,10.0,-87.0,21637.0,6226.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.43",7.042371000000001,43.618808,4G,LTE,-87.0,-13.0,8.0,5.0,-85.0,26329.0,3287.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.44",7.042371000000001,43.618808,4G,LTE,-87.0,-13.0,8.0,5.0,-85.0,33185.0,7848.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.45",7.042371000000001,43.618808,4G,LTE,-86.0,-13.0,8.0,6.0,-85.0,28987.0,9644.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.46",7.042371000000001,43.618808,4G,LTE,-86.0,-13.0,8.0,6.0,-87.0,21509.0,8505.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.47",7.042371000000001,43.618808,4G,LTE,-87.0,-13.0,6.0,5.0,-87.0,20453.0,161.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.48",7.042371000000001,43.618808,4G,LTE,-87.0,-13.0,6.0,5.0,-83.0,11113.0,7655.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.49",7.042371000000001,43.618808,4G,LTE,-86.0,-13.0,9.0,5.0,-87.0,20836.0,8698.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.50",7.042371000000001,43.618808,4G,LTE,-86.0,-13.0,9.0,5.0,-87.0,22369.0,9140.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.51",7.042371000000001,43.618808,4G,LTE,-86.0,-13.0,9.0,5.0,-89.0,14895.0,3003.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.52",7.042371000000001,43.618808,4G,LTE,-86.0,-11.0,9.0,6.0,-87.0,1744.0,10312.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.53",7.042371000000001,43.618808,4G,LTE,-86.0,-11.0,9.0,6.0,-87.0,21847.0,7541.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.54",7.042371000000001,43.618808,4G,LTE,-86.0,-12.0,9.0,5.0,-87.0,11464.0,7764.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.55",7.042371000000001,43.618808,4G,LTE,-86.0,-12.0,9.0,5.0,-83.0,46.0,4173.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.56",7.042371000000001,43.618808,4G,LTE,-86.0,-12.0,9.0,5.0,-87.0,19378.0,7189.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.57",7.042371000000001,43.618808,4G,LTE,-86.0,-12.0,9.0,5.0,-87.0,3294.0,8905.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.59",7.042371000000001,43.618808,4G,LTE,-87.0,-12.0,9.0,10.0,-87.0,18227.0,5814.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.56.59",7.042371000000001,43.618808,4G,LTE,-87.0,-12.0,9.0,10.0,-87.0,20807.0,6680.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.00",7.042371000000001,43.618808,4G,LTE,-86.0,-12.0,10.0,10.0,-87.0,19.0,1506.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.01",7.042371000000001,43.618808,4G,LTE,-86.0,-12.0,10.0,10.0,-83.0,13583.0,5240.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.02",7.042371000000001,43.618808,4G,LTE,-82.0,-12.0,10.0,5.0,-83.0,11990.0,7210.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.03",7.042371000000001,43.618808,4G,LTE,-82.0,-12.0,10.0,5.0,-83.0,14416.0,10015.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.04",7.042371000000001,43.618808,4G,LTE,-85.0,-12.0,9.0,10.0,-85.0,20259.0,6075.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.05",7.042371000000001,43.618808,4G,LTE,-85.0,-12.0,9.0,10.0,-89.0,45.0,5695.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.06",7.04292,43.618798,4G,LTE,-85.0,-12.0,9.0,10.0,-89.0,45.0,5695.0,194.0,194.0,D,,4Io22n
"
2022.11.22_13.57.06",7.04292,43.618798,4G,LTE,-88.0,-12.0,9.0,8.0,-89.0,37.0,6776.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.07",7.039064999999999,43.618809999999996,4G,LTE,-88.0,-12.0,9.0,8.0,-87.0,37.0,6776.0,194.0,194.0,D,,4Io22n
"
2022.11.22_13.57.07",7.039064999999999,43.618809999999996,4G,LTE,-88.0,-12.0,9.0,8.0,-87.0,9325.0,9846.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.08",7.034314,43.618534999999994,4G,LTE,-88.0,-12.0,9.0,8.0,-87.0,9325.0,9846.0,194.0,194.0,D,,4Io22n
"
2022.11.22_13.57.08",7.034314,43.618534999999994,4G,LTE,-88.0,-12.0,9.0,8.0,-87.0,14082.0,3360.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.09",7.035852,43.618759000000004,4G,LTE,-88.0,-12.0,9.0,8.0,-87.0,14082.0,3360.0,194.0,194.0,D,,4Io22n
"
2022.11.22_13.57.09",7.035852,43.618759000000004,4G,LTE,-86.0,-12.0,9.0,10.0,-87.0,11637.0,6199.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.10",7.037939999999999,43.618836,4G,LTE,-86.0,-12.0,9.0,10.0,-87.0,11637.0,6199.0,194.0,194.0,D,,4Io22n
"
2022.11.22_13.57.10",7.037939999999999,43.618836,4G,LTE,-86.0,-12.0,9.0,10.0,-87.0,34.0,3441.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.11",7.040808999999999,43.618814,4G,LTE,-86.0,-12.0,9.0,10.0,-87.0,34.0,3441.0,194.0,194.0,D,,4Io22n
"
2022.11.22_13.57.11",7.040808999999999,43.618814,4G,LTE,-87.0,-12.0,5.0,6.0,-87.0,54.0,10356.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.12",7.041246000000001,43.618752,4G,LTE,-87.0,-12.0,5.0,6.0,-87.0,54.0,10356.0,194.0,194.0,D,,4Io22n
"
2022.11.22_13.57.12",7.041246000000001,43.618752,4G,LTE,-87.0,-12.0,5.0,6.0,-87.0,3442.0,13193.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.13",7.042496000000001,43.618772,4G,LTE,-87.0,-12.0,5.0,6.0,-83.0,3442.0,13193.0,194.0,194.0,D,,4Io22n
"
2022.11.22_13.57.13",7.042496000000001,43.618772,4G,LTE,-82.0,-11.0,10.0,5.0,-83.0,22735.0,6163.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.14",7.040661999999999,43.618738,4G,LTE,-82.0,-11.0,10.0,5.0,-83.0,22735.0,6163.0,194.0,194.0,D,,4Io22n
"
2022.11.22_13.57.14",7.040661999999999,43.618738,4G,LTE,-82.0,-11.0,10.0,5.0,-83.0,8452.0,3237.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.15",7.041207000000001,43.618795,4G,LTE,-82.0,-11.0,10.0,5.0,-85.0,8452.0,3237.0,194.0,194.0,D,,4Io22n
"
2022.11.22_13.57.16",7.041207000000001,43.618795,4G,LTE,-85.0,-10.0,10.0,5.0,-85.0,59.0,10714.0,194.0,194.0,D,PERIODIC,4Io22n
"
2022.11.22_13.57.16",7.04285,43.61878,4G,LTE,-85.0,-10.0,10.0,5.0,-85.0,59.0,10714.0,194.0,194.0,D,,4Io22n
