Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.23_10.28.31",7.0680179999999995,43.616233,4G,LTE,-104.0,-11.0,4.0,-,-107.0,0.0,0.0,176.0,176.0,I,LOG START,4Ioq
"
2022.11.23_10.28.31",7.0680179999999995,43.616233,4G,LTE,-104.0,-11.0,4.0,-,-107.0,0.0,0.0,176.0,176.0,I,PERIODIC,4Ioq
"
2022.11.23_10.28.32",7.0680179999999995,43.616233,4G,LTE,-107.0,-12.0,5.0,-,-107.0,0.0,0.0,176.0,176.0,I,PERIODIC,4Ioq
"
2022.11.23_10.28.33",7.0680179999999995,43.616233,4G,LTE,-113.0,-14.0,5.0,-,-107.0,0.0,0.0,176.0,176.0,I,HANDOVER_DATA_4G4G,4Ioq
"
2022.11.23_10.28.34",7.0680179999999995,43.616233,4G,LTE,-113.0,-14.0,2.0,11,-107.0,31.0,44.0,176.0,176.0,D,PERIODIC,4Ioq
"
2022.11.23_10.28.35",7.0680179999999995,43.616233,4G,LTE,-113.0,-14.0,2.0,11,-113.0,232.0,52.0,176.0,176.0,D,PERIODIC,4Ioq
"
2022.11.23_10.28.36",7.0680179999999995,43.616233,4G,LTE,-117.0,-11.0,5.0,8,-63.0,10.0,3.0,176.0,176.0,D,PERIODIC,4Ioq
"
2022.11.23_10.28.37",7.0680179999999995,43.616233,4G,LTE,-117.0,-11.0,5.0,8,-63.0,43.0,13.0,176.0,176.0,D,PERIODIC,4Ioq
"
2022.11.23_10.28.38",7.0680179999999995,43.616233,4G,LTE,-114.0,-10.0,4.0,10,-57.0,7.0,2.0,176.0,176.0,D,PERIODIC,4Ioq
"
2022.11.23_10.28.39",7.0680179999999995,43.616233,4G,LTE,-114.0,-10.0,4.0,10,-57.0,0.0,0.0,176.0,176.0,I,PERIODIC,4Ioq
"
2022.11.23_10.28.39",7.0687429999999996,43.615137,4G,LTE,-114.0,-10.0,4.0,10,-57.0,0.0,0.0,176.0,176.0,I,,4Ioq
"
2022.11.23_10.28.40",7.0687429999999996,43.615137,4G,LTE,-115.0,-10.0,0.0,12,-59.0,0.0,0.0,176.0,176.0,D,PERIODIC,4Ioq
"
2022.11.23_10.28.41",7.0687429999999996,43.615137,4G,LTE,-115.0,-10.0,0.0,12,-59.0,12.0,20.0,176.0,176.0,D,PERIODIC,4Ioq
"
2022.11.23_10.28.42",7.0687429999999996,43.615137,4G,LTE,-116.0,-14.0,2.0,12,-53.0,0.0,0.0,176.0,176.0,D,PERIODIC,4Ioq
"
2022.11.23_10.28.42",7.0688770000000005,43.615219,4G,LTE,-116.0,-14.0,2.0,12,-53.0,0.0,0.0,176.0,176.0,D,,4Ioq
"
2022.11.23_10.28.43",7.0688770000000005,43.615219,4G,LTE,-116.0,-14.0,2.0,12,-53.0,0.0,0.0,176.0,176.0,I,PERIODIC,4Ioq
"
2022.11.23_10.28.44",7.0688770000000005,43.615219,4G,LTE,-117.0,-10.0,4.0,12,-61.0,0.0,0.0,176.0,176.0,I,PERIODIC,4Ioq
"
2022.11.23_10.28.45",7.0688770000000005,43.615219,4G,LTE,-117.0,-10.0,4.0,12,-61.0,0.0,0.0,176.0,176.0,I,PERIODIC,4Ioq
"
2022.11.23_10.28.46",7.0688770000000005,43.615219,4G,LTE,-115.0,-13.0,2.0,12,-53.0,3.0,13.0,176.0,176.0,D,PERIODIC,4Ioq
"
2022.11.23_10.28.47",7.0688770000000005,43.615219,4G,LTE,-115.0,-13.0,2.0,12,-53.0,327.0,67.0,176.0,176.0,D,PERIODIC,4Ioq
"
2022.11.23_10.28.48",7.0688770000000005,43.615219,4G,LTE,-114.0,-11.0,5.0,13,-51.0,4540.0,389.0,176.0,176.0,D,PERIODIC,4Ioq
"
2022.11.23_10.28.49",7.0688770000000005,43.615219,4G,LTE,-114.0,-11.0,5.0,13,-51.0,19297.0,152.0,176.0,176.0,D,PERIODIC,4Ioq
